"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","firstcharacter","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 58","chapterbody 61","chapterbody 62","chapterbody 63"
"022 Meditation is in All Practices","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c022","will always remember these two statements:","","The Buddha said: “When the mind can be controlled into one place, no task cannot be accomplished!”","","Laozi said: “One who concentrates can accomplish ten thousand tasks!”","","Oh heavens, aren’t these two statements about meditation? Meditation is about “controlling the mind” and “concentrating.”","I have studied the doctrines of three schools:","1. Taoism","2. Sutrayana Buddhism","3. Vajrayana Buddhism","(In my youth, I was a Christian.)","Therefore, I consider, “Cultivating meditation is in all practices; in other words, all practices take meditative concentration.”","","For example:","Recite sutras — requires concentration","Recite mantras — requires concentration","Recite buddha’s name — requires concentration","Cultivation — requires concentration","Enter samadhi — requires concentration","To cultivate qi, channels, light drops and the merging of the self and deity, they all take concentration.","","Simply put, for example, in cultivating qi, such as the “Nine Cycle Breathing Exercise,” “Vajra Recitation,” and “Treasure Vase Breathing Practice,” every cultivation practice needs concentration.","","The cultivation sequence in Vajrayana Buddhism:","The Four Preliminary Practice","The Root Guru Yoga Practice","The Principle Deity Yoga Practice","The Vajra Protector Practice","The inner cultivation of qi, channels, light drops","The six sadhanas (phowa, dream yoga, illusory body yoga, clear light, inner fire, consciousness transference).","Cultivate non-leakage","Cultivate inner fire","Cultivate light drops Open up the five chakras","Highest Yoga Tantra","All these practices require meditation. There is no cultivation that does not require meditation. If unable to concentrate, then cultivation loses its meaning. In short, the cultivation would not be successful.","Even in Vajrayana’s Consort Practice, it also takes meditation while performing “visualization,” “concentration,” “transformation,” “inhalation,” “exhalation,” “holding of qi,” “strengthening of qi,” “the Six Sakya Exercises of Non-leakage,” “skillful techniques,” and etc. (They all require concentration, otherwise it will become scattered and lost easily.)","","Also, in Taoist methods of cultivation:","Breathing exercises","Concentration","Blessings from talisman drawings","Mantra recitations","Breath holding","Jade fluid [saliva] transforming into elixir","Nine Turns","Forming a pellet of elixir","(Practice turning essence into qi, practice turning qi into spirit, practice returning the spirit to emptiness, practice returning emptiness to the Tao)","They all require the effort of meditation.","I","It therefore seems, irrelevant of which religious school, “meditation” and “wisdom” are the two wings of attainment. In accomplishing these two wings, attainment is assured.","","","","","","",""
"023 The Conditions of Shaktism","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c023","haktism is a branch of Hinduism. Actually, don’t think of it as pornographic. It’s main point is to caution people in maintaining the health of sexual function. Their key concepts are:","1. One with a strong sexual power has a healthy body.","2. One with a weak sexual power has a senescent body.","3. One who guards the essence has a spirit that is naturally bright.","4. One who is unable to guard the essence is an ordinary person.","5. One who protects and cultivates the essence will achieve the bright light.","","●","","There is a similar saying in Chinese Taoism.","Zhang Daoling said:","“Enrichment of essence is as life, depletion of essence is as death.”","Also:","“Comply with the woman but don’t give the essence. Instead, return the essence to nourish the brain.”","This explains:","“Humans are born with primordial chaotic qi. Qi gives birth to essence. Essence gives birth to spirit. Spirit turns into bright light.”","I personally think:","It is best for cultivators to stay away from sex.","Buddhist monks who do not get married are refraining from lust and guarding their essence.","Some Taoist cultivators will also reject marriage.","It is for the same reasons:","Refraining from lust.","Guarding the essence.","Just imagine a monk or a cultivator who cannot guard the essence, leaks at all times, day and night, and is even ridiculed as the “bedwetting monk.” What kind of cultivator could one be if one has a sallow complexion and is leaking in a mess?","Taoist Sun Simiao was also a well known medicine doctor. He said: “Even for a lay practitioner with a wife, he should also have some control.”","He said:","People in their twenties, discharge once every four days.","People in their thirties, discharge once every eight days.","People in their forties, discharge once every sixteen days.","People in their fifties, discharge once every twenty days.","People in their sixties, secure the essence, no discharges at all.","(This is because of the two pairs of Eight Trigrams, eight times eight is sixty-four. Therefore, at age sixty-four, it is time to abstain from discharges.)","","●","","Some Taoist books directly point out:","“Enjoyment with control, obtain a long life with happiness.”","“Indulge in the lust, wear away one’s lifespan.”","“Man must not lose sperm and woman must not lose their menstruation.”","“When pure essence is completely transformed, the golden pellet is formed.”","“With even the presence of a sliver of yang qi, one will not die. With even the presence of a sliver of yin qi, one cannot be immortal.”","“To cultivate immortality, start with not losing the essence.”","“Leakage of essence is of an ordinary person that dies. Non-Leakage of the essence is of a true cultivator that does not die.”","“Must cultivate to absolutely no leakage will the big pellet be formed.”","","●","","Does guarding the essence have any relevance to meditation?","I answered, “Yes!”","S","In my book Emptiness Within Great Bliss (Hevajra), there is the method for cultivating non-leakage.","All of these require the use of the mind.","During meditation, there is no movement of the mind, thoughts abiding on the raising of the “essence” or “blood” to the crown chakra.","During meditation, there is no self, no things, self is forgotten.","During meditation, deviations by karma are transformed back to the original.","In my book Dharma Path to Ultimate Attainment, there is the method for cultivating non-leakage for women.","Meditation also uses the mind.","During meditation, the mind is free of distracted thoughts, desires are eliminated."
"024 Stories on Meditation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c024","y experience is:","Once, I was meditating at True Buddha Quarter in Seattle’s True Buddha Temple located in Redmond, Washington, USA.","Suddenly, I found myself sitting in the aisle of the Safeway supermarket. Many shoppers were walking towards me, but they didn’t seem to notice me and walked right through me.","Although customers were walking through me, I didn’t feel a thing.","I saw a disciple with the surname Pong shopping there.","Then, I came out of meditation.","When I saw disciple Pong again, I asked him, “Were you shopping at the Safeway supermarket on that day?”","Pong answered, “Yes, how did Master Lu know?”","I said, “At the time, I was meditating in my True Buddha Tantric Quarter!”","Pong had no idea what I said and I didn’t explain.","In this meditation, one can even teleport oneself!","What I am saying is:","This is “employing the mind.”","One can teleport to the peak of Mount Everest at the Himalayas, to Philippine’s deepest ocean trench, or even to the earth’s core. One can be immersed in water, fire, or even the ground.","","●","","There is a well-known Zen story:","A Zen master was meditating and entered into water meditation.","One of his disciples unintentionally opened the door to the meditation room and saw no one in there but a pool of water. Out of curiosity, he placed a stone in the pool. When the Zen master came out of meditation, he didn’t feel well and discovered he had this stone in his body. As a result, he had to meditate, transform back into a pool of water, and remove the stone. This time, upon coming out of meditation, he regained his wellness.","","Another story:","Senior Monk Xuyun was meditating in his room. He found he could see pass the walls into the garden of the monastery. He saw a monk walk into the garden, pull up his robe and relieve himself. The next day, he summoned the monk and reprimanded him.","This story is also well known to many people.","","I am telling all of you:","Through meditation, one can develop:","Clairvoyance","Divine ears","Ability to read other’s minds","Knowledge of former existence","Supernatural travel","Extinction of outflows","Of these six supernatural powers, the extinction of outflows is the most important.","","","","","","","","","","","","","","","","M","","","","","","","",""
"025 The First Step of Meditation Cultivation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c025","y personal experience is:","Remove all distracted thoughts.","Concentrate.","This is why I started with the counting breath method as the first step. Count from one to ten; ten to one hundred; one hundred to one thousand; and one thousand to ten thousand.","This is to focus the mind.","Not scattered.","Concentrate on the counting.","Although many people know of this as the first step of meditation, if one doesn’t do it, it is the same as useless.","Count the breaths inhaled.","Count the breaths exhaled.","Until:","Mind is at peace and calm.","Abide in tranquility.","Pith instruction is to:","1. Keep the mind on counting the breaths.","2. Keep the attention on the lower dantian.","3. Have the body in the Seven-featured Vairocana Posture.","","A lot of people have asked me, “When is the best time to meditate?”","I said:","Personally, I am not concerned with the time of day for meditation. I would meditate whenever I feel like it.","But, many people think that because one meditates to become one with heaven and earth, then one should follow the right time and right place, and be in sync with the orbital movements of the sun and moon, such as the changeover of yin and yang according to solar terms and the cyclic rhythm of day and night.","As a result, various hours are developed. In addition, it is also expected to match the eight or even twelve divination signs.","The twelve divination signs are:","Fu, Lin, Tai, Dazhuang, Guai, Gan, Gou, Dun, Pi, Guan, Bo, Kun","The twelve time periods are:","Zi, Chou, Yin, Mao, Chen, Si, Wu, Wei, Shen, You, Xu, Hai","(Match up the twelve divination signs with the twelve time periods.)","(Please reference “The Kinship of the Three.”)","","I think this is all related to how well one can control the fire level.","Here is:","Yang breaths -- fierce fire (breaths are heavy and short)","Yin breaths -- gentle fire (breaths are soft and long)","Ordinarily, it is:","At the time of Mao, one would not want to increase fire.","At the time of You, one would not want to decrease fire.","(The sign of Fu, which is the time period of Zi, is the first period that yang begins to increase and overshadow the yin.","The sign of Lin, which is the time period of Chou, is the second consecutive period that yang continues to increase and overshadow the yin.","The sign of Tai, which is the time period of Yin, is the third consecutive period that yang continues to increase and overshadow the yin.","The sign of Dazhuang, which is the time period of Mao, is the fourth consecutive period that yang continues to increase and overshadow the yin.","The sign of Guai, which is the time period of Chen, is the fifth consecutive period that yang continues to increase and overshadow the yin.","The sign of Gan, which is the time period of Si, is the sixth consecutive period that yang continues to increase and overshadow the yin.","The sign of Guo, which is the time period of Wu, is the first period that yin begins to increase and overshadow the yang.","The sign of Dun, which is the time period of Wei, is the second consecutive period that yin continues to increase and overshadow the yang.","The sign of Pi, which is the time period of Shen, is the third consecutive period that yin continues to increase and overshadow the yang.","The sign of Guan, which is the time period of You, is the fourth consecutive period that yin continues to increase and overshadow the yang.","The sign of Bo, which is the time period of Xu, is the fifth consecutive period that yin continues to increase and overshadow the yang.","The sign of Kun, which is the time period of Hai, is the sixth consecutive period that yin continues to increase and overshadow the yang.)","M","","“This is the principle of cycles.”","It’s the time or period when one first wakes up immediately following sleep. We name it “Changing Zi Period” or the time of coming alive (the time of arousal).","Start from cultivating one meditation session a day, to four sessions a day, and then six sessions a day. Thereafter, consult a true guru for guidance.","This is the first step!","I say:","Also speaking of “Changing Zi Period”:","I personally feel that for beginners of meditation cultivation, one should temporarily not pay attention to the change of time and place, so that one will not be too intimidated to meditate."
"026 The Second Step in Meditation Cultivation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c026","e can say it like this:","","“In the first step, the emphasis is on inhalations and exhalations (breathing). In Vajrayana Buddhism, there is rhythm breathing (fierce fire) and complete breathing (gentle fire). The difference between these two types of breathing is in the control of the fire level.”","","Rhythm breathing is crude and rushed.","Complete breathing is slow, long and refined.","Gentle breaths or fierce breaths need to be controlled just right.","","I feel:","Complete breathing takes priority, because it can help in maintaining the tranquility. On the contrary, rhythm breathing is to be used at the crucial moment for raising the “inner fire.”","You must remember these words.","It is very, very important","","What is step two of meditation cultivation?","My answer:","“Inner fire.”","Our body temperature comes from our “lower dantian.”","Upper dantian is at the point between the eyebrows.","Mid dantian is at the heart.","Lower dantian is at the point four fingers below the navel.","The second step for meditation is to “keep the attention on the lower dantian.”","(I have mentioned in my first step of meditation cultivation to keep the attention on the lower dantian. The lower dantian is the source of fire.)","","1. Visualize a triangle palace. []","2. Visualize that within this triangular palace is the left half of “Ah.” []","3. Turn the left half of “Ah” [] upside down becomes [].","4. Visualize this Sanskrit character becoming red, hot, and shining bright.","5. Visualize this Sanskrit character transforming into Vajravarahi.","","The method for the second step is:","Focus on the lower dantian and become engrossed in the lower dantian. This will produce the “inner fire.”","This will cause the mind and spirit to be calm and peaceful.","This also creates a strong fire.","As cultivators, condensing the inhaled and exhaled breaths at the lower dantian is namely condensing the qi into the ocean of qi, the lower dantian.","In this way, the inner fire can also be ignited in an accelerated manner.","Therefore:","Pay attention to the inhalations and exhalations.","Concentrate on the lower dantian.","These are the pith instructions.","Many cultivators think that inner fire is very hot and that its cultivation would cause perspiration as if drenched in rain.","Actually, it is not like that. Inner fire is an abstract fire, not a physical fire.","It is a metaphysical fire with feelings of warmth.","It is also:","Mind guarding the qi.","Filling the entire body.","","My personal experience is that:","Complete breathing should be used for regular meditation. When feeling the inner fire is soon to succeed, switch to rhythm breathing to aid in the rise of the inner fire.","This is crucial and is also the pith instruction.","W","At this time:","A small inner fire becomes a strong inner fire.","“This is the warmth nourishing.”","“Vajra Recitation”","“Treasure Vase Breathing Practice”","A mild warmth becomes a burning warmth.","Taoist’s call it:","“Nine Cycle Breathing Exercise”"
"027 The Third Step in Meditation Cultivation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c027","hen one achieves raising the “inner fire,” the cultivator needs to use the “genuine qi” to transport the “genuine fire” (genuine fire of samadhi).","Begin by moving it down to the sacral chakra. Then, raise the genuine fire to the navel chakra. From the navel chakra, move the fire to the heart chakra. Then, move the fire from the heart chakra to the throat chakra, continuing up to the third-eye chakra.","From the navel chakra to another chakra, for every ten breaths, raise or descend one chakra.","This inner fire practice is the third step of meditation cultivation.","The inner fire is up and down the central channel.","Eventually:","The inner fire reaches all meridian channels and all the pores.","(Please reference my books for the methods of raising the inner fire.)","","Also:","When the “genuine qi” and the “genuine fire” move up and down the central channel, it will cause the following sensations:","Body feels light and agile.","Looks stronger.","Seeing nothing, hearing nothing.","Captivated and in ecstasy.","I personally think that these sensations are what many religions term “dharma joy” or “dharma happiness.”","Many cultivators would stop moving forward when they have reached this point of the cultivation, because this type of happiness is what Vajrayana Buddhism calls “great bliss.”","Ordinary people will never reach great bliss.","Only cultivators can reach great bliss.","The greed for this “cloud nine” state of “great bliss” can cause cultivators to linger and not to proceed further.","This “great bliss” is caused by the friction of the “genuine qi” and the “genuine fire” as it moves up and down the central channel, producing “delicate, slow, and prolonged” feelings of bliss like being captivated in ecstasy.","Similar to:","The happiness of male and female sexual intercourse.","But:","The high reached in sexual intercourse is short. (Orgasm is short.)","A cultivator moving the “genuine qi,” “genuine fire” and “genuine water” in the central channel can produce the meditation of “great bliss.” (Great bliss can last as long as eight hours, 16 hours, 24 hours or more...)","","Taoists refer to this as:","Wind arises from the mud pellet [brain].","A clear moon is in the red palace [heart].","Dantian fire ablaze.","Ocean of qi is clear and calm.","Jiaji (bilateral sides of the spine) chakra turns.","Four limbs like a rock mountain. The pores are bathed.","Meridians light and agile.","Happy intimacy between husband and wife.","In Tibetan Vajrayana Buddhism, I believe:","Cultivating qi is interrelated with the cultivation of “phowa.”","Cultivating qi is interrelated with the cultivation of “non-leakage.”","Cultivating qi is interrelated with the cultivation of “inner fire.” Etc.","","(Tibetan Vajrayana Buddhism places importance on the central channel, whereas Taoists place importance on Ren and Du meridians [governor and conception vessels], opening up the triple burner [Sanjiao], eight extraordinary meridians, microcosmic circulations, macrocosmic circulations.)","Pertaining to the non-leakage method, I place importance on:","Sun and Moon [eyes] facing the sky.","Tongue pressed against the upper palate.","Pressing against the Adam’s apple.","Upper-body qi completely exhaled.","Stomach pressed against the back.","Draw in the four limbs.","W","Constrict the rectum.","","","","","(My achievement of “non-leakage” (genuine essence) is extraordinary.)","",""
"028 The Fourth Step in Meditation Cultivation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c028","hen the inner fire burns fiercely, it is the most suitable time to cultivate the non-leakage practice.","1. Focus on the Mud Pellet Palace. Close your eyes and observe upward at the mud pellet. After awhile, the essence qi will rise and the yang will not leak [there will be no discharge].","2. When yang rises and the discharge is about to happen, observe upward at the principal deity. Cool down and refresh the mind to firmly guard it. The essence will retract itself. However, one will have to wait awhile before the sensation of discharge subsides.","3. Tightly constrict the rectum. Press in the lower abdomen. Straighten the back and have both eyes observe upward at the mud pellet.","(The fire of desire will subside by itself.)","From my experience, these methods have to be well memorized and practiced repeatedly on a daily basis. When the practice has become highly skillful, the attainment will come naturally.","These three steps are similar to the Six Sakya Exercises of Non-Leakage.","The fourth step of the cultivation method is:","Raising the inner fire up to the third eye chakra.","At the third eye chakra is the bodhicitta moon fluid (heavenly court water). The inner fire touches it and the moon fluid descends.","This is the phenomenon of the harmonization of fire and water.","Moon fluid descends from the third eye chakra to the throat chakra. (initial bliss)","Moon fluid descends from the throat chakra to the heart chakra. (supreme bliss)","Moon fluid descends from the heart chakra to the naval chakra. (most supreme bliss)","Moon fluid descends from the naval chakra to the sacral chakra. (innate bliss) This is the “descending.”","Then, there is the “ascending.”","Reversing to the “hold.”","Moon fluid ascends from the sacral chakra to the naval chakra. (initial level of emptiness)","Moon fluid ascends from the naval chakra to the heart chakra. (second level of emptiness)","Moon fluid ascends from the heart chakra to the throat chakra. (third level of emptiness)","Moon fluid ascends from the throat chakra to the third eye chakra. (the emptiness of emptiness)","","Thereafter:","“Four Blisses and Four Levels of Emptiness.”","If one can deliver the genuine water and the genuine fire to all channels and all pores, that’s called “dispersing.”","Repeating in this way.","Ascending and descending in this way.","Holding and dispersing in this way.","Repeating the cycle in this way.","In this way, the “genuine qi, genuine fire, and genuine water” will gradually open the five chakras. This is the “opening of the five chakras.”","In Tibetan Vajrayana Buddhism:","Open up the central channel","Open the five chakras","From my experience, a cultivator who opens the heart chakra can truly authenticate the Buddha-nature.","(This is the cultivation method of Tibetan Vajrayana Buddhism.)","The cultivation method for Taoism is:","Microcosmic circulation -- Every inhaled breath happens to end at the “baihui” point. Each exhaled breath enables the qi to go to the lower dantian.","The microcosmic circulation has to go through three passes, the Ren meridian, and the Du meridian.","Ren meridian goes upward from the perineum to the abdomen and chest, stopping at the eyes.","Du meridian goes upward from the perineum, following the spinal cord, passing baihui, stopping at the Gum Intersection.","","Macrocosmic circulation-- Clear the meridians of Du, Ren, Chong, Dai, Yinjue, Yangjue, Yinwei, Yangwei.","I must remind you of several important points:","1. Very important to get blessings from one’s guru.","2. Very important to receive divine grace of one’s principal deity.","3. Very important to obtain guardianship from one’s dharma protector.","4. Very important to uphold the precepts.","5. Very important to have virtue.","6. Very important to perform virtuous deeds.","W","7. Very important to realize emptiness.","","","","","At every crucial point, one will reach a bottleneck. Then, one must consult one’s root guru. Only the guru can point out and resolve the problem to guide one to attainment!","",""
"029 The Fifth Step of Meditation Cultivation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c029","cultivator, who has accomplished:","“The Non-Leakage Practice.”","“The Inner Fire Yoga.”","“The Light Drops Practice.”","After having authenticated one’s own Buddha-nature, one will naturally realize:","1. Fortified faith leads one to become more diligent than ever, finally authenticating Buddha-nature (emptiness).","2. Raised spirituality, no more harm, no more distortions of fact. Everything is peaceful. Everything is the best arrangement.","3. No more afflictions. No more sufferings. (Non-duality of others and self.)","4. Everything can be used by me, but nothing belongs to me.","5. What comes is because of karma. What leaves is because of a removal of karma.","6. Let everything take its own course!","7. Nothing gained. Nothing matters. Nothing to dwell on.","8. It is just a play.","9. Going with the flow when saving sentient beings.","10. It turns out that all the buddhas from the ten directions and the three times are within our heart, not outside of us, and has never been apart from us.","…","","These “enlightenments” have revealed:","There is no self.","There is no person.","There is no sentient beings.","There is no lifespan.","There is only illusions.","There is no birth.","(One is only playing out one’s life with no attachments to anything. One’s love and compassion is unchanging, following karma.)","","●","","The fifth step of meditation cultivation is:","“Genuine qi”","“Genuine fire”","“Genuine water”","Transform into the pure light. This pure light shines throughout the whole body of the cultivator, even the pores emit light.","Earth, water, fire, wind, and consciousness all turn into light.","At the end of a cultivator’s life:","Body will reduce in size.","Internal organs will begin to transform and disappear.","Everything may all vanish.","Or leaving behind only the hair and nails.","And transforming into a rainbow and fading away in the sky.","(Attaining Buddhahood in the present body.)","","In Taoism:","Microcosmic circulation (cultivating essence into qi), takes about 100 days.","Macrocosmic circulation (cultivating qi into spirit), takes about four years.","Cultivating the spirit back to emptiness takes about nine years.","In Taoism, this is referring to the three passes, “initial pass,” “middle pass” and “high pass.”","The three passes are all unobstructed.","In meditation, it produces:","A","Dantian fire ablaze","Eyes emit golden light","Outside the brain, the vulture cries","Thereafter:","Normality but with no pulse.","Kidneys are as hot as boiling soup","The ears hear wind","The nose twitches, the body makes motions."
"030 Meditation Authenticates “Bliss, Brightness, and Emptiness”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c030","rom my own experiences, I can authenticate three words from cultivating meditation:","“Bliss” -- Dharma joy","“Brightness” -- Bright light","“Emptiness” -- Empty nature","I say:","When “qi” enters the central channel, the movement of qi in the central channel causes friction, which in turn generates “joy.”","When the “inner fire” moves through the central channel, or even through other channels within the body, it generates “joy.”","When the “inner fire” and the “moon fluid” move through the central channel, it causes friction and generates “bliss.”","This kind of “bliss” is indescribable. In one phrase:","“tingling with sensation and on cloud nine.”","Most people obtaining “dharma bliss” or “dharma joy” were unwilling to progress further, stopping at this stage. Actually, this is still only at the level of the “Desire Realm.”","","●","","I say:","The “inner fire” that rises is “warm,” “red,” and “illuminating.” This light can authenticate the word “brightness.”","The “inner fire” mixed with drops melted from the “moon fluid” is like oil entering fire, which creates a brilliant light. Due to this “merging of fire and water,” the central channel is unblocked, the five chakras are opened, and “brightness” is generated.","When the “merging of fire and water” clears all the channels in the body, even the pores will emit light.","The entire body illuminates light.","This stage is approximately near the “Form Realm.”","","●","","I say:","When we have cleared all the channels and opened the five chakras and the seven chakras, we have authenticated the Buddha-nature.","Authenticated:","“Boundless Emptiness”","“Boundless Consciousness”","“Nothing Whatsoever”","“Neither Thought Nor Absence of Thought”","This is the four formless heavens [Sanskrit: Caturupabrahmaloka].","Therefore, validating the “Four Emptinesses.”","Advancing one more step is:","“Nature of emptiness”","“Buddha-nature”","","●","","I say:","When “nature of emptiness” is revealed, one will realize that one and buddha are of one.","Even you, I, they, and all sentient beings, including everything in the universe, are of one. From this comes compassion.","Buddha","People","Everything","All are one. Because this is oneness with the “all dharmas (all phenomena) are empty of self-nature,” compassion and bodhicitta emerges.","Furthermore:","A cultivator will usually show compassion towards parents, children and friends. This is the average person’s perception.","But, once one’s cultivation has authenticated the “nature of emptiness,” in samadhi, owner and guest are one. The compassion emerged during this process is not limited to parents, children and friends. It can even be extended to non-karmic-related sentient beings.","(This is great compassion without karmic cause.)","F","What I have said here about “bliss,” “brightness” and “emptiness” are all from my own personal experiences. Maybe other people will have different thoughts on the matter.","","","","","","",""
"031 Breathing Exercise Taught by Reverend Liaoming","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c031","aoist Qingzhen and Reverend Liaoming are the same person; thus, he is knowledgeable of both Taoism and Buddhism.","","I had once asked him:","“How do we breathe during meditation?”","Reverend Liaoming said:","In Vajrayana Buddhism, there is:","Nine Cycle Breathing Exercise -- is complete breathing down to the lower dantian, “using the mind” to do nine segments of breathing.","Vajra recitation -- is to use a mantra syllable in complete breathing down to the lower dantian, holding the qi and then exhaling.","Treasure Vase Breathing Exercise -- utilizing complete breathing and the four breathing steps. Lastly, holding the breath and then forcefully expelling the breath.","(For details, my previous books have thoroughly described them.)","Reverend Liaoming said:","Taoism emphasizes the most in:","“The circulating of qi”","“The ingesting of qi”","“The refinement of qi”","It is a long story.","","Zhuangzi said:","“Breathing is to expel stale air and inhale fresh air.”","Ge Hong said:","“Inhale the air through the nose and hold it. Mentally count to one hundred twenty. Then, lightly exhale through the mouth. While inhaling and exhaling, one should never let one’s ears hear the sound of air in and out. Often inhale more than you exhale. Gradually practice holding the breath until one can mentally count up to a thousand.”","Tao Hongjing said:","“Circulation of qi is inhaled from the nose and expelled from the mouth. Lightly guiding the breath in and out. This is called long-drawn breaths.”","Sun Simiao said:","“If there is proper breathing of qi, then illness will not arise. If qi (breathing) is out of sync, then all illnesses will arise.”","A Taoist scripture also said:","“When one reaches embryonic breathing, that is, when one no longer breathes from the nose or the mouth, like a fetus in the womb, then one is not far from obtaining the Tao.”","","My experience is:","1. Complete breathing is very important, namely every inhaled breath needs to be long and deep into the lower dantian.","2. Holding the breath at the lower dantian for a short time and gradually extend to a longer time.","3. Not recommended to forcefully expelling the breath too often. About once a month is quite suitable.","4. Slow, long, and refined breaths are the most suitable.","5. Short, crude, and rushed breathing is rhythm breathing. It is suitable for when the “inner fire” is about to emerge.","6. Inhaling more is good.","7. Exhaling more is not good.","8. No breathing sounds can be heard.","9. If one is unable to have a long inhalation and short exhalation, then at least make them the same length of time.","10. Dissipating qi, best to use the mind. Let the qi disperse throughout the body and gradually dissipating.","11. Don’t force oneself.","12. Swallowing saliva at the time of descending qi.","13. When exhaling, save a little in the mid-dantian. Don’t let it out completely.","14. The time of day to practice breathing:","From Zi time at night to noon is vital qi.","From noon to Hai time at night is dead qi.","(I personally do not observe the time of day.)","15. One has achieved the embryonic breathing method when one breathes through the pores.","16. Achieving the embryonic breathing method nears obtaining the Tao.","17. Practice the breathing exercises at a place where the air quality is good. At a place with polluted air, do not practice circulating the qi.","T","18. A beginner of cultivation should not be hasty.","","Qi produces essence.","Spirit produces brightness.","This is the principle behind achieving longevity.","19. Advanced cultivators should try to combine the breathing with the entire body’s internal organs. All merged as one.","Every one of us has the primordial chaotic qi within us.","Essence produces spirit."
"032 Question and Answer","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c032","omeone asked, “Master Lu, how many different types of meditation are there?”","I answered, “Countless.”","“It sounds nonsensical. How do you explain it?”","“It’s not nonsensical. Concentrating is meditation.”","“Would you please give an example?”","“Like when a man and woman kiss, they are both absorbed in the moment, in a trance, the harmonious merging of two into one, feelings of happiness throughout the body. This is meditation. Meditation is to be entranced.”","“Kissing can get one into this state?”","“Of course.”","“Master Lu! I am asking about meditation in Buddhism.”","","“There is conditioned meditation and unconditioned meditation.”","“What do you mean by conditioned meditation?”","“Written in a few chapters before, from the breath counting to discovering one’s true mind and witnessing the Buddha-nature, all is conditioned meditation.”","“What is unconditioned meditation?”","“Just sitting as usual with no attachments to anything, all is naturally running smoothly. That’s all.”","“How does this unconditioned meditation happen?”","“It is when there is no movement of the body, no movement of the mouth and no movement of the mind. It is when one is sitting in oblivion, entranced, with no thoughts. In my experience, at a moment when one’s mind is empty, the dharma stream of the universe instantly enters one’s body and one merges with the universe, becoming the emptiness of selflessness. All is then naturally attained.”","","“Able to reach enlightenment?”","“Able!”","“Able to witness the Buddha-nature?”","“Able!”","“Then we should just cultivate unconditioned meditation. Why bother with the cultivation of conditioned meditation?”","“Cultivating unconditioned meditation is not easy.”","“Why is it not easy?”","“People have afflictions, knowledge hindrances, and all sorts of behavioral hindrances. It’s not easy to have “no thoughts.” (First practice conditioned meditation. Then, practice unconditioned meditation. Then, reverse to practicing conditioned meditation, alternating back and forth.)","“Then, should we start with cultivating conditioned meditation?”","“Expediency is the absolute.”","“Why do we have to cultivate meditation?”","I answered:","“Precepts, meditation, and wisdom are the Three Principles of Non-Outflow. To become a buddha, it takes both ‘meditation’ and ‘wisdom.’ They are the two wings to achieving Buddhahood.”","","","","","","","","","","","","","","","","","","","S","","","","","","","",""
