"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","firstcharacter","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63","chapterbody 64","chapterbody 65","chapterbody 66","chapterbody 67","chapterbody 68","chapterbody 69","chapterbody 70","chapterbody 71","chapterbody 74","chapterbody 75"
"022 Browsing at the Department Store","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c022","n Taichung, there is a newly built Far Eastern Department Store, Top City, located next to the Shin Kong Mitsukoshi.","Sheng-yen Lu","We had dinner at a restaurant, Birdwowo, on the eleventh floor of Top City.","","After dinner, someone suggested, “It is still early. Why don’t we take a walk from the 11th floor to the first floor before heading back?”","","I said: “Good!”","","Taking a stroll after a meal is a very good exercise. We walked and looked around every floor before taking the escalator down to the one below.","","When we got to the electronics department, I looked at the electric razors. But I still had two at home, so I did not purchase any.","","In the watch department, there were many beautiful and fashionable watches inlaid with sparkling diamonds and crystals. But, I took a look at my own watch which was still the best, the “Sheng-yen” brand of Rolex.","So I kept on walking!","","The kitchen appliances section was filled with “women’s toys.” We looked and found no use for any gadgets there.","","The men’s department had no appeal since we all wore lama outfits.","","We walked through the women’s department without pausing.","","At the art department, elaborately designed objects made with gold, silver, and glittering jewels delighted our eyes. We stopped to enjoy them.","","When we arrived at the children’s department, I thought of the modern day low fertility rate. With fewer and fewer children, how will they sell all this merchandise?","","At the bedding department, I thought about the importance of bedding. We humans spend half of our lives sleeping!","","Arriving at the massage chairs, alas! I wondered if I would find any free time to sit in a massage chair since my days were so busy!","","At the brand name department, all the luxury designer items held no attraction to me.","","Wherever I go, everyone’s eyes are already on me.","My bald head.","My lama outfit.","My dragon vest.","These are my “brand name.”","","I asked myself: “Do you want to buy anything?”","","I replied: “Nothing.”","","“There is nothing to attract you?”","","I replied: “Nothing.”","","“Do you want to buy a luxury home?”","","I replied: “For a monk, everywhere is home.”","","“At the shopping mall, there is not a thing to buy?”","","","","","I","“Not a thing to buy.”","I asked: “Can one buy liberation? Can one buy enlightenment?”","●","","Many people think it strange that a monk lama writes and speaks about such feelings.","","","","","","","","","","","“In the future what do you want to buy?”","","",""
"023 Cautioning Against Lust","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c023","am someone who often wears his heart on his sleeve. Sometimes, while seated at the teaching dais, I express my feelings very straightforwardly and excitedly.","","I do the same in my books, the earlier works:","","Notes of a Dream Garden","Letters to Li","","Later works:","","Ode to the Rain","Remembrance of the Moon River","Intimate Talk with Moon","The Dreamland Diary.","","I have even announced when I was at the dais that: “I love to see beautiful girls.”","","Many people think it strange that a monk lama writes and speaks about such feelings.","","Someone asked: “Aren’t you overdoing it? After all, you are the leader of a religious school and could even be considered a celebrity.”","","I chuckled: “What is wrong?”","","That person said: “In short, no one in your status has dared to write and speak the way you do. Only you!”","","I said: “I am a frank person who speaks frank words!”","","I asked him back: “Is that not good?”","","He said: “No, nothing bad, but…”","","He continued: “Lately many famous people have gotten into trouble when photographs of them leaked!”","","“Who?”","","“Chef Aki, the writer Giddens Ko, and the baseball pitcher Wang Chien-","Ming. Earlier there was the writer Lin Qingxuan and the journalist Chu Mei-feng.”","","“Well!”","","He said: “Ah, at the time when it was all over the media, it was clear that…”","","“How was it?”","","","“The hullabaloo was never-ending!”","","“What was the impact?”","","“Loss of integrity.”","","I chatted with myself: “Are you, Living Buddha Lian-sheng Sheng-yen Lu, a celebrity?”","I replied: “A minor one!”","“Are you a womanizer?”","I replied: “I am able to control myself, so I am not.”","I","","","","“Do you find yourself overcome by your feelings?”","","I replied: “I have strong intellect and self-restraint.”","","","“There is no way for such an opportunity! I am always surrounded by attendants.”","","“What if there were such an opportunity?”","“If a female student approaches you with great passion, what will you do?”","I replied: “It would be a very short moment, and its time would pass. At most I would smile at her.”","“Forgive me for being presumptuous, but what if the woman offers herself to you?”","I replied: “Then I would employ the White Bone Visualization!” (Contemplation of the other person as a skeleton.)","","","●","I respect every human being and see “buddha” in every person."
"024 The Phantasmagoric Exodus: Gods and Kings","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c024","went to see the movie: “Exodus: Gods and Kings.”","","The protagonists are:","","God","Pharaoh","Moses","","Prior to this, I also watched “The Ten Commandments.” These two movies retell the same biblical story.","","The Ten Commandments emphasizes the battle of wits between Moses and Pharaoh with the portrayal of a lot of stunts and miracles. I would list the newer Gods and Kings in the category of “realism,” as the miracles are suggested to be coincidental events.","","Exodus describes the Hebrews’ lives as slaves in Egypt for four hundred years and how Moses later led them out of Egypt to “the Land of Canaan.”","","There are two very important scenes:","","1. The killing of every Egyptian firstborn (the Passover).","2. The crossing of the Red Sea.","","In the first:","","God instructed the sons of Hebrews to sprinkle the blood of lambs on the door post, and the spirit of God would pass over those homes. The firstborns of the Egyptians, including Pharaoh’s, were slain.","","In the latter:","","Moses led the Hebrews to the Red Sea, and the sea parted for them to cross. When the pursuers chased after them, the sea returned to drown out all the chariots.","","The themes of the movie are:","","The Egyptians reigned and enslaved the ancient Jews.","The Jews wanted to leave Egypt to found their own country.","God punished the Egyptians by bringing plagues upon them.","Finally, Egypt allowed the Jews to leave.","","God’s actions are:","","Cruel","Callous","Ruthless","Brutal","(As said in the Dao De Jing,) “Heaven and Earth are heartless, treating creatures like a straw dog.”","","(Of course, the abuse and slaughter of Hebrews committed by the Egyptians was also very brutal.)","","Before God, human life is very abject. Natural disasters and slaughter are not regarded as matters of any importance.","","Bright red blood filled the phantasmagoric scenes in the movie. After watching the movie, I did not feel good.","","I have said before:","","I respect every human being and see “buddha” in every person.","How can I possibly treat men as straw dogs?","I asked myself: “If you were God, what would you do?”","I replied: “I would be more rational!”","I","I do not forsake any sentient being.","","","“What would you have done?”","","“I would have made all the Egyptians fall into slumber for a whole month, so Moses could lead the Hebrews out of Egypt.”","","","“It is of course appropriate.”","","“Why didn’t God do that?”","“You would not kill a single soldier.”","I replied: “No killing.”","“Is this appropriate?”","I replied: “Only buddhas have no racial discrimination!”","","","●","I will only have one thought – rebirth to the Pure Land and liberation from transmigration and suffering. Namo Amituofo!"
"025 Here is Indeed Hell","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c025","relative of ours became sick. She did not tell us because she did not want us to worry.","“What will you be thinking?”","She took pain medicine frequently. When the pain woke her in the middle of the night, she felt a tugging at her intestines and she lay in bed crying. She cried every night in pain.","","Later she was admitted to the hospital.","","Her uterus, ovaries, and intestines were stuck together and had started rotting. She had to undergo an extensive operation.","","Shimu Master Lianxiang visited her at the hospital. Shimu saw:","","A group of critically ill patients, each lying on his sickbed.","","Intubated","Demented","In pain","Unconscious","Post open heart surgery","Post brain surgery","Post intestinal surgery","Post amputation…","","Shimu said: “Here is indeed hell!”","","The patients were in fact very frightened. Everyone was suffering great pain and trapped between life and death. They were anxious and helpless facing their trials and tribulations.","","There was no dignity, pretension, or much hope. Even the staff in white uniforms weaving between them had become numb!","","Patients were anxious.","Their guardians were anxious.","But, the white-uniform-clad people were insensitive.","","Shimu said: “Here is indeed hell!”","","I certainly understand the pain of illness. I also have been sick. I have visited patients in hospitals and seen people lying in bed, buckled and distorted.","","I can affirm that “hospitals are like hells!”","","I asked myself: “Are you afraid of illness?”","","“Yes.”","","“Are you afraid of pain?","","“Yes.”","","“Do you worry that something will happen to your organs?”","","“Yes.”","","“Can you prevent it?”","","","","","A","“It can still catch you off guard.”","I replied: “I would accept my fate!”","“Will you whine and holler?”","","“No! Everyone will die. It is futile to complain!”","","“I will only have one thought – rebirth to the Pure Land and liberation from transmigration and suffering. Namo Amituofo!”","“Any regrets?”","“None. The play is over!”","●","","","","","","“If you get terminally sick and there is nothing to do except wait for death, what will you do?”","Only by dying can humans extricate themselves from sufferings of the world.","",""
"026 The Death of Zhao Shun","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c026","he veteran television actor Zhao Shun passed away at fifty-eight. I saw the news of his death on television. Zhao Shun is a True Buddha School student.","","I remember when Zhao Shun suffered his first stroke many years ago. Later when he had his second stroke, he was unable to swallow his own saliva.","","Someone taught him to chant the High King Avalokitesvara Sutra one thousand times. Zhao Shun took faith and started chanting. At the same time when he finished chanting the sutra one thousand times, he was able to swallow his saliva.","","Was it a miracle? Was it coincidence?","","In short, Zhao Shun took refuge in the True Buddha School and made much publicity about it. Later I heard that he suffered a third stroke, but he also recovered.","","Recently Zhao Shun’s condition deteriorated and he was admitted into the intensive care unit in a hospital.","","Zhao Shun’s wife texted Dharma Sister Xu, asking: “When will he wake up?”","","I replied: “There is a fifty-fifty chance. He is at a critical moment between life and death.”","","Another message asked: “In how many days will we find out?”","","I replied: “In five days, there will be an answer.”","","Dharma Sister Xu figured the time and coincidentally on the fifth day, Zhao Shun passed away.","","Dharma Sister Xu said to me: “Please perform a bardo deliverance for Zhao Shun!”","","I said: “I will.”","","I asked myself: “Zhao Shun has died. How do you feel?”","","I said: “Even Shakyamuni Buddha had to die. All creatures in this world will eventually die. This is a very serious matter. Only by dying can humans extricate themselves from sufferings of the world. With death, one no longer has to worry about this life.”","","“So you don’t worry about death then!”","","“Businessmen have to die, Buddhists have to die, politicians have to die, religious figures have to die, rich men have to die, poor men have to die, even kings and presidents have to die…”","","I said: “Death is just another kind of liberation!”","","I said: “How satisfying!”","","Honestly, I do not take death seriously!","","“Is there anything that you take seriously then?”","","I replied: “Nothing!”","","“How about Buddhadharma? Tantrayana Dharma? Helping sentient beings?”","","I replied: “Those are the rarest and most precious things I cherish while I am alive.”","","“Aren’t those something then?”","","I replied: “The apex of Buddhadharma is nothingness; the apex of Tantrayana Dharma is nothingness; furthermore, the apex of helping sentient beings is nothingness. Is there anyone who can understand these words?”","●","However, if true wisdom is used to analyze and explore the ultimate inherent non-existence of a self, one will discover that the physical body is not the self.","Sheng-yen Lu","T","","","","","","","","","","","","","","","","","","",""
"027 Plastic Surgery","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c027","ne day I suddenly had a whimsical idea:","●","I wanted Dr. Zheng Senlong, the Director of Plastic Surgery at Chung Shan Medical University, to perform plastic surgery on me.","","He has been a student for many years. He took refuge when I was in Taiwan living in the Yixin Community.","","He asked: “Grand Master, what kind of plastic surgery do you want?”","","I replied:","","A hair bun","A red mole at the brow-point","Long eyebrows like the Buddha’s","Eyes like the Buddha’s","A straight nose and wide mouth","Long ears touching the shoulders","The Buddhist Swastika on the chest","","I showed him a picture of Amitabha. I wanted to look like Amitabha through plastic surgery.","","Dr. Zheng Senlong laughed. I also laughed.","","A student asked: “In the future, after surgery, when we practice the Guru Yoga, how should we visualize our root guru?”","","I replied: “Regard the guru as a buddha.”","","Another student asked, “In the future when Amitabha comes to escort Grand Master Lu, will he recognize Grand Master Lu?”","","I replied: “It will just be one buddha escorting another buddha.”","","One student said: “The aggregate of form is not buddha!”","","I said: “Correct! The aggregate of form is absolutely not buddha!”","","The aggregate of form includes all material and physical factors.","When it comes to humans, the aggregate of form refers to the physical body and everything related to bodies that give rise to the concept of a self.","","We are fixated with the idea that this body of mine is “me.” However, if true wisdom is used to analyze and explore the ultimate inherent non-existence of a self, one will discover that the physical body is not the self.","","I asked myself: “Is today’s Sheng-yen Lu the same Sheng-yen Lu who was once a school boy?”","","“No.”","","“Is today’s seventy-year-old Sheng-yen Lu the same young and handsome Sheng-yen Lu from the past?”","","“No.”","","“In the past, his face was bright and smooth. Today, he has wrinkles on his forehead, crow’s feet at the outer corners of his eyes, bags under his eyes, and deep nasolabial folds. This is different from before?”","","I replied: “Different.”","","","","","O","“Which one is Sheng-yen Lu then?”","“Heavens! Who is Sheng-yen Lu?”","I replied: “There is fundamentally no Sheng-yen Lu.”","","Identify with these words, and all troubles will be uprooted.","","My soul is still awake and my self-control still exists.","Sheng-yen Lu","","","","","","","","I replied: “No one is Sheng-yen Lu!”","","",""
"028 Massage Parlor","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c028","n one occasion, a few of us walked past a massage parlor.","","A student asked: “Can Grand Master Lu visit massage parlors?”","","“I can,” I answered readily.","","He asked: “For a pure massage or not-so-pure massage?”","","I asked him: “What is a not-so-pure massage?” I already knew the answer.","","This student replied: “In a not-so-pure massage, the female attendant takes off her clothing, applies lotion or massage oil on her body, then rubs it against your body… Has Grand Master Lu tried it?”","","I replied: “I have never tried it.”","","He asked: “Why not?”","","I replied: “No one has invited me.”","","The student asked: “What if I invite you?”","","I said: “Ah! No problem.”","","The student said: “When I do invite you, don’t say you were joking and run away!”","","I said: “I will absolutely not run away.”","","The student said: “Very good! Grand Master Lu is indeed an extraordinary monk. Very good. Ha ha ha!”","","I asked myself: “Ordinarily, monks and practitioners are afraid to enter massage parlors for pure massages, not to mention not-so-pure massages. Grand Master Lu! Could you be a saint? Are you absolutely immune to temptation?”","","I replied: “I understand women, and I also understand men. I understand the desires for food, sex, and sleep.”","","“If you understand these desires, shouldn’t you be afraid to go?”","","I replied: “This is exactly where my skill lies!”","","“What skill?”","","I replied: “The ability to maintain self-control.”","","“What if you cannot control yourself?”","","I replied: “If I cannot control myself, it would not be a skill!”","","“In what way are you superior to ordinary folk?”","","“Noises, clamor, fragrances, women, tenderness, and affection can completely envelope me, and I will not succumb to their intoxication. My soul is still awake and my self-control still exists. I have not become one iota more or less.”","","“Who can prove that?”","","I replied: “Buddhas!”","“Grand Master Lu, don’t brag!”","I said: “Bragging is for ordinary beings. I have control over myself and I am not an ordinary monk. This is me!”","●","O","","","","The realm of sentient beings contains neither gains nor losses, neither increases nor decreases, is neither same nor different, with neither birth nor death.","","Sheng-yen Lu","","","","","","","","","","","","",""
"029 One Who Knows All Esoteric Dharmas","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c029","omeone once asked me: “Grand Master Lu! What esoteric dharma do you know?”","“How did you do it?”","I replied: “I am one who knows all esoteric dharma.”","","That person asked: “Do you know Japanese Esoteric Buddhism?”","","I replied: “Amoghavajra, one of the three great enlightened masters of Kaiyuan, transmitted Tantrayana to Huiguo. Huiguo passed it to Kukai. Kukai returned to Japan as Huiguo’s lineage and dharma-successor. That was the beginning of Shingon, Japanese Esoteric Buddhism.”","","“What about the Tendai school in Japan?”","","“The Japanese Buddhist monk Saicho traveled to Mount Tiantai in China to   study esoteric Buddhism. When he returned to Japan, he founded the Tendai school based on the Chinese Tiantai tradition.”","","“What about Chinese Esoteric Buddhism?”","","I replied: “Vajrabodhi transmitted his lineage to Amoghavajra, and","Amoghavajra appointed Acharya Huiguo as his dharma-successor. That was the beginning of Chinese Esoteric Buddhism.”","","“Do you know Tibetan Tantrayana?”.","","I replied: “The Tibetan Tantrayana I know includes Dzogchen, Mahamudra, Lamdre, and Yamantaka Practices, spanning from the Four Preliminaries to Guru Yoga to Yidam Yoga to Heruka Yoga to Highest Tantra Yoga. It also covers the four levels of Action Tantra, Performance Tantra, Yoga Tantra, and Highest Yoga Tantra.”","","“What about Miscellaneous Tantra?”","","“Many of the biased Tantrayana practices popular in Oddiyana, in ancient India, could be collectively called Miscellaneous Tantra.”","","That person asked: “How did you learn these dharma?”","","I replied: “I have received transmissions from various human gurus. I also have the most profound pure awareness transmission.”","","He asked: “What have you ultimately learned?”","","I said: “Mingxin jianxing (understanding the nature of mind and recognizing Buddha-essence).”","","“You have mingxin jianxing. So what?”","","I replied: “Ha ha ha, I know the truth of everything. Everything is clear and transparent. It is all fun and interesting.”","","I asked myself: “Someone who knows all Tantrayana still cannot escape death. What is the use of knowing all Tantrayana?”","","I replied: “Padmasambhava, Nagarjuna, Naropa, Tsongkhapa, Sheng-yen Lu… In the future I also will vanish. Since all lineage gurus vanish, my mind is at peace.”","","“What principle is this?”","","“The principle of ultimate truth.”","","“Can you elaborate?”","","“The realm of sentient beings contains neither gains nor losses, neither increases nor decreases, is neither same nor different, with neither birth nor death.”","","“Why is the mind at peace?”","","","","","S","I replied: “One has attained Buddhahood and become an accomplished Tantrayana adept.”","“How pleasing!” I said.","“How many years have you spent cultivating Tantrayana?”","","“Over thirty years!”","","“To tell you the truth, I employed many methods. Some were taught by gurus. Some I have paid for with money. At times, I have resorted to deception and stealing. Ha ha ha!”","“How shocking! Deception? Stealing?”","I replied: “I had no choice. My guru considered some teachings to be his exclusively. But I was able to steal them all! Ha ha!”","●","","","","","","“Anything else?”","All matter will die. So what is there to be nervous about?","",""
"030 Facing Condemnation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c030","n the internet, some people have hurled criticisms and defamation upon me, this little Sheng-yen Lu.","","This was a menacing, small group of people.","Sheng-yen Lu","Some students came running to tell me:","","“This is bad! This is bad!”","","“This situation is very serious!”","","“Grand Master Lu will soon drown!”","","I personally do not own a cell phone, tablet, or computer. I do not access the internet, so I was unaware of these criticism. I have not read even one article and am completely unaffected.","I simply ignored the criticism.","","But my students were very nervous: “Such negative writings will harm a lot of people’s wisdom life. Many people will want to leave True Buddha School. Many will be afraid to come to the school.”","","Others said: “This is miserable!”","","Although I face such condemnation, I remain indifferent. I have not read any of them.","","Shimu Master Lianxiang, however, decided to confront this menacing group. She gave directions to establish the True Buddha","Dharma Protector Group. (website: https://ilovegm.wordpress.com/)","","I asked myself: “How are you able to keep a straight face?”","","I replied: “I have not read any of these abusive writings, so I don’t have to blink an eye!”","","“But, the writings are so poisonous!”","","“I would not know.”","","“But, the writings are so vicious!”","","“I would not know.”","","“But, the writings are so ruthless!”","","“I would not know.”","","“But, the writings are so sinister!”","","“I would not know.”","","“But, their writings are so treacherous!”","","“I would not know.”","","“They cursed everything about you!”","","“I would not know.”","Since I truly did not read any of the web attacks, I was just fine. Ha ha ha!","“Grand Master Lu, what if you had read what was written?”","Of course some people did relate a few of the things they read to me.","O","","","","I replied: “It makes no difference. I still remain composed!”","","“You remain unperturbed even if Mount Tai collapses in front of you?”","","","I say: “This world is just a temporary illusion. No one truly exists. Everything is just a dream, an illusion, a bubble. Everything is transient. Everything will become the past. I will die, the slanderers will die. All matter will die. So what is there to be nervous about?”","","“You will lose to them!”","“Yes.”","“How are you able to do that?”","I replied: “Because I am an awakened being! Ha ha!”","“There is no loss or gain in this world.”","","","“But they want to denigrate you and ruin the True Buddha School!”","I replied: “Who is Sheng-yen Lu? True Buddha School, what is that?”"
"031 Thus Said Feng Feng","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c031","had gotten together with the author Feng Feng once when he was still alive.","Sheng-yen Lu","I said: “I have read your books: The Empty Clouds, Siddhartha, Experiments on Meditative Clairvoyance, and others. I read them carefully.”","","Feng Feng said: “You really read them!” He looked surprised.","","I said: “I of course have read them. It was my pleasure.”","","Feng Feng said: “Writers like to disparage one another. Do you know that?”","","I said: “I know. But, it is nothing. I even read the writings of Master Hsing Yun!”","","Feng Feng said: “You have read writings by such a mediocre dharma master! Even if he wrote one hundred books, I would not touch a single one.”","","Feng Feng did not seem to have a good impression of dharma masters of great fame and wealth.","","At the time, I had not asked him if he had read any of my books.","I did not want to ask. I assumed he would not read my books either.","","Feng Feng said: “I am convinced that my writings are superior to those of mediocre masters. I don’t want to read them because I will ridicule their writing!”","","I listened quietly. But in my mind I thought: “Regardless, for that master to be able to establish such a big base for his organization, he must be quite capable.”","","Feng Feng said: “Have you heard any dharma talks by Dharma Master Cheng Yen of Tzu Chi?”","","I said: “I have!”","","“What do you think of her talks?”","","I replied: “Honestly, her narration is hard to follow.”","","Feng Feng said: “I admire the spirit of Tzu Chi, but, there is nothing flattering about anything else!”","","I said: “But, they built such a big organization!”","","Feng Feng said: “This is because they have outdone their competitors!”","","I said: “I can’t do that!”","","Feng Feng said: “Well! You are also quite inconceivable!”","","At this point, I asked myself: “Will you establish such a big base for your organization?”","","I replied: “It is impossible.”","","“If others can, why can’t you?”","","I replied: “It is impossible for me. I cannot give you any reason.”","","“Is it because you don’t possess any business management skills?”","","","","","I","“Probably.”","I replied: “I only go with the flow.”","●","","There are only causes and conditions that lead to gathering and dispersing!","","","","","","","","","","","“Why don’t you try?”","","",""
"032 My Bentley","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c032","n 1999, Miss Hanifa gave me a Bentley as a present. This luxury sedan was pearl in color, supposedly the only Bentley of this color in the United States.","","Bentleys used to be a subsidiary of Rolls-Royce. In England, the elder royals drove Rolls-Royces while the younger royals drove Bentleys. Bentleys and Rolls-Royces are of the same rank.","","Since I received this car, I have driven it everywhere I travel. When people see me driving the Bentley, they raise their thumbs and say, “Good car!”","","I say, “Thank you!”","","It is 2014 now. My Bentley is already fifteen years old. 2015 will be here soon, and this car will be sixteen. I have not changed cars.","","As you know, modern cars are ever-changing. Cars’ electronic equipment and performance are constantly updating and getting better. My old Bentley, though still reputable, is not so sophisticated now. The newer Bentleys have different designs now. My old Bentley has become obsolete.","","The only drawback with my car is that its battery often leaks. It needs to be recharged frequently. This is the only drawback. Everything else is still fine!","","Someone said: “Grand Master Lu! You should get a new car. This one is too old!”","","I said: “I am an old man! An old car matches me just right!”","That person said:","“There are so many modern luxury cars. Wouldn’t it be nice to try a different one?”","","I said: “Alas! Sixteen years. I have feelings for that vehicle.”","","The person said: “Do you want to possess it forever?”","","I said: “Not really, I guess I am reluctant to let it go.”","","That person said: “Reluctance to let something go is wanting to possess it forever!”","","I said: “Is that right? I am not even sure myself.”","","I chatted with myself: “Can you possess the car forever?”","","I replied: “Impossible!”","","“Why is it impossible?”","","I replied: “The car is a composite of various auto parts which will not only age but also malfunction. The day will eventually arrive when the car breaks down beyond repair!”","","I said: “I am seventy years old and will be seventy-one next year. The day will come when I will lie down and die. I also will come to an end!”","","“So, there is no such thing as forever?”","","I said: “No. Nothing in the world lasts forever. There are only causes and conditions that lead to gathering and dispersing!” (This is a statement of awakening.)","","●","","All these various events in life, the coming together of causes and conditions and the extinguishment of such causes and conditions, do they awaken you at all?","","Sheng-yen Lu","","","","","","I","","","","","","","","","","","","","","","","","","",""
"033 Gathering and Dispersing","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c033","uring my stay in the United States:","","President Reagan - his campaign headquarters sent a letter inviting me to help his presidential campaign. After re-election, he invited me to attend his inauguration. In his later years, Reagan suffered from dementia. He is now deceased.","","President Bush - once stayed at a presidential suite at the Diaoyutai State Guest House in Beijing while I was also staying there at another presidential suite in Villa 10. We happened to meet each other once amidst the rush. After his presidency, he returned to Texas.","","President Clinton - on my fifty-fifth birthday President Clinton and Hillary wrote me a birthday card sending their congratulations. I sent him my books. Each time he sent back a thank you letter! During the lawsuit brought on by the Lewinsky scandal, I had written an article to elaborate my views on the matter.","","President Obama - I have sent my books and he has replied with thank you letters. There have been no other special interactions. These are weak examples of affinity. Such affinities also will disperse easily.","","Amid such gatherings and dispersals, I always think of three people in Taiwan:","","President Chen Shui-bian. A native-born Taiwanese who was elected president. He was later convicted of bribery and went to jail and became physically and mentally disconsolate.","","Mr. Wang Yung-ching. Once the richest man in Taiwan. His children later fought over his estate. Then Guo Tai-ming became the richest man in Taiwan.","","Ms. Cui Tai-jing. Once a beautiful and glamorous show queen, she is now in her twilight years. Jolin Tsai is now the new show queen.","","All these various events in life, the coming together of causes and conditions and the extinguishment of such causes and conditions, do they awaken you at all?","","I chatted with myself: “Lu Sheng-yen, why are you writing these things?”","","“No reason!”","","“Why write if it is for nothing?”","","I replied: “Ah! I feel so much better afterwards!”","","“Do you feel like crying?”","","I replied: “Why should I cry?”","","“In the future the same will happen to you. You will grow old, become sick, and then die. When you are gone, True Buddha School will become a chaotic mess.”","","I replied: “Such are the affairs of other people; such will be my affairs. Isn’t this very fantastic?”","","“Fantastic? You call this fantastic?”","","I replied: “Really fantastic!”","","“Don’t you get upset?”","","“I do not.”","","“Don’t you find it nerve-racking?”","","“I do not.”","","“In the future, if your fate turns out to be even more tragic, what will you do?”","","I replied: “It will be what is supposed to be, ha ha!”","●","I just sit quietly.","Sheng-yen Lu","D","","","","","","","","","","","","","","","","","","",""
"034 The Millennium Wild Ginseng","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c034","aster Lianxin of Hong Kong brought me some thousand-year-old wild ginseng from Changbai Mountain. She cooked it into a bowl of ginseng soup for me.","","She said: “Drink it slowly!”","","I picked up the bowl and, within a few seconds, slurped it all up.","","She said: “That was not the way to drink it. It was meant to be savored slowly, one mouthful at a time. But, you already drank it!”","","I said: “I have already finished drinking it!”","","She asked: “How did it taste?”","","I said: “I tasted some ginseng flavor.”","","“How do you feel?”","","I replied: “No different.”","","She said: “Ordinary ginseng provides a short duration of qi nourishment.","But the thousand-year-old ginseng grown in the wild provides longer and persistent qi nourishment. It is very precious.”","","I asked: “Is it really a thousand years old?”","","She did not know.","","I thought to myself, human life is nothing but a hundred years. Even if the “millennium wild ginseng” brings me qi nourishment for a thousand years, I will be dead before the nourishment comes to an end!","","In the past, subjects would praise their emperors with the phrase, “Ten thousand years of life! Ten thousand years of life!” To the emperor’s sons, people would cry, “A thousand years of life! A thousand years of life!”","","But, those were just words. Many lived short lives.","","According to martial arts novels, drinking “millennium wild ginseng from Changbai Mountain” increases martial arts skill tenfold, one hundred times, and then one thousand times. With golden lights sparkling and a thousand streams of auspicious energy emanating from me, I will reign supreme in the world of martial arts.","","During a drought, someone asked me, Grand Master Lu, to chant scriptures and mantras. Pray let the rain fall! I “sat quietly.”","","","During a flood, someone also asked me, Grand Maser Lu, to chant scriptures and mantras. Pray let the rain stop! I also just sat quietly.","","People then asked me: “Why are you not chanting?”","","I replied: “Can Buddhadharma shake up heaven and earth?”","","“How do you shake up heaven and earth?”","","I replied: “I just sit quietly.”","","“What is the use of sitting?”","","I replied: “I am waiting for the mandate of heaven! If I could stop drought and flood, these droughts and floods would naturally stop.”","","“If there is no mandate of heaven, wouldn’t you be sitting for nothing?”","“That isn’t the case either.”","I replied: “I have awakened and I believe there is a mandate of heaven. I am simply waiting, very quietly, for it to happen. It is like drinking millennium wild ginseng and waiting slowly for its effects to take place!”","●","M","","","","I use the eighty-four thousand dharma-doors to treat the eighty-four thousand kinds of illnesses.","","Sheng-yen Lu","","","","","","","","","","","","",""
