"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","firstcharacter","chapterbody 48","chapterbody 49","chapterbody 50"
"022 占卜未来的吉凶","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c022","密教，有一位占卜未来最知名的女神，这位女神在天上界占有一席的地位，这位伟大的女神就是“吉祥天”。","吉祥天又名“功德天”，其父是“德叉迦”，其母是“鬼子母”，是“毘沙门天”之妹。","《金光明经》记载：“功德天品”。","《最胜王经》记载：“大吉祥天女品”。","《佛说吉祥天女十二名号经》及《大吉祥天女十二契一百八名无垢大乘经》。均有记载。","其身像：","“身端正，赤白色，璎珞环钏耳珰天衣宝冠。大吉祥天女左手持如意珠，右手施咒无畏，立莲花台上。”","我在“南山雅舍”供奉乙尊，我每日持大吉祥天女咒：","“嗡。摩诃室利耶。梭哈。”","","●","","我与“炎摩天”（夜摩天）的地狱阎罗王见面时。","我问阎罗王：","“我虽知自己的本地是阿弥陀佛陀，但，我仍然很想知道自己的未来吉凶。”","阎罗王哈哈大笑：","“何不去问问大吉祥天，她的占卜吉凶是第一名。”","阎罗王想了一想，又说：","“卢师尊，你差矣！你自己不是在占卜世人的吉凶吗？你何不自己占卜自己未来的吉凶祸福？”","我觉得哑然失笑，是的，我是神算第一的卢胜彦，昔日，一天神算三百人，吉凶祸福立断，何等神灵。","而今日，却想知道自己的未来吉凶，不自己算，想由大吉祥天女算，岂不是天大的笑话？","我问阎罗王：","“我不想占算了，我只想知道三朵大莲花的未来吉凶？”","（这三朵大莲花，是我最牵挂的）","","阎罗王说：","“放心，你知道以前入地狱的有谁吗？”","“谁？”","“释迦牟尼佛入过地狱，甚至转生畜牲道，当过象王、鹿王、猴王。释迦牟尼佛犯杀生戒、犯淫戒。许多菩萨下过地狱，连四禅比丘也下地狱。你莲花一族的三大莲花，也不用太为他们担心。”","我说：“是的。是的。”","阎罗王说：","“你想看自己未来的吉凶，你不是有弥勒菩萨送你的《通天之书》，何不一观？”","“真是一语惊醒梦中人！”","我看了《通天之书》，令我惊骇的是：","“一片空白”。","空白、空白、空白、空白、空白。","我大悟。","阎罗王笑了，阎罗王告诉我一则故事：","过去有一位出家僧人，喜欢看《法华经》（《妙法莲华经》）","看到“诸法从本来，常自寂灭相”，忽然犹疑不决。","僧人思索“诸法从本来，常自寂灭相”，连行、住、坐、卧，都想这一句，想啊想，都毫无头绪。","忽然春天到了，听到黄莺在枝头的叫声，他才顿然开悟。","","僧人写了一偈：","诸法从本来。","常自寂灭相。","春至百花开。","在","黄莺啼柳上。","","阎罗王对我说："
"023 达摩祖师如是说","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c023","第六回合的深入禅定，竟然出现在“水天”，那是一座像晶亮美丽的透明之城。","真是：","似天非天，","似地非地。","这“水天”是一切天境的倒影，“水天”是一切天境之美的综合，说有多美就有多美，“水天”以水命名，但不是真的水。","这“水天”的结界，是一切结界之最，很少有人进入“水天”的结界之中，因为“水天”的结界，根本是天衣无缝的。","就算是龙王，也无法进入“水天”，而我能够进入“水天”，因为我是佛陀，只有修练到至高境界的人，才能进入“水天”。","我已是幻身。","没有表面。","也没有里面。","唯有这样的人，才能够进入“水天”。","我在“水天”遇到一位圣哲，他就是禅宗的祖师——达摩。","","●","","我们晓得：","达摩祖师是南天竺刹帝利族，父王香至，达摩是第三个儿子。","后来遇禅宗二十七祖般若多罗，成为第二十八祖菩提达摩。","在梁朝时代，普通元年，达摩泛海至广州，帝迎至建业。（首都）","问：“朕即位，造寺写经，有何功德？”","答：“无功德。”","问：“什么是真功德？”","答：“净智妙圆，体自空寂，如是功德，不可以世求。”","问：“如何是圣谛第一义？”","答：“廓然无圣。”","问：“对朕者谁？”","答：“不识。”","帝不悟。","后来达摩渡江，在嵩山少林寺闭关九年。最后，付法给“慧可”，付法偈是：“吾本来兹土，传法救迷情，一华开五叶，结果自然成。”","","●","","达摩祖师见我至“水天”，唱了一偈：","欲净何曾净。","说空未必空。","可怜卢胜彦。","半身泥淖中。","","我回头一看是达摩祖师，也回了一偈：","子系大祖师。","不识卢胜彦。","说禅未必禅。","何来半身见。","达摩祖师呵呵大笑，说：“好一位伶牙俐嘴的卢胜彦，到了『水天』，正好跟你好好的印证印证。”","","诗曰：","论禅在水天。","我","天境有余晖。","双双惊人语。","传世成警签。"
"024 经典解释什么","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c024","在第六回合的甚深禅定，于“水天”中遇见“达摩祖师”，于是双方的论辩开始了。","达摩祖师问：","“什么是广中略？”","我答：","“小中大。”","达摩祖师问：","“什么是钞？”","我答：","“解释疏的。”","达摩祖师问：","“什么是疏？”","我答：","“解释经的。”","达摩祖师问到重点：","“什么是经？经解释什么？”（第一义谛）","我答：","“经是佛说。经是解释佛根本没有说法。”","","达摩祖师睁大了那一双铜铃眼，大喝一声：","“咄！从古至今，从来没有一个人答得出的问题，竟然被卢师尊，一语勘破。果然你不是省油的灯，怪不得光明四射，卢师尊，普天之下，智慧第一，非你莫属。”","我反问达摩祖师：","“在菩萨，智慧第一是文殊菩萨。在阿罗汉，智慧第一是舍利弗。在娑婆，智慧第一是卢师尊。那么我请问达摩祖师，你在何界？智慧第几？”","达摩祖师呵呵大笑：","“你识得达摩未？”（第一机锋）","我答：","“不识。”（第一义谛的回答）","","达摩祖师反问：","“你这不识的卢师尊，我在什么界？我智慧第几？”","这本来是我问达摩祖师的，现在反而被达摩祖师拿来反问我，我若答的偏，会让祖师耻笑，我若顾左右而言他，说一切不相干的话语，也是输了一筹，我必须一语中的。我想起了达摩祖师回梁武帝的话，此时正好还于他。","答：","“廓然无境界，体自空寂，何有第一。”","达摩祖师听了，点点头。","我问达摩祖师：","“祖师逝后蜕化，为何独留一只草鞋？为何不留一双草鞋？”","达摩祖师答：","“寻找知音。”","“知音不是神光（慧可）吗？”","达摩祖师答：","“慧可是一只鞋，而另一只鞋就是卢师尊。”","我问：“为什么是我？”","达摩祖师答：“只有你问，从无人问及。”","","诗曰：","果然是圣僧。","变化水天身。","分明精神在。","我","谁能辨伪真。","",""
"025 流支三藏","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c025","在“水天”与“达摩祖师”见面，这时候谈起了昔日的“流支三藏”。","“流支三藏”是天竺人，通三藏经、律、论，比达摩更早到中国，成为一国的国师。","当“达摩祖师”到了中土之后，“流支三藏”与“达摩祖师”较量佛法，“流支三藏”不敌，深恐自己的国师地位不保，于是处处阻碍“达摩祖师”度化众生。","“流支三藏”精通佛法，神通法力高超，能驱使：","修罗天。","夜叉天。","龙天。","具摩罗天。","吉祥天。","飞天。","","“流支三藏”对外宣称“达摩祖师”与“飞天之女”有染。","又说“达摩祖师”不是佛教，而是附佛外道的“邪教”。","又说“达摩祖师”好名好利好权位，是一位权力的追求者。","又说“达摩祖师”只会邪术，没有真正的传承。其超高智慧是假的。","又说凡与“达摩祖师”在一起的人，是魔子魔孙，生前遭厄运，死后下地狱。","............。","“流支三藏”为了巩固国师的地位，命令人送毒药给“达摩祖师”食用。","一共毒了四、五回，均不死。","最后一次，送毒物给“达摩祖师”食用，达摩祖师自知“世缘”已尽，也就蜕化了。","","●","","我问：","“流支三藏，佛法一流，神通法力高超，何以世俗心如此重？”","达摩答：“有漏。”","我问：","“流支三藏最终如何？”","达摩答：","“长明何在？”","我问：","“流支三藏，既然明三藏，为何向那边？”","达摩答：","“虽明三藏，未出三藏。”","我问：","“流支三藏陷害你这么多，祖师有何特别感想？”","达摩答：","“感谢供养。”","我问：","“流支三藏，既然六通具足，为何坐假船？”","达摩答：","“六通具足，即非六通具足。”","达摩对我说：“你卢师尊，果然婆子心切！”","","诗曰：","真人何有色。","佛魔对决耶。","我","流支三藏者。","当代一朝霞。","（以上几篇文字，均含第一义，恐较难懂）"
"026 佛陀、达摩、卢师尊","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c026","“水天”，达摩祖师与卢师尊，正式的面对面，正式的对话。","达摩祖师问我：","“卢师尊，鱼在水中，以水为命，却为何死在水中？”","我答：","“我在娑婆世界，以空气为命，一样会死于空气之中。”","达摩祖师说：","“如是，如是。”","我说：","“苍天，苍天。”","达摩祖师问我：","“卢师尊见到佛陀否？”","我答：","“佛身充满于法界，当然随时随地可见。”","达摩祖师问：","“佛陀对你说什么？”","我答：","“识得你。”","达摩祖师追问：","“识得你什么？”","","我不答话，做了一个“金鸡独立”的姿态，左手持莲花，右手说法印。","然后我再说：","“我是不生的生，我是无说的说。”","达摩祖师大惊：","“卢师尊，今日我印证你，正眼法藏，涅槃妙心，释迦牟尼佛的证悟，与卢师尊的证悟，无二无别。”","达摩祖师又说：","“这是佛陀的无上智慧，如今，卢师尊也一样证得无上的智慧，佛陀、达摩、卢师尊，完全不二。这是最高的智慧，没有比这个智慧更高的了。”","达摩祖师再说：","“你有弥勒菩萨的《通天之书》在心中，何不看看上面写了什么？”","我内观。","上书一句：","“佛陀未曾出生。”","我一看，大喜，明白，一清二楚。","","达摩祖师说：","“当今之世，你的智慧已是第一，无人能及，你是当今的第一祖师。这世界有你在，所有圣贤要全部涅槃了，何况那些活佛、大师、上人。”","我说：","“一时演化而已。”","达摩祖师说：","“这无上的智慧一得永得啊！”","我说：","“不敢。”","达摩祖师说：","“我们的见面，是以幻见幻，以『水天』为因缘，我的印证是幻，你亦知道，你是幻生。”","","诗曰：","见面无时空。","在","证悟无西东。","原来全是幻。","苦乐梦魂中。"
"027 顽癣的治愈","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c027","一位“盈如”的新嫁娘，生了一位小婴儿，这位婴儿全身斑斑点点，从头、面、四肢、身子，全是顽癣。","她带小婴儿来见我。","我看了大骇。","我画了“治皮肤符”给小婴儿化饮。","但，毫无起色。","我又用“金刚指”加持小婴儿，仍然没有什么大变化。","我已经没有法子可以想了，突然我想到《通天之书》。","我看了《通天之书》。上书：","“速寻迦楼罗王。”","于是，我在禅定之中，以“幻身”去了宇宙的“天空城”。","这“天空城”原来有三王：","一、迦楼罗王。","二、大鹏金翅鸟王。","三、迦陵频加王。","","●","","原来“天空城”的三王，“迦楼罗”是九凤鸟，“大鹏金翅鸟”是鸟王，“迦陵频加”是妙音鸟，“天空城”是鸟国。","迦楼罗问我：","“卢师尊为何而来？”","我说：","“娑婆世界，有一婴儿，全身顽癣，无一处留白，不知如何治？”","迦楼罗说：","“你来对了！我九凤的涎液，正是所有一切顽癣的克星，任何皮肤病，均可痊愈，你取回去，画符时，将九凤涎液涂于符纸上，这小婴孩自可痊愈。”","我一听大喜。","我向“迦楼罗王”称谢。","迦楼罗王说：","“卢师尊大名，吾等皆知，知你已证悟了佛陀的证悟，以后若有需要，只须呼唤，吾等来助也。”","我取了“九凤涎液”，幻身出了“天空城”，我马上施法。","“盈如”的小婴儿，已转好。","“鲁文”已痊愈。","“罗全”已干净。","","●","","我有一个大发现，古来有“一物克一物”的现象，病理亦然，只要找对了药物，任何疾病均可治之。","弥勒菩萨给我一本《通天之书》，我只要翻一翻《通天之书》，答案就在其中。原来有皮肤之疾，要找“迦楼罗王”，顽癣本来是很难治愈的疾病，但，在我手下，癣疾全都好了，我的名声震动了朝野，上下十方，如今，我更忙了。","","诗曰：","皮肤要姝好。","须寻九凤王。","飞上天空城。","治愈就有望。","","","","","有","","",""
"028 癌症之“破”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c028","我发觉，我周遭的许多人，这个得了“癌症”去世，那个得了“癌症”去世，许多朋友得了“癌症”去世，许多同学得了“癌症”去世。","癌、癌、癌、癌、癌。............","我不禁大为惊骇。","“怎么这么多癌症？”（太多人得癌症了）","有一天，一位罗马利亚人的弟子，来对我说，她得了“癌症”。她叫“蜜海拉”。","有很多粒的“癌”在她的脖子上。","我急得不得了。","我终于翻开《通天之书》。上面写着：“去帝释天，善见城，找天医耆婆多。”","我以“幻身”出去，到了善见城，找到天医耆婆多。","","耆婆多对我说：","“癌”是细胞老化。","“癌”是细胞突变。","“癌”是细胞病变。","“癌”是细胞死亡。","“癌”是细胞中毒。","“癌”是细胞感染。","我问天医：","“如何治？”","天医说：","“在人间只有二项，一是割除，一是化疗。”","","我说：","“这个我知道。”","我问：","“如果是我呢？”","天医耆婆多哈哈大笑的说：","“你卢师尊是得了幻身的人，你具有神奇的幻手，能伸入人体之中，把人体内的癌细胞，像摘葡萄一样的摘了下来，那个癌症的病人就痊愈了。”","我说：","“就用幻手？”","天医说：","“没错，就用幻手。”","我问：","“有条件吗？”","天医答：","“相信你的人，向你祈祷，持你的心咒，你用『幻手』去摘除癌细胞。这些人会得到感应，癌癌癌癌癌，全部被你的『幻手』摘除，一刹那全部不见了。”","","天医又说：","“这些弟子会在梦中看见你，而你的手伸入弟子身中，把不好的细胞全掏走了。”","啊！我终于明白了！","于是，我终于运用了我这身外化身的“幻身”，到处去救“癌症”的病人，那些深具信心的弟子，得到“癌症”的，便一一的癌细胞消失掉，让医师大感惊讶。","罗马利亚的女弟子好了！","很多得“癌症”的弟子好了！","","诗曰：","人间生死离。","癌症人心急。","当","唯祷卢师尊。","幻手令病移。",""
"029 真的是“洗脑”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c029","一位“杨异”的小孩，天生就是一副“呆相”，如同“白痴”一般。","年纪已六岁了，连话也说不清楚，家长教他什么，他都不会。","表面上看不出来，但事实上是低能儿，他什么事均忘记。","从一到一百，也不会数。","加减乘除均不会。","食、衣、住、行均要人服侍。穿衣、吃饭都不会。","六岁了，连上厕所也不会。把屎尿拉在裤子里。","父母急了，带他来找我，我翻开《通天之书》一看，竟然是“洗脑”二个字。","","●","","我出了“幻身”。","到“杨异”的梦中，他梦见卢师尊把他带到天河。","把他的头壳打开。","用天河的水，拼命的冲洗，洗掉很多肮脏的东西，又把脑子里打结的，一一解开。","最后再把头壳缝好。","然后卢师尊从“天河”再把“杨异”送回梦中。他一直在梦中。","说也奇怪。","“杨异”自从做了此梦，一切记忆完全恢复，说话清楚了，一切事情自己能料理，食、衣、住、行，一一正常。","交代任何事，均记住。","上厕所，不用人教。","功课一学都会。","六岁的“杨异”竟成了“天才儿童”一般。","书只看一遍。","全部记得。","","“杨异”的父母原本烦忧这位低能的孩童，但，如今却忧愁一扫而空，比正常的小孩更优异。","我告诉杨异的父母：","“此子全凭天河的圣水洗净其脑部，而圣水的由来，是观世音菩萨净瓶所流出，你们当感念观世音菩萨，虔诚诵心经，念大明六字真言，或虔诵观音圣号。”","“杨异”的父母照办。","此事轰动全台。被赞为神医。","曾经有一位僧人，也是如此，读经旋记旋忘，永远也记不住。","梦中见卢师尊至。","带他去天河“洗脑”。","梦醒后，一目十行，一一记得牢牢的，整本经，全记得住。","如此奇异之事，僧人特别来感恩我的帮助。","人间有“洗脑”。","天上亦有天河“洗脑”。","听到这些真实传闻的，对卢师尊的“天河”洗脑，莫不肃然起敬。","","诗曰：","天河可洗脑。","世上实骇闻。","确实有此事。","光明入丹墀。","","","有","","",""
"030 铜身铁骨符","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c030","母“莲香上师”，今年六十岁，我六十四岁，二人相差四岁。","她的身体状况还不错，检查身体，唯一的麻烦是“骨质疏松症”。","二○○五年，她全身体检，骨质疏松的指数早已低于标准之下。","二○○七年，她全身体检，骨质疏松的指数已达危险边缘。","萧医师说：","“速速抢救！”","张医师说：","“速服钙质！”","然而，家庭医师开出的药剂，莲香上师每回服用，胃肠均不适应。","家庭医师想尽了办法，用“打针”的，用“流质”的，用“贴片”的。","莲香上师均不适应。","医师办法用尽，束手无策。","","●","","骨质疏松的严重者，我听说：","一、一跌倒，骨盘就断了。","二、一搬重物，骨折。","三、一扭身，骨碎了。","等等等等。","患者的骨头，已不坚固，而且呈现了松动及坑坑洞洞。","莲香上师对“骨质疏松”深具戒心。","我对莲香上师讲了一个笑话：","“你将来如果坐轮椅，我一定会帮你推，放心好了！”","她说：","“你会把我推到闪米密西湖里！”","哈哈哈！","","●","","有一天，二○○八年六月二十九日，我打开“天书”，问如何救“莲香上师”的重症。","《通天之书》上写：","“铜身铁骨符。”","我画了“铜身铁骨符”在二十九日晚，贴于莲香上师的脚边。","二○○八年六月三十日，她赴华盛顿大学附设医院找一位苏珊医师用最彻底的仪器，检查“骨质疏松”。","这位苏珊医师，是研究骨质疏松的专家博士。","答案出来了：","“莲香上师没有骨质疏松，比正常人更正常，支撑到一百岁，没有问题。”","吓！","我们均大吃一惊！","明明是骨质疏松症，前二位医师言之鉴鉴，而最后的结果是：","“铜身铁骨。”","我卢师尊的“铜身铁骨符”一贴，真的变铜身铁骨耶！","","诗曰：","骨质疏松诚可悲。","步伐动作觉行迟。","师","贴上铜身铁骨符。","恢复青春少年时。",""
"031 “风神”台风","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c031","○○八年五月三日，我在台湾桃园“林口体育馆”，举办了时轮金刚大法会，与会人士有三万人。","二○○八年六月中旬，在菲律宾形成了一个大台风，被取名“风神”。","这“风神”台风的走向，气象台报告：","由轻度、中度、强烈，渐渐增强。","路线由“吕宋”岛，吹向台湾海峡。","台湾的西部，由南到北，均会在暴风圈之下。","............。","我听到有人说：","“风神台风不给卢师尊面子，才隔一月，就来大台风。”","“时轮金刚法会刚完，就吹大台风，法会的法力，根本不起作用。”","“风神台风是故意来捣蛋的。”","“风神吹向吕宋岛，吕宋岛死伤严重，面目全非，损失惨重。”","“风神将笼罩全台。”","","●","","我有一丝丝的落寞。","时轮金刚大法会的法力无尽，怎么才一个月，就来大台风？","我如何阻止这么大的台风？救救我生长的地方。","我内观《通天之书》。","上书：","“风天”二字。","我出了“幻身”，飞向西北隅，口中念着“风天”的名字：","“嚩耶吠！嚩耶吠！嚩耶吠！”","我见到了“风天神”。","风天神是红黑的身子，身材高大，是西方五天之一，右手持杖，左手按腰，幢幡飞扬。","","我问：","“风神台风吹向台湾否？”","风天神答：","“是。”","我问：","“可有转向之时？”","风天神答：","“否。”","我说：","“那真是不给卢师尊时轮法会的面子了？”","风天神说：","“天地雷风泽水火山，均依天帝之勅令行事，甚少能违逆的。”","我说：","“我有佛祖律令，瑶池金母律令，三山九侯先生律令，这还不行吗？”","风天神一听，吓了一大跳。祂偷偷告诉我：“卢师尊可祭风天坛，便可。”（但，一年只能修一次法）","于是，我在曼荼罗之西南角，“”字，立一灯，然后，作法，将此灯吹熄。","说也奇怪，“风神台风”从“吕宋岛”出来，便转弱，消失无形，只剩下热带性低气压，“风神台风”解散了。","","诗曰：","风神如泼妇。","二","我是天人师。","急急如律令。","吹散风眼珠。"
"032 寻找“郑成功”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c032","一回，一位台湾台南的弟子，写信问我一个问题。","他说：“郑成功是赤崁楼，延平郡王神，他打败了荷兰人，收复台湾，请问师尊，郑成功转生何界？”","我想，郑成功是郑芝龙之子，是郑经之父，是郑克塽的祖父，郑成功是收复台湾的英雄人物。要寻找郑成功的转世，应该不会困难，因此，我没有内观《通天之书》，便以“幻身”去寻找郑成功。","出了“幻身”，我由上往下寻找，先到四圣界，佛、菩萨、缘觉、声闻，这四圣界，找不到郑成功。","我到无色界天，找不到郑成功。","我到色界天．同样找不到郑成功。","我到欲界天，连欲界天也找不到，这就令我奇怪了。","","于是我到神界去找——","龙王。","夜叉王。","阿修罗王。","大鹏金翅鸟王。","罗刹王。","地、水、火、风天。","雷神。","等等等等。","结果是令人诧异的，居然“神界”也找不到郑成功（延平郡王）。","我再找“地居神”，城隍、境主、土地、山神、河神、湖神......。","仍然没有。","","这时候，我急了，莫非藏身在“地方神”之中，例如：","“开漳圣王”、“五府千岁”、“天上圣母”、“三山国王”等。","我想“延平郡王”是“地方神”，绝对是错不了的。一定可以找到。","但，仍然没有。","最后无法，我以“幻身”去找“精灵界”。例如“囝阿公”、“百姓公”、“有应公”、“万善公”、“十八王公”、“显公妈”。","又是没有。","我几乎有点绝望了，我从最高的境界，找到“精灵境界”就是没有郑成功的影子，我找到：","“开台圣王庙”，主神是郑成功，但，原来也不是郑成功。","是姓“施”的。","这时，我想到“魔族”，莫非郑成功入了“魔族”，郑成功是民族英雄，怎会入了“魔族”？这是不可能的。","但，我仍然去找，果然，“魔族”里面没有，没有郑成功。","我想，我以“幻身”找一位大名鼎鼎的郑成功（延平郡王），一定可以找到，但，出乎意料之外，竟然找不到。最后，只好内观天书，天书上写“ＸＸ界”。我大骇，我请问大家“ＸＸ界”是何界？请参一参。","","诗曰：","烛暗行人静。","幻身去寻人。","原来有因果。","此恨果绵绵。","","","","","","","","","有","","",""
"033 龙王速去","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c033","是在“克麦特岛”的海滨，平静无波的海，突起大风浪。","原来是“八大龙王”来皈依。","当时在现场，有“莲信上师”等人为见证，确实令人震撼。","晴天。","无风。","风平浪静的大海。","突然涌起八股涛天大浪。","“莲体法师”也说。","“八大龙王来皈依，实在太不可思议了！”","","●","","又有一回，我出游，乘船出海，那天同样是晴天，也没有风，船走得非常平稳，天蓝、海蓝。真是一幅自然的大画作。","我想起一首诗：","天天天蓝。","蓝天天天。","又：","小小江山国。","轻轻袈裟衣。","波光清作面。","天势碧成圆。","","这么好的诗，这么好的天，这么好的海，这么好的出游，令人心旷神怡，大家快乐的不得了。","船行大海之中，我屡次闻到奇香，一阵又一阵的，芬芳馥郁的香息不歇。","突然－－","暴风忽起。","波浪跟着汹涌。","风急浪涌，我们那条船，简直就成了漩涡中的一片树叶。","风愈吹愈大，浪愈涌愈凶，小船好像要被掀翻了。","同门有吐了的。","有抓紧柱子的，椅子的。","有的诵念咒语。","这风来得奇，浪也大得奇，怎么好好的风平浪静，一刹那就变得好像船势必要沉没了也。","","有一位同门大叫：","“大黑浪！”","又有一位同门大叫：","“师尊救命！”","我正心端意，内观《通天之书》，上书：","“龙王来朝见卢师尊。”","我一下子明白，原来我嗅到的香，是“龙涎香”。波浪大起，是龙王及诸龙来朝见我这位法王。（佛王之王）","我立于船头。","向虚空写了四个字：“龙王速去！”","这四字才写完，只一刹那，风止了，浪平了，海面完全恢复了平静，刚刚发生的，简直像一场梦，不可思议的难思议。","","诗曰：","风吹浪就飞。","我","云遮日光辉。","原是龙来朝。","勅令平安归。"
"034 蛇与鼠","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c034","一名弟子，姓萧名山，他得了奇怪的痛症，为什么是怪症？","因为他的痛，会跑。","痛一会儿在“头”，又一会儿在“脚底”，又在“喉”，又在“四肢”，又跑到“心”，又跑到“肚子”，又跑到“后背”，又跑到“前胸”，最后跑到“肩膀”，也跑到“腰”。","萧山的痛，非常惨烈，哀爸叫母！","他当然找医师。","无因。","打针无效。","吃药无效。","针灸无效。","按摩无效。","全身扫描，不知为何引起疼痛？","他来找我。","","我用“天眼”一看，看见一条“青花蛇”，细细长长的，在萧山的全身游走，游到那里，他就痛到那里。","“怎办？”","我内观《通天之书》，上写一“鼠”字。","这下子我迷糊了。","“鼠”字何解？","我思考这“鼠”字，又想到“青花蛇”和“鼠”之间到底有何关联？","有一天，禅定。","我见到孔雀明王。","孔雀明王对我说：","“卢师尊，萧山的痛症，是青花蛇的缘故。而要引青花蛇，离开萧山最好的方法，其饵就是鼠，萧山须念你的心咒，等蛇跃出，卢师尊在萧山身上做结界，此痛症自可痊愈了。”","","●","","我由天书，见一“鼠”字。","再经过孔雀明王的启示。","我明白了。","我先请萧山居士禅定持根本上师心咒：","“嗡。古鲁。莲生。悉地。吽。”","在萧山之前，用铁笼子，装了一只老鼠，置于痛症病人的正前方。","如此，约半个时辰。","只见萧山居士，一声打呃，口一张，一条青花蛇从口中飞出，直向铁笼子里的“老鼠”咬下。","老鼠“吱吱”惨叫，死了。","青花蛇欲回萧山身上，此时我已在萧山身上作了结界。","青花蛇只有施施然，吐舌摇尾而离去。","（无形）","自从作了这一次的法，萧山的痛症，便完完全全的痊愈了。","这是很神奇的妙法，把缠身的青花蛇引出，这个法术，可算是千古奇闻吧！此事相当传奇。","人人乐道！","","诗曰：","何物身上栖。","痛症叫人迷。","唯祷天书救。","蛇精才奔离。","有","","",""
"035 雷声隆隆之日","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c035","○○八年七月一日，那天清晨，我刚修法静坐，一阵又一阵的雷声隆隆，而虚空中的闪电，一条又一条，闪电及雷声，没有间隔过。","这令我想起，中国有一个小乡镇，听说雷电特别多。","曾经有一回，一整天雷电不止，闪电打雷竟达四千次。","据说：","焚屋数栋。","被雷击中的树木无数。","被雷电打死的人也有七人。","这个雷声隆隆之日，在美国“西雅图”是很少看见的，很少有。","电光四面八方而来。","雷声震天而响，有嘶裂之声，连地都震动了。","“劈利叭拉！”","大地被震得跳跃。飞砂走石，掩天遮日，一阵闪电，一阵雷，有时八道闪电一起下，那雷声使人耳聋。","","我心中嘀咕：","“怎么回事？”","而这些闪电，在我的房屋四周，一条又一条电蛇，连下好多条。","雷声的轰隆，就在屋顶，连家中地板也跳“曼波”了！","我向虚空发问：","“怎么向我打来？”","虚空中，九天应元雷声普化天尊答我：","“捉逃逸的八爪鬼魔。”","我说：","“我这里岂有八爪鬼魔？”","九天应元雷声普化天尊答：","“明明看见躲入你家，却突然不见了踪影，这真奇怪？”","我不再多说什么，只专注我的修法，我修法时，顶放三光：","佛光。","白光。","灵光。","","这三光一放，雷公电母，雷部正神，便匆匆的离去了。","一刹那，晴空无云，雷电均止，这打雷闪电有二小时有，二小时后，一切恢复正常。","我在坛城前，站立起来。","一只八脚的“金龟仔”，从我袈娑掉了下来，那只“金龟仔”仿佛向我顶礼三拜，爬啊爬的，伸出双翼，从窗口飞了出去，飞出去就不见了。","我很讶异，我袈裟内竟有一只八爪“金龟仔”。","我内观《通天之书》，上书：“误救魔族！”","啊！原来“金龟仔”就是“八爪鬼魔”。","我内观《通天之书》，问怎办？","书中二个字：“因缘。”","","诗曰：","八爪鬼魔飞。","雷电拼命追。","寄语鬼魔族。","潜心真忏悔。","","","二","","",""
