"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","firstcharacter","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63"
"022 赤子之心","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c022","先讲一则笑话：","有一位老师，为了测验学生的爱心程度，出了一个问题，问小明：","老师说：","“小明，如果你在公共汽车上，看见一个行动不便的老婆婆站在你面前，你要怎么做？”","小明说：","“老太太，你年纪那么大，不要省钱了，改坐计程车吧！”","(哈哈哈！)","","我常常讲一则故事：","一个专门行抢的强盗，到一个村庄去抢人财物。","进入村庄时，看见一位才会学爬的小婴孩，这位婴儿爬到一个井的边缘，很危险的趴到了井口，再进一步，就掉下去了。","强盗一见，不由自主的，便大步向前，救了这位小婴孩，把他安置在一个安全的地方。","然后才继续去行抢。","","我说：","就算是一名抢匪，仍然有恻隐之心。","而我们做一个行者，当然要发出菩提心，所谓愿菩提心、行菩提心、胜义菩提心。","","我们常说：","给人快乐－－慈。","拔除人的痛苦－－悲。","欢喜的去行愿－－喜。","平等无差别的给予－－舍。","我认知，发菩提心的重点在一个“舍”字上，“舍”是一个大口诀。","所谓“无缘大慈，同体大悲”不是口头禅，而是一个“舍”字了得。","","我们知道：","人身是苦。","人间是火宅。","众生莫不是可怜人，尤其是你的怨敌及仇视你的人，他们不明白、不清楚、没有悟境，这些怨敌仇视，岂不是可怜中的更可怜人。","所以你须要去度化他们。","","这是：","“舍”。","“舍”之一字，是发菩提心的一个基点，有了平等无差别的心，才是菩提心。","","为他人想。","不为自己想。","这才叫菩萨。","愿菩提心的口诀是—－“自他互换”。","行菩提心的口诀是—－“平等智慧”。","胜义菩提心的口诀是－－“空”。","","发菩提心有三：","国王发心－－自己先成就，再度人成就。","舟子发心－－自他一齐成就。","牧童发心－－他人先成就，最后自己才成就。","","我(莲生活佛卢胜彦)这一生，倒装下凡度众生，最主要是演一场救度众生的戏。","施财－－卢胜彦布施基金会。","施法－－灌顶传法无数。","我","施无畏－－同登彼岸。","五戒－－勿行邪径。","十善－－利益众生。","精进－－懒惰懈怠须抛弃。","禅定－－不执着一切。","智慧－－闻思修到彼岸。","","这就是一场救度的戏，戏演完了，我就走了！","","忍辱－－自他平等。","哈哈哈！",""
"023 什么是最大福田","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c023","记得有一个笑话是这样的：","一位学生对数学老师说：","“我父亲，想来旁听数学，可以吗？”","数学老师说：","“当然可以，他对数学有兴趣？”","学生回答：","“不！我父亲认为能睡眠是最大福气哩！”","","数学老师说：","“这跟数学有什么关系？”","学生回答：","“我父亲严重失眠，任何治疗都无效，听说我上数学课，很快梦见周公，他想来试试看！”","哈哈哈！","最大福田是睡觉哩！","","我们行者最大的福田是什么？","我认为是：","请佛住世。","请佛转法轮。","这是最大的福田。","有人认为，布施是最大的福田，这也对，因为布施获得的功德，可以得到天人的福报。","也有人认为，供养三宝是最大的福田，这也对，因为供养三宝，聚集的福田最多，最容易得到佛菩萨的加持。","更有人认为，看病福田第一，这也对，因为病是最苦的事，你能拔除病患的痛苦，福德福田自然很大。","","但是，眞正最大的福田仍然是:","请佛住世。","请佛转法轮。","因为请佛住世、请佛转法轮，才能让娑婆世界有佛法。","佛法利益人天，故功德福田第一。","若无佛法，什么是福田？","","我记得：","当释迦牟尼佛将涅槃时，有一位居士，名叫“珍达”，祈请佛住世。","佛就延迟了三个月才涅槃。","继续多讲了一部大经。","","还有：","当释迦牟尼佛在菩提树下悟道，七七四十九天，不想度众生，不想说法，想解脱而去。","就有大梵天、帝释天下降。","供养了右旋海螺及金轮。","祈请佛陀说法。","佛才说法转法轮。","如此，佛法才得以在世间流传。","这才是最大的福田啊！","","世间福田、出世间福田，何者为大？","我的福田口诀是：","请佛住世。","请佛转法轮。","这是圆满资粮最大的口诀。","","我","我写二偈：","福田又福田。","众等很卖力。","万缘带不去。","","又：","福田又福田。","不如有佛缘。","功德现在前。","聚积金银宝。","请佛转法轮。","这才是最大福田的口诀！"
"024 眞空的法尔本然","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c024","先讲一个笑话：","老王开了一家棺材店。","有一个人到来问货：","“这口棺材和那口棺材价钱差了一大半，可是仔细一看，没有什么不同！”","","老王说：","“二口棺材外观差不多，但，另一口贵的，是依人体姿态而设计，睡起来特别舒服，不然你可以睡看看。”","","客人愣了一下：","“……。”","哈哈哈！","我的意思是说，人已死了，归了空，什么是舒服？什么是不舒服？","","我说：","人死了，一切停止，身体归于寂静。","","我们密教常常要学“观空”、“禅定”、“入三摩地”。","这是眞空的法尔本然。","身的口诀－－不动。","语的口诀－－禁语。","意的口诀－－寂静。","能够做到这三点，就可以眞空的法尔本然。","这三点看起来很容易，但做起来相当困难，不容易。","","身方面：","离一切俗世之事，连佛事也停止，以七支坐坐定，一动也不动。","语方面：","禁语，不说一句话，连持咒也不用，连默念也没有。","意方面：","一切妄念停止，不思过去、现在、未来。没有迷惑，一切顿然而止。","","不观想本尊及坛城。","不观心，不着意。","(似乎这一点最难，一般人的杂念非常多，连想也不可想。)","就连不可想的念头也没有。","这是眞空的法尔本然。","","这就是：","“无始无终”。","“无生无死”。","“本然本然”。","“眞空眞空”。","〈光明及幻身合一〉","","也就是：","光明与佛性。","无忘与无着。","不审及恒在。","妙有及妙空。","在这个毫无境界的状态之下，一切都不用解释了，解释也是毫无意义的，不可说，不可说。","","我","有了这个，能调伏众生，能一切寂静、能除迷惑、能增德性、能无畏惧、能福德、能觉悟、能善度人、能具慈悲、能有神通……。","","这种口诀是：","是：","“无执无着。”","也就是文殊师利菩萨的：","“身空、心空、法空、性空。”","……。","","“法尔本然。”","",""
"025 密教圆满次第的前导","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c025","于密教圆满次第的方面，我在法座上讲解的已相当多，口诀心要已大部分的详细说明，例如:","脉、气、明点。","九节佛风。","金刚诵。","宝瓶气。","拙火。","明点。","有关于这方面的知识，我都细说过，其中的口诀，在在都有，这些不只是知识，而是实修，实际上必须脚踏实地的去做。","","又：","九节佛风，是三套动作和观想，各反覆三次。","重点是：","精神集中。","念力。","细、慢、长。","为什么要“细”－－口诀是“精细”。","为什么要“慢”－－口诀是“定心”。","为什么要“长”－－口诀是“入静”。","","又：","金刚诵，是观想“”嗡、“”阿、“”吽。","嗡－－表征三世一切佛的加持(白色)。","阿－－表征三世一切佛的语(红色)。","吽－－表征三世一切佛的意(蓝色)。","我们晓得这是诵咒、观想、持气，三密合一的修法。","","一入、二持、三出。","我告诉大家：","此三字有大功德－－可以改变命运。","此三字的重要口诀是：","嗡(法身)。","阿(报身)。","吽(应身)。","短字“嗡”入，久住“阿”字，长呼“吽”字。","","它的重点是：","由“入静”再达到“无生”。","","又：","宝瓶气是内法的练气法门，观想三脉。","先上行气下压，下行气上提，二气合于脐下，成一宝瓶状。","","分四段：","引－－纳气。(长吸下腹，提下行气，合一。)","满－－闭气。(闭三十秒，或愈久愈好。)","消－－散气。(全身毛细孔)","射－－冲顶及自然由鼻孔射出。","","重点:","令气入中脉，也就是由方便气变智慧气。","","对","注意事项：","用鼻孔出入息、生病不可练、数量不可多于二十一次、清晨空腹最好。","口诀：","","我个人觉得，“九节佛风”、“金刚诵”、“宝瓶气”，非常重要。","这三者修得佳妙，很容易进入圆满次第的观修，是重点，也是前导，在法座上，我讲解得非常清楚。","三者口诀甚多，须请购DVD。","","妻子说：","须请教金刚上师，男女有别，此法须仔细，不能忽视，有危险性。","我讲一则笑话：","“很多男人都说我脸蛋漂亮，身材健美，你都不曾说过。”"
"026 从“气”入中脉到正觉“佛果”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c026","本文中，我简略说明其程序，但，句句都是“口诀”，请仔细体会。","一、把气入中脉，由方便气转智慧气。在你的额头眉心，观想本尊在此。","(住气久，提起本尊，现本尊空色。)","二、行者即是本尊空色。","(由此出生佛慢，而且一念专缘本尊。)","三、本尊空色下降至脐轮，于此修“金刚诵”及“宝瓶气”。","","将“上行气”及“下行气”聚在脐轮。以“挤”、“压”、“搓”，令“拙火”升起。","“挤”。(聚气)","“压”。(绑紧)","“搓”。(摩擦)","是重要口诀，能令“拙火”升起。","","四、“拙火”升至“眉心轮”，将白色明点溶化，经中脉下降引生“四喜”觉受。","“初喜”。(喉)","“胜喜”。(心)","“超喜”。(脐)","“俱生喜”。(生殖)","","五、逆提明点经中脉上升回眉心轮，产生了“四空”。这“四空”也有“四喜”的觉受。","(这就是大乐空性无别无二。)","","六、在脐轮观本尊空色，依止眞实明妃或意想明妃，由坚固的金刚杵间的白明点及顶轮的红明点，引出乐受。","(出生大乐)","","七、将所有的白色明点及红色明点全部集中在中脉，如同千层糕状。","只要一点明点聚集，便会生一分大乐，这一分大乐会把一分业风断除。","行者以本尊空色，便证得正觉佛果。","(此时红白明点在中脉中完全聚集圆满。)","","注意事项:","本尊空色与本尊佛母入双运，由拙火溶化眉心轮的大白明点，下降至金刚杵尖，是“四喜”的殊胜觉受。","","接着：","逆提明点经中脉回到眉心轮，是增上四喜四空的大觉受。","此处讲：","白明点，是人体的分泌激素。","红明点，是拙火。","“空”是幻身。","“色”是光明。","","我个人的实修体会是：","气入中脉，是至要至要。","升起拙火，是至要至要。","溶化明点，是至要至要。","明点下降，是至要至要。","明点上提，是至要至要。","打开五轮，是至要至要。","本尊空色，是至要至要。","空色合一，是至要至要。","(幻身光明合一，即是佛果。)","在","","有人问我：","“在本文中，你为何不提，双运法是至要至要呢？因为双运可令拙火升、明点降，如何不提？”","“人是最麻烦的动物，如果提，这些动物又会出来叫叫嚷嚷。”","人是最麻烦的东西。","哈哈哈！","","","","我答：","",""
"027 修守护轮(之一)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c027","则上，修守护轮，是排列在前行的最后，但，在必要的时候或日常生活中，也有单独修守护轮的，守护自身及守护居所，均很重要。","","我曾教大家：","手结“金刚合掌”。","念：","“嗡。波汝蓝者。利。”","金刚合掌印五处：头、喉、心、左肩、右肩。","观金刚手菩萨，光明遍照行者；或行者自身变化金刚手菩萨。","这是：","披甲护身法。","","另外：","守护自身又有多法：","其一，念诵本尊眞言，观本尊住顶，本尊转化成月轮。","月轮分三次，溶化成甘露，滴滴降于行者自身，行者全身白色，如月轮般。","念：","“自他一切诸法本来清净。”","","其二，在眉间安立大日如来，在喉间安立阿弥陀佛，在心间安立阿閦如来，在脐间安立宝生如来，在密间安立不空成就如来。","也可安立种子字。","观自身转化成金刚萨埵。","念：","“嗡。班杂。萨埵。啊。吽呸。”","","其三：","念〈七佛灭罪眞言〉。双手洗涤，右手观成月轮，左手观成日轮。","双手合掌，于日月合掌中，有一青色“”(吽)字，再转化成金刚杵。","接着用金刚杵(双掌)印头、喉、心、脐、密、双肩、双脚。","持本尊咒。","想念自身与本尊无二无别，住本尊佛慢。","","其四：","观想行者自成本尊，以本尊种子字，布满全身，成为本尊金刚不坏本性。","然后本尊穿戴金刚铠甲。","或一切利器守护。","","其五：","行者自身各处的脉轮、关节等，全部以咒字庄严。","这些咒字又转化成金刚杵。","金刚杵支支放五色光明，不但照自己，也照十方魔障。","将十方魔障全部摧毁。","(以上是修守护轮的方法，其重点是手印、观想、咒字，全部化为胜解。)","","我讲一个笑话：","甲说：","“每次和太太闹别扭之后，我们都口干舌燥。”","乙说：","“两个互骂，骂太多了吧！”","","甲说：","“不是，一句话也未说。”","原","乙说：","“那怎么会？”","","“因为我们只是猛向对方吐口水！”","(哈哈哈！)","","我们与魔障之间，不用互骂，也不用吐口水，我们只是修守护自身的轮法，自己就清净无比了。","这些的口诀正是：","不坏。","甲说：","清净。","坚固。"
"028 修守护轮(之二)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c028","在本短文中，再谈修守护轮的“守护居所”的方法。","","我过去的传授是：","金刚地基。","金刚墙。","金刚火院。","金刚网。","这是守护居所的方法之一。","","另外，我常常修的是，每半个月，必须双手合掌，念〈九字眞言〉。","以“临、兵、斗、者、皆、阵、列、在、前”，加持居所的各处，净除一切魔障。将居所内的魑魅魍魉全给遣散。","","藏密的修法是：","先有虚空坛。","中有半月的风坛。","上有三角形的火坛。","(火、风、空三字)","","接着守护轮生起，在这下方就是“地基”，再出现了五重的“围墙”。","每一个“围墙”，布满了利剑及矛枪，以防卫外来的鬼神侵犯。","在上有“金刚网”，守护空中。","在下有“金刚地基”。","四周有“金刚墙”。","金刚墙有布满利器的。","金刚墙有布满火的。","而在这当中，有金刚宫殿，中央就是“法座”。行者坐于莲花座上，座上有一日轮垫，行者就坐在日轮垫上修法。","(以上是守护居所)","","接着，要召请，守护的诸尊，一一由虚空下降。","例如：","十大忿怒明王。","十大消竭本尊。","十大星宿本尊。","十大龙王尊者。","十大鬼神诸尊。","这些请来，是守护行者修法的。尊尊立于居所的方位。","(如曼荼罗的布置)","","行者自身转化为“本尊”。","在这些繁琐的行法之中，全依“观想”而进行“生起”。","","最后行者要供养诸尊：","加持肉，供养。","加持酒，供养。","加持水，供养。","等等。","","我在这里，请大家注意，我们常常在法会进行中，摄影到“般若光”。","“般若光”如果放大。","请注意，里面就是中央主尊，四周全是守护诸尊。","“般若光”就是诸尊居所的显化。","我","","还有：","我们修行人，乘坐飞机，飞在高空之中，有人摄影，摄到飞机被彩虹光团团围绕着，非常美丽。","","口诀是：","观想清晰。","仪轨分明。","供养虔敬。","","这些现象正是守护行者的诸尊，正在守护飞机内的行者。","",""
"029 睡觉与起床","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c029","曾经如此传授“眠光法”：","我们在睡觉之前，先观想自己的喉咙部位，有一“” (些)字。","将“些”字转成阿弥陀如来。","","接着阿弥陀佛放红色的光明，射向虚空。","如同烟火的红色大光明，如华盖伞。","渐渐下降。","把行者全身罩在红色大光之中。","如此入眠，就是“眠光法”。","","另：","睡前，于身中各轮，大日如来(眉心)、阿弥陀如来(喉)、阿閦如来(心)、宝生如来(脐)、不空成就如来(密)，各个入定位。","或以咒字入定位亦可。","接着各个如来放光。","行者自身，就睡眠在五色光明之中，这也是“眠光法”。","","另：","行者在睡眠前，先观想“让”字，身子起大火，将自身烧成灰。","再观想“样”字，灰烬被风吹拂，身子等如虚空。","最后观想“杭”字，一切消失无形。","也就是等于一滴水入于大海，或是子母光明会，小光明融入大光明。","这是“眠光法”。","","又：","起床醒来的时候，要观想空行母众，摇着鼓声，咚咚咚的响。","或是天女唱着天乐。","劝请行者出光明定。","行者化为本尊。","","我说：","“这些全是口诀。”","在大瑜伽中：","行者一切行止威仪，全是本尊大乐智慧的清净变现。","在周遭的人，全部是本尊的天众。","外面的器世界，全部化为宫殿城堡。","一切的观想随心，成就曼陀罗。","","我说：","“这些全是口诀。”","我们在修习生起次第圆满之后，就应该进入圆满次第。","因为圆满次第是“出世”的，才能将行者自身转化成正觉佛陀。","","我用一个笑话来比喻：","如果我是一名领导人。","要胜世界的足球杯。","从死刑犯中，挑出二十岁的健壮年轻人。","训练踢足球几年。","然后让他们踢世界杯。","赢了，就让他们出狱。","输了，就让他们枪毙。","","我","我说：","他们保证会赢。","因为是生死一搏啊！","我说：","我们学佛也是一样，一定要努力精进的修持。","修不成－－轮回生死。","修成－－成佛。","如果你愿意在轮回六道中受苦，一次又一次的无期徒刑，你就不用修。","","","",""
"030 舍弃自己的身体","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c030","在这里，先讲一些道理。","在西藏，再努力也烧不开一壶水。这说明“环境”是很重要的。","骑自行车，再努力也追不上摩托车。这说明“对等”是很重要的。","男人，再优秀，没有女人，也生不下一个小婴孩。这说明“合作”是很重要的。","","一个人，再有能力，也拚不过一群人。这说明“团队精神”很重要。","想要有水喝，买再大的桶子装，都不如挖一口井。这说明“来源”很重要。","想要五福临门，唯有相信因果，注重德修，厚德载物。说明“为人”很重要。","想获得成就，唯有眞正改变，从事上改，从理上改，从心上改。说明“心态”很重要。","","两只青蛙相爱，婚后生了一只癞蛤蟆，公青蛙大怒。母青蛙哭着说，婚前去整了容。说明“了解”很重要。","","小驴问老驴，咱们天天吃草，而奶牛顿顿吃精美饲料！老驴叹道，我们靠腿吃饭，人家靠胸脯吃饭。这说明“条件”很重要。","","鸭子与螃蟹赛跑，难分胜负。裁判说，你们划拳决定胜负。鸭子大怒，我出的全是布，他总是出剪刀。这说明“先天”很重要。","","狗对熊说，嫁给我吧！你会幸福的。熊说，嫁你生狗熊，我要嫁给猫，生猫熊才尊贵。说明“选择”很重要。","","我主要是说明：","布施是最大的资粮，有施才有福，要得到最大的福，须全部能施，什么是全部的布施？舍弃自己的身体，是最大的福。这说明“舍身法”是最重要的。","","舍身法如下：","先由自身明点，如豆大，飞上虚空，念“呸”字，转化成玛吉拉尊黑怒母。","右手钺刀","左手持嘎巴拉(颅器〉","左手夹卡藏卡的权杖。","","而：","行者自身仰卧。","观身子如同大千世界一般大的尸体。","于是玛吉拉黑怒母，用钺刀割下了行者的头，用三个支架，支起。","支架下面有火，生起了熊熊烈火。","自己的头如颅器。","","玛吉拉黑怒母，用钺刀，将尸体分支分解，一一焚烧，成了甘露。","“杭”成了白色甘露。","“阿”成了红色甘露。","先将红白甘露供养上师、本尊、护法。","再将红白甘露供养六道众生及自己的冤亲债主。","令上师、本尊、护法欢喜。","令自己的冤亲债主欢喜高兴而离去。","令鬼神众欢喜。","(观想的过程，要念“嗡阿吽”三字咒。)","","这种修法是：","舍身。","发大菩提心。","将自我完全舍弃，供养。","消灭自我的贪、瞋、痴等。","","因为如此的修法，很容易就得到了“资粮具足”，修证“无我”，证得“空性”成就。","我","此法一切口诀，都是大圆满。","最大的施舍，就是最大的福报！","","","","","","","","","",""
"031 坐一支香","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c031","先，我在一个小房间，点上一支香，把电灯关掉，把窗帘拉上，整个房间是黑漆漆的，这时候房间只剩下一支香的红点。","看见了这个人的未来……。","我以自然坐姿，双眼注视这一支香的小红点，完全专注在小红点上。","没有刻意执着。","没有散乱。","就是把眼睛自然的看住小红点。","如果不经意的离开，我就拉回在小红点上。","我很洒脱的坐着。","我不思。","也不想。","不管时间的长或短。","就这样的坐着。（无心）","后来那红点竟然放大，渐渐的变大，整个房间全是红点。","先是一点又一点，愈变愈多，后来整个房间全红了。","","最后，连我的身子全融合了小红点，我与红光合一了。","我自然的坐着。","我已变红光。","竟然我的身口意住于“法尔本然”的状态，妄念全止息了，进入了入定的状态。","","这个口诀是：","身－－远离散乱。","口－－远离语言。","意－－远离杂念。","","天啊！我在半梦半醒之间，觉得心灵非常的清明。","我竟然看见房间外面的世界，有一位访客在大楼下的客厅，他要来见我。","我自然而然的开了玄关的门，等着他。","","他问：","“你怎么知道我来？”","我答：","“我看见了！”","","他问：","“怎能看见？”","我答：","“一支香。”","他莫名其妙！","哈哈哈！","","我居然能从这一支香的“法尔本然”，看到外面的世界，看到人，看到事，看到未来，看到虚空，看到佛国，看到虚空中的访客，看到无尽……。","","我讲一个笑话：","一个男人心情沉重的在酒吧喝酒。","服务生问：","“先生！你心情不好，有心事吗？请说出来大家听听！”","男人说：","“我是同性恋。”","","服务生说：","首","“那又怎样？”","男人说：","“我哥哥也是同性恋。”","“……。”","","男人说：","“更糟的，我弟弟也是。”","服务生说：","男人说：","服务生说：","“难道你家人，没有人喜欢女人吗？”","“有！是我妹妹。”"
"032 明点微细的口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c032","记得以前在上师处，上师赠我“水晶球”一粒，意旨是要我修“明点法”。","","明点法口诀如下：","眉心观“嗡”字。","喉间观“阿”字。","心间观“吽”字。","脐间观“吙”字。","密轮观“杭”字。","顶轮观“哈”字。","杵尖观“呸”字。","","重要口诀是：","观修二根之力，引出了拙火，以下行气令拙火上升，经中脉上升，拙火触眉心，令菩提心月液下降，明点至喉，生“初喜”，至心生“胜喜”，至脐生“最胜喜”，至杵尖生“倶生喜”。(此即下降)","","又：","从杵尖向上逆提，至眉心，就觉受了“四空”，四空之中亦含“四喜”。","(此即上提)","明点至脐－－“等流果”。","明点至心－－“异熟果”。","明点至喉－－“受用果”。","明点至眉－－“离系果”。","","我告诉大家：","下降及上提均会产生相续不断的无限大乐，由觉受大乐通达空性的心识，这即是极殊胜的印证，“乐空”也就是佛的意法身的基础。","","其重要口诀是：","“拙火”二根之力。","“气”运行之力。","“脉”通行之力。","“明点”观修之力。","“乐”觉受之力。","“空”觉受之力。","“佛果”是“光明”及“空性”的结合。","最细身包含了：","“大乐”、“光明”、“空性”的结合。","","有弟子问：","“密教修行有分九部及四部，到底是何者才是？”","我答：","“二者均是。”","","弟子问：","“密教的父续及母续是指什么？”","我答：","“父续是指方便，母续是指智慧。”","","弟子问：","“显教密教的分别？”","我答：","“显教是菩萨乘，属因乘。密教是金刚乘，属果乘。这二者是不可分的，显密要圆融。显教是修成佛之因，密教是修成佛之果，修密教也要以显教为最重要的基础。”","","我","我告诉弟子：","我以前学习过一种方法，观想眉心的菩提心月液的时候，要想拙火猛烈燃烧。","要吸一口气。","如此可以融化更多的明点。","每一次都要吸一口气。","然后要身体之内全充满了白色的明点。","当身心充满了空乐光明智慧时，是安乐无比的。","由安乐无比，进入了甚深的禅定，这个时候全身是白色的光气。","","拙火才会扩大。","住在宽坦的光明之中。(至要，至要！)",""
"033 令“心”安住的方法","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c033","告诉大家一个让“心”安住的口诀，这是我个人的经历，我通过这个经历，进入禅定，觉受到最大的，无比的安乐。","","我只观想：","顶轮之上，坐着本尊阿弥陀佛与佛母，本尊父母坐在一朵莲花之上。","莲花的茎，插入我的顶轮中脉的洞。","本尊父母双运。","","于是白色的甘露流入莲茎，再流入我的顶轮中脉，充满中脉。","再充满五轮。","再充满全身的脉轮。","","最后充满全身的毛细孔。","行者全身充满了白色的明点。","","这个过程之中，我一直不停的念：","“嗡。阿弥爹哇。些。”","我用阿弥陀佛的坐姿。","","口诀是：","身－－阿弥陀佛身印。","口－－阿弥陀佛心咒。","意－－阿弥陀佛观想。","(佛父母双运，流下白色甘露，使行者自身充满白色甘露。)","于是，身、口、意清净。","进入安乐的禅定之中。","","这个时候，我的自身转化成白色的五股金刚杵，这五股金刚杵之顶，上达梵天，下达大地的金刚地基。","五股金刚杵放射白色的光芒，旋绕着金刚杵的四周。","一切魔敌不能伤害。","然后，从光芒中飞射出小的白色五股金刚杵，遍满了十方法界，摧破了四魔。四魔是天魔、死魔、病魔、烦恼魔。","","最后，白色的小金刚杵，又回到自身白色大金刚杵中。","安乐无比！","","弟子问：","“卢师尊的这种安乐定，不是纯粹的假想吗？”","我答：","“密教是以方便的色法二身的仪轨来进行修习，经由不断的修习之中，便能把纯属假想的色法二身变成事实。”","","我再说：","“所有的胜义光明，如甘露、金刚杵、觉受大乐、白光、小金刚杵，是能由相应的修习中引生出来。尤其是本尊的加持及摄受的力量，这些力量是乐空无别的。”","","口诀是：","由粗身修至最细身。","“幻身”亦如此修。","“光明”亦如此修。","","我常常举一个例子：","太阳光。","凸镜。","纸。","我","太阳光经凸镜聚集成一个最细的焦点时。","照在纸上。","“轰”的一声，火燃起来了。","“幻身”产生了。","这就是引出的作用！","","我实实在在的告诉大家：","牛不是用吹的，火车头不是用推的！","","“光明”产生了。","",""
"034 姿势的口诀（修身）","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c034","先讲一个笑话：","在一辆游览车上。","一位身材高䠷的漂亮小姐说笑话。","她说：","“请大家猜一猜我的职业。”她接着说：“我每天上班，都要脱衣服，一整天都在扭腰，屁股摆来摆去，还常常把两腿张得很开……。”","","游览车上的人听了均面红耳赤，心中还想：","“夭寿哦！这是什么职业！”","后来答案是：","“瑜珈老师”。","哈哈哈！","","在密教观修之中，也有姿势是很重要的，并不是要大家打拳，但，也叫“金刚拳”。","其一：","“七支坐法”。","一、舌抵上颚－－使命气入中脉。","二、曲颈如钩－－使上行气入中脉。（下巴压喉结）","三、脊直肩张－－使遍行气入中脉。","四、手结印在丹田－－使火伴气入中脉。","五、双足跏趺－－使下行气入中脉。","六、口闭－－禁语。","七、不起念－－意念不杂，精神集中。","(这个坐姿，是观修入定的姿势，常常要用到的。〉","","其二：","“六灶印坐法”。","观修拙火的坐姿，米勒曰巴尊者，以此坐姿，修证拙火法。","一、行者用坐，两腿屈膝，左右腿在外，膝盖压脐轮。","二、两臂互交叉抱住双腿。","三、身坐直。","(此法易产生拙火)","“压”是口诀。","","其三：","“金刚杵印”。","有立姿与躺姿。","立姿与躺姿相同。","双手合掌置头顶上方，如上股状。","身体保持端直，如中股状。","双腿略弯，双脚足跟相抵，如下股状。","立姿－－脚趾着地，承受重量。此姿势较辛苦。","躺姿－－不辛苦。","(这是自身变化金刚杵，不受烦恼及魔障。)","","其四：","“忿怒降伏印”。","立姿。","右手高举，结“降伏期克印”。","左手平胸。","面忿怒。","右脚弯曲。","我","左脚伸直。","(此印降伏四魔)","","狮子坐－－观光用。","卧象坐－－观光用。","仙人坐－－观光用。","（此三法须口传及示范姿势）","","“提明点飞须弥山印”、“萨迦六式”。","其五：","其六：","姿势须口传示范，属无漏法。"
