"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","firstcharacter","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63","chapterbody 66","chapterbody 67","chapterbody 68"
"027 A Grandson in Heaven","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c027","n old man loved his grandchild dearly. The little boy was named Youyou.","","Youyou was born after his father passed away. Because his mother worked, his grandfather helped take care of him, and a deep bond developed between grandfather and grandson.","","When Youyou was small, his grandfather took meticulous care of him. He fed him, bathed him, and put him to bed.","On holidays, if his mother did not visit, grandpa would take Youyou to the zoo, miniature world, aquarium, and other theme parks.","","Grandpa treated Youyou as if he were his own son.","","Later, when Youyou started school, the first thing he asked when he came home from school was, “Ah Gong, where are you?”","","Youyou was a clever boy.","","He knew how to make tea for Ah Gong. He washed dishes.","","He took out the trash.","","He gave Ah Gong massages.","","He also told funny stories about school so that Ah Gong could not stop smiling.","","Ah Gong loved this grandson to death. The two of them even played hide and seek.","","When Youyou was nine years old, he caught influenza. Ah Gong looked after him carefully. But, unfortunately, Youyou developed complications and died.","","With Youyou passing away, the old man was heartbroken.","","Ah Gong could only scream to the sky, “Heaven! Why are you so ruthless! Why are you so cruel!”","","Oh! What was there to do?","","Later someone introduced this grandfather to the True Buddha School. He registered Youyou as a main supplicant for five consecutive times during the True Buddha School bardo deliverance ceremonies.","","Grand Master Lu gave him a reply, “Amitabha has guided your grandson Youyou to rebirth in the Buddha’s Pure Land.”","","This grandfather sought out a medium, and the medium said, “Youyou is in hell, locked up in a city for those who have died in vain. He is suffering from cold and starvation there.”","","When the grandfather heard this, he became so angry that he stopped coming to the Lei Tsang Temple. He believed the medium and burnt case after case of joss papers to Youyou.","","The medium said, “Youyou wants food!”","","Grandpa sent Youyou’s favorite foods to the medium, and the latter ate them all.","","The medium said, “Youyou wants money!” Grandpa gave the medium a lot of money.","","The medium said, “Youyou is about to be reborn, he needs a transit fee!”","","Grandpa again brought money to the medium.","","Later, his friends saw that this was getting out of hand and they advised the old man not to be fooled by the medium anymore. They said, “Why don’t you go up the mountain to get a mo-ding from Grand Master Lu? Perhaps Youyou might appear in your dream.”","","After giving it some thought, the old man decided to give it a try. After all, since Youyou’s passing three years ago, he had not appeared even once in grandpa’s dream.","The old man came to the Lei Tsang Temple and asked me to give him a mo-ding.","","That same night, he had a dream:","A","","Youyou was riding on a lotus, and he was surrounded by many other lotus youths, the Padmakumaras.","Youyou said to the old man, “Ah Gong! Do not worry! I was reborn to the Buddha’s Pure Land a long time ago!”","●","","","","I noticed the lights in my palm shooting up to the sky, and I said, “This person will get well!”","Sheng-yen Lu",""
"028 Extending an Arm from the Clouds","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c028","woman was staying at a bed and breakfast in a rural area. That night, the moon was bright and the air very fresh. The woman decided to take a walk outside along the countryside trail.","When I come upon various gods, I always join my palms to salute them as a sign of respect.","From afar, she saw the vague shadows of a few young girls. The occasional sounds of their laughter reached her, and she then saw, very clearly, one of the girls waving at her.","","So she quickened her steps.","But, when she got closer, a strange thing happened. The young girls disappeared.","","The sound of their laughter also had vanished.","","She looked around. Except for a small hill overgrown with weeds ahead, there was nothing else.","","Under the moonlight, there was no other soul. Where did those young girls go?","","Where did their sounds of laughter and talking come from? Who had waved to her?","","What she had experienced was absolutely not an illusion. She mustered up the courage to brush aside the wild grass as tall as a man.","","A shiver went up her spine. In front of her were several isolated graves.","","She shuddered, and as if possessed, her body twisted and jiggled as she walked back to the bed and breakfast.","","That night, she became ill with chills and fevers. She notified her family to come pick her up at the bed and breakfast. After she was brought home, she started talking incoherently and her life turned topsy-turvy.","","She had frequent nightmares.","","She spoke weird words. She was coming apart at the seams.","","She became abnormal, crying, laughing, and threatening to kill herself.","","She once had a sunny disposition, but after her stay at the bed and breakfast, she became mentally ill.","","Doctors said, “She has schizophrenia!”","","Mediums said, “She is possessed by spirits!”","","But, even with oral medications and injections, the state of her health fluctuated. When mediums performed exorcisms, she sometimes got better, and sometimes got worse.","","When this woman’s paternal aunt, a student of True Buddha School, found out about this, she wanted to bring her to the temple to consult Grand Master Lu for a resolution.","","But the woman’s family refused. Her family believed in a master of another religious group. They sought healing from this master, but after a period of time, there was no improvement.","","Finally the aunt brought a photograph of the woman to Lei Tsang Temple and entreated me to lay my hand on her picture.","","Her aunt said, “Please lay your hand on her picture a little longer!” I indeed placed my hand on her picture a little longer. I noticed the lights in my palm shooting up to the sky, and I said, “This person will get well!”","","After the laying of hands on her photograph, the woman had a dream:","She saw a Padmakumara standing atop a lotus in the sky. The Padmakumara extended an arm down from the clouds into her brain and pulled out four to five small bugs.","","After the dream, her mental health improved day by day.","","Her aunt asked her, “How do you know it was Padmakumara who had saved you?”","","","I said to them, “It wasn’t me. The buddhas and bodhisattvas saved you.”","","A","She replied, “The Padmakumara said he was Grand Master Lu.” This time, she and her family came to the Taiwan Lei Tsang Temple to thank me.","","","","","●","Sheng-yen Lu","","",""
"029 So Many Deities!","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c029","ne evening, after finishing dinner at the Taiwan Lei Tsang Temple, I prepared to give mo-ding to all the devotees already filling the temple plaza.","","But when I walked outside, I was shocked by what I saw.","","There were not only crowds of people waiting, but there were also multiple deities in the empty space.","“What is happening?” I wondered.","","When I looked more closely, I saw Jade Emperor, the supreme deity, as well!","","Yuanshi Tianzun, the supreme being of Taoism, had also arrived.","","The lords of the three realms were present: heavenly official Rao, earth official Shun, and water official Yu.","","The Super-emperor God Xuantian was there, one hand holding a sword, the other holding his index finger upright.","","Master Lu Zu, also known as Lu Dongbin, one of the Eight Immortals, also had descended.","","Baosheng Dadi, a god of medicine, was there.","","The Heavenly Holy Mother Lin Moniang, Mazu, was there.","","Lord Guang, the patron saint of warriors, was there.","","Jiutian Xuannu, the deva of ninth heaven, was there.","","The deity Chen Jingu, also known as Madam Linshui, was there.","","The Third Prince Nezha, was there.","","City Gods, regional gods, local earth gods, etc.…","","Oh heavens! Why were so many deities here? They all descended upon the empty space above the plaza at Lei Tsang Temple.","","I was relayed the following account from the owner of a Taoist temple, who is a student of Grand Master Lu. He had a dream in which the deities at his temple had decided to travel to the Taiwan Lei Tsang Temple to seek a purification mo-ding from Grand Master.","","Therefore, each devotee of the temple was asked to carry a statue of a deity to the Taiwan Lei Tsang Temple and invite Grand Master Lu to give them each mo-ding as a cleansing.","","I thought to myself, “How can this be? These gods are typically the objects of worship and kowtow. How can I give them mo-ding?”","","The deities said, “It is permissible.”","","Golden Mother of Jade Pond said, “It is permissible.”","","I said, “This cannot be happening.”","","Although I am a diligent cultivator who performs Eye Opening Ceremonies for deities from buddhas above to earth gods below, the ritual of consecration is after all not the same as the ritual of mo-ding.","","Didn’t it seem a bit self-aggrandizing for me to bestow mo-ding to these deities?","","When I come upon various gods, I always join my palms to salute them as a sign of respect. What reason is there now for me to pat their heads?","","The owner of the temple said, “That was what my dream had instructed me to do. Please raise your hand to comply with our wish.” I figured out a solution. During the process of mo-ding, when I came upon someone carrying a statue, to signify my respect, I would similarly hold up the statue with both hands and touch the head of the deity with my head.","Hence, during many occasions of mo-ding, you can see Grand Master extending his hand to give mo-ding to the students; and for those who held the statues of deities, Grand Master Lu would lower his head and touch his forehead upon the forehead of the gods to signify respect.","","I am a Buddhist.","O","","I am a vajra acharya, the founder of True Buddha School.","But, I respect all religions, sects, buddhas, bodhisattvas, herukas, dharma protectors, dakas and dakinis, devas, celestials living in space, celestials living on earth, as well as all the beings in the six realms of existence.","●","","","","Yet now my understanding of the Nine Stages of Great Perfection Dharma becomes more and more lucid.","Sheng-yen Lu",""
"030 Nyingma","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c030","y personal study of Tantrayana began with an empowerment from Reverend Liaoming. Later, Reverend Liaoming told me that he belonged to the Nyingma School (of Tibetan Buddhism) under Norlha Rinpoche.","Hinayana, Mahayana, Yoga Tantra, and Highest Yoga Tantra. Personally, I find the following figures to be most important in the early development of the Nine Stages of Great Perfection Dharma:","This is the lineage: Norlha Rinpoche - Reverend Liaoming - Living Buddha Lian-sheng.","Now, the teachings of the Nine Stages of Great Perfection Dharma will take off and spread throughout the world.","Regarding the relationship between Padmasambhava and me, I have written an account of it in my early books:","1. Guru Rinpoche brought me to a cave in an ancient tomb for empowerments.","2. Guru Rinpoche swallowed me with his mouth and released me through his secret chakra.","3. Guru Rinpoche emitted brilliant lights to give me empowerments of the hundred wrathful and peaceful deities.","4. Guru Rinpoche placed the Nine Stages of Great Perfection Dharma into the depths of my mind using the terma (hidden treasure) method.","","To be frank, when I first received the empowerments of the Nine Stages of Great Perfection Dharma from Reverend Liaoming, I did not entirely understand them.","","But, Reverend Liaoming said to me, “In the future you will naturally understand. In the future you will achieve accomplishments. This is because you have a deep and profound affinity with all the various Tantrayana schools.”","","Then a further miracle happened:","","One day, I placed my own hand on top of my head. I empowered myself with my own hand.","","Then images started to appear, one after another:","","In Nyingma, I was King Trisong Detsen.","In Kagyu, I was Precious Intent Kumara.","In Sakya, I was Biwapa.","In Gelugpa, I was Tsongkhapa. Oh heavens!","","I really could not believe it. These four famous Tantrayana lineage gurus’ shadows indeed appear in the terma of my mind-stream.","","The vision of my incarnations is not simple and appears more and more complicated with time, surpassing my own imagination.","","Yet now my understanding of the Nine Stages of Great Perfection Dharma becomes more and more lucid.","","Yamantaka Practices.","Mahamudra Practices.","Lamdre Practices.","Nine Stages of Great Perfection.","","During the time I gave the discourse on the Nine Stages of Great Perfection Dharma, the essence of these teachings emerged one by one to the surface of my mind.","","Presently, by using my hand to empower my own mind-stream, I understand the following:","","The Nyingma School is more scattered.","","The three masters of the Zur clan were the ones who established the Nyingma School after Padmasambhava.","","There was an eminent Nyingma master Longchenpa who lived in the fourteenth century.","","Jigme Lingpa was an important terma revealer of the Nyingma School.","","The nine vehicles of the Nyingma tradition are:","","The three Sutrayana vehicles: shravakayana, pratyekabuddhayana, and bodhisattvayana.","","","The three Inner Tantras: mahayoga tantra, anuyoga tantra, and atiyoga tantra.","","M","The three Outer Tantras: kriya tantra (action tantra), charya tantra (performance tantra), and yoga tantra.","","","Padmasambhava","Vimalamitra","Included in the nine vehicles are:","Shri Singha","Santaraksita","",""
"031 That Was the Monk!","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c031","student of mine got into a car accident and sustained a leg fracture. He was admitted to the hospital and had to remain bedridden while recuperating.","","He was in a double-occupancy room, and the other patient was someone with upper and lower limb paralysis.","","The two beds were separated only by a retractable curtain. When the curtain was sometimes open, the two patients would engage in conversation.","My student’s surname is Qian, and the paralyzed patient’s last name is Yu.","","Yu had been paralyzed for over ten years. Because his older brother and sister were wealthy, they had initially paid huge sums of money sending for famous doctors to treat him. But all treatments failed. Finally, they sent him to convalesce in a hospital and spend his final years. He as well as his siblings had resigned themselves to hopelessness.","","Although Yu could not move his limbs, his mind was still very lucid.","","Student Qian had pasted a dharma picture of Grand Master Lu on the wall above his bed. Each day he chanted the High King Avalokitesvara Sutra and the Root Guru’s Heart Mantra.","","Then a strange thing happened—","","Ever since patient Qian’s admittance into the hospital, Yu would see every night a monk waltzing into the ward. Even though the door was closed, he could come in.","","This monk extended his hand and placed it upon Qian’s leg fracture. After this laying of hands, he would glide away.","","On one occasion, after the monk finished laying his hand on the patient with the fracture, he turned to look and smile at the paralyzed patient. Patient Yu also smiled back with goodwill.","","The monk then walked over to Yu’s bed and laid his hand on his body from head to toe. When he was finished, he again left in a gliding fashion!","","Soon after—","","Student Qian’s bone fracture began to heal quickly, and he was soon to be discharged.","","He took down the dharma picture of Grand Master Lu from above his bed to take home with him.","","Patient Yu called out to him, “That dharma picture, may I have a look?”","","Qian said, “This is my teacher, Grand Master Lu.”","","Yu looked at the picture and said, “That was the monk who came every night to your bed to massage your fractured bone. He has also massaged my arms and legs. I saw it clearly. Take a look at my arms and legs. The cramps seem to be loosening up day by day. Please put that picture above the head of my bed, and teach me the sutra and mantra you have been chanting. I will appreciate it very much if you do that!”","","Qian was a kind-hearted person. Not only did he paste the dharma picture above Yu’s bed, he also taught him the “heart mantra” and gave him a copy of the High King Avalokitesvara Sutra. Then he bade him goodbye.","","Half a year later, Qian passed by the hospital, and he remembered this incident. He decided to pay a visit to the paralyzed Yu.","","To his surprise, Yu also had been discharged.","","The doctor told him, “That patient was a hopeless case, but his cramped legs and arms for some unknown reason started to loosen up. He chanted a mantra and sutra every day and eventually was able to move his upper and lower limbs. We could not explain it. But in the end, he actually was able to get out of bed and walk.”","","So, he was discharged!","","Qian asked, “Where is that dharma picture?”","","The doctor replied, “He gave it to another patient!”","","●","","He saw a kind and extremely dignified elderly woman, cooking a bowl of medicine.","Sheng-yen Lu","","","A","","","","","","","","","",""
"032 Shoulder and Back Pain","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c032","ne day, student Wu was driving his minibus on the road. When he realized the yellow light was about to change red, he slammed on the brake. Because the car slowed too quickly, his body swung to the left.","","Behind him was a fast moving truck loaded with cement, and the truck driver stepped on his brake too late. The front of the truck slammed hard into the rear of the minibus.","","Student Wu felt everything swirling around him. His car then skidded next to a ditch on the right side of the road. In the process, his left shoulder struck the steering wheel, and he felt sharp tearing pain through his shoulder.","This occurred at a crossroads, and a traffic policeman happened to be right there. The policeman came over to investigate.","","The cement truck suffered no major damage, but the rear of student Wu’s car sustained heavy damage and all the windows were broken.","","Because student Wu is a Buddhist, he was unwilling to press charges. After the policeman’s mediation, he let the whole thing pass.","","But student Wu continued to feel excruciating pain in his shoulder and back.","He went for an X-ray, but it showed no fracture.","","The doctor prescribed him pain killers, and he also applied Salonpas pain relief patches over the area. But, he continued to have no relief. His shoulder and back continued to cause him severe pain for two months.","","He tried tui-na, a form of Chinese medical massage, and applied herbal paste over the area but still had no improvement.","","Someone recommended steroid injections and assured him it would take care of the pain.","","But, he thought to himself, “Steroids have side effects,” and refused. Student Wu came to Grand Master Lu for a mo-ding and simply told him, “My shoulder and back are hurting.”","","I slapped my hand twice over his shoulder and back, and he left! Student Wu thought,","","“The Chinese tui-na doctor spent over one and a half hours each session massaging my shoulder and back until my skin turned red and purple. He also applied cupping therapy to bring blood to the skin.”","","“Today, Grand Master Lu just lightly slapped the area two times. Will this empowerment cure me?","","That night, he slept soundly. In a trance-like state, he traveled to an unknown place. In short, it was a clean mountain site with beautiful vistas. He saw a kind and extremely dignified elderly woman, cooking a bowl of medicine.","","Wu asked, “Why are you cooking medicine?”","","The elderly woman replied, “To treat your shoulder and back pain.”","","Wu asked, “How did you know about my shoulder and back pain?”","","The elderly woman said, “It was that meddlesome Grand Master Lu of yours! He has asked me to prepare medicine for you.”","","Wu said, “My teacher indeed cares very much for me!”","","The elderly woman said, “Your teacher has a lot of free time. It is we, these earth-inhabiting gods, who have to work hard for him.”","","Wu said, “Let me thank you on behalf of my teacher!”","","Wu drank the medicine broth. Strangely, when he woke up, the severe pain in his shoulder and back was completely gone.","","He ran to tell me of the incident.","","Wu asked, “Who was that elderly woman?”","","“That was the Elderly Mother of Li Shan (Pear Mountain, in Taichung, Taiwan)!”","","","I was offering nectar in my house, and soon all the ghosts in the neighborhood heard about it and came to visit my humble home.","","O","●","","","","","Sheng-yen Lu","","","",""
"033 Ghosts Lining up to Seek Mo-ding","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c033","n May 15th, 2013, I (Grand Master Lu) flew from Taiwan to my home, the Southhill Residence, in the Seattle area of the United States.","","This Southhill Residence had been vacant for half a year while I was in Taiwan.","","My daughter Fo-ching came once a week to pick up the mail.","My son Fo-chi occasionally came over to start the engine of my car, a Bentley, to keep the battery charged.","","All other times, there was no one in the home. We did not have any cleaning staff.","","Every Thursday, a gardener came to take care of the trees and flowers outside the house.","","The Southhill Residence has an alarm system. If a door or window is disturbed, the alarm will sound and an alert is sent to the Police Department. Within five minutes the police will come.","","A week before our return, Fo-ching had hired cleaners to sweep every room and wash the pillows, sheets, and blankets in our bedrooms.","","When we arrived home, everything was clean and fresh.","As soon as I arrived home, I inspected the house. Not only was the house spotless, there was not even the presence of a single ghost.","","(When I left, the ghosts also left.)","","My first day back, I set up a “food-bestowing table” for nectar offering to the ghosts.","","I chanted:","","Big Bird Golden Garuda,","Assembly of ghosts in the wilderness,","Rakshas and haritis,","May you be filled with nectar.","Om, mu-di-li, so-ha. Om, mu-di-li, so-ha. Om, mu-di-li, so-ha.","","I then used the Vajra Finger Mudra to write the seed syllable () on the surface of the water and chanted Hum Hum Hum. I then sprinkled the water outside the home.","","About a week later, ghosts in the vicinity of Southhill Residence caught on to the news that I had returned.","","The number of ghosts in my house grew.","","They also spread the word. I was offering nectar in my house, and soon all the ghosts in the neighborhood heard about it and came to visit my humble home.","","It was incredible. Numerous invisible ghosts came to live in my house.","","The empty, clean Southhill Residence suddenly turned into a house full of ghosts after I started performing the “bestowal of foods” ritual to them.","","I walk into the bathroom, ghosts are there.","I walk into the laundry room, ghosts are there.","I walk into the kitchen, ghosts are there.","I walk into the study, ghosts are there.","I walk into the bedroom, ghosts are there.","I walk into the living room, ghosts are there.","","Oh heavens! Everywhere I turn, there are ghosts.","","Wherever I step, the ghosts exit. They bump into walls and create noises.","Bump, bump, bump.","","I play hide and seek with the ghosts every day. I am just someone born without a fear of ghosts. Seeing ghosts is a normal thing for me.","O","","One day, while bestowing food to them, the ghosts lined up orderly in two rows.","I asked, “What’s up?”","They answered, “We would like to request a mo-ding from Grand Master Lu!”","","","","I asked, “What benefits will a mo-ding bring you?”","The ghosts replied, “Purification! It increases our Buddha Wisdom! It increases our fortune!”","●"
"034 Giving Myself Mo-ding to Uncover the Mind Terma","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c034","ecently I have often been placing my hand atop my head to empower my brain. The results have been amazing. The teachings of the Nine Stages of Great Perfection Dharma have been emerging in my mind-stream.","The three Sutrayana vehicles were spoken by Shakyamuni Buddha.","After I finish a self-empowerment:","A stream of smoke appears.","Then drops of starlight appear.","Amidst the light were words.","","I was greatly astonished by them. The teachings of the Nine Stages of Great Perfection Dharma then manifested one by one in my mind-stream.","","In a flash, I remembered that these were the words of the Buddhadharma I had known in previous lives. This was uncovering of the mind terma.","Additionally, I received the “most profound pure awareness lineage.”","","In Nyingma I altogether inherited three lineages:","","Human gurus: Norlha Rinpoche - Reverend Liaoming - Living Buddha Lian-sheng.","","Mind terma: Padmasambhava - Trisong Detsen - Living Buddha Lian-sheng.","","And “most profound pure awareness lineage”: with this, when I meditate, not only am I able to uncover the terma hidden in my mind-stream, I also receive revelations from buddhas, bodhisattvas, and lineage gurus.","","They allow me to understand not just intellectually the Nine Stages of Great Perfection, but also teach me the mechanics of the actual practice.","","(During meditation, dreams, and visions, I receive instructions and guidance from various deities.)","","This kind of “most profound pure awareness lineage” happens to very few people in the world. And I am one of those few.","","It is very rare.","It is very honorable.","","We know that:","","In shravakayana, practitioners work on the Four Noble Truths, “suffering, accumulation, cessation, and path” to attain arhathood.","","In pratyekabuddhayana, practitioners work on the “twelve links of interdependent origination” to attain the enlightenment of a “lone buddha.”","","In bodhisattvayana, practitioners work with the “six paramitas” to attain bodhisattvahood.","","(The above three yanas belong to the Sutrayana vehicles.)","In kriya tantra, practitioners work on action tantra to attain buddhahood in seven human lifetimes.","","In charya tantra, practitioners work on performance tantra to attain buddhahood in five human lifetimes.","","In yoga tantra, practitioners work on One Taste to attain buddhahood in three human lifetimes.","","(The above three yanas belong to the Outer Tantras vehicles.)","","In mahayoga tantra, practitioners work on the generation stage practices to realize the manifestations of enlightenment in the physical world, the nirmanakaya.","","In anuyoga tantra, practitioners work on the completion stage practices to realize the reward-body, the sambhogakaya.","","In atiyoga tantra, practitioners work with mind, space, and pith-instructions to understand and glimpse into the nature of mind.","","","Applying my hand to empower my own mind, I have completely mastered the Nine Stages of Great Perfection Dharma.","","R","(The above three yanas belong to the Inner Tantras vehicles.)","","The three Outer Tantras were spoken by Vajrasattva.","","The highest realm of atiyoga is also what I, Living Buddha Lian-sheng, have often discussed in my discourses:","Thus I declare:","The three Inner Tantras were spoken by Samantabhadra Tathagata.","","“Leaping Over.” (togel)","In this essay, I primarily wish to explain how I came by my comprehension of the Nine Stages of Great Perfection Dharma. Also, I want to reveal the sources of my three great lineages:"
"035 The Origin of the Lineage Transmission of Great Perfection Dharma","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c035","ccording to my knowledge:","","The Nine Stages of Great Perfection Dharma flowed from the perfect awareness of the Primordial Buddha Samantabhadra Tathagata. First the Primordial Buddha imprinted this teaching upon the minds of the Five Dhyani Buddhas: Vairocana Buddha, Akshobhya Buddha, Amitabha Buddha, Ratnasambhava Buddha, and Amoghasiddhi Buddha, as well as all the buddhas.","","Next, the Five Dhyani Buddhas also used the mode of mind to mind transmission to pass teachings to Vajrasattva with the sambhogakaya body.","This mind direct transmission of the buddhas bypasses written or spoken language. It is like pouring milk directly into a milk bottle.","","This mind to mind transmission is also known as esoteric mind transmission.","","Later, Vajrasattva transformed into Manjushri, Avalokitesvara, and Vajrapani, the symbols of wisdom, compassion, and strength respectively, and used the sign transmission of the vidyadharas to transmit the lineage to devas, nagas, and yakshas.","","At the Trayastrimsa Heaven in the celestial realm, Semlhag Chen was the head of the five hundred devas. After experiencing four auspicious signs in his dream, Semlhag Chen received lineage transmission from Vajrapani. He also received the empowerment and transmission of the Dzogchen tantras.","","Later Semlhag Chen was born into the human realm in the land of Uddiyana as Garab Dorje.","","Garab Dorje also received empowerment from Vajrapani, attained realization, and became the first human guru of Dzogchen.","","Next, Garab Dorje transmitted the teachings to Manjushrimitra, Manjushrimitra transmitted the teachings to Shri Singha, and Shri Singha transmitted the teachings to Padmasambhava, Vairotsana, Vimalamitra, and Jnanasutra.","","Finally, Padmasambhava entered Tibet and transmitted the lineage of the Nine Stages of Great Perfection Dharma to the Tibetan King Trisong Detsen and Yeshe Tsogyal. This kind of transmission is known as oral transmission by humans.","","Thus, lineages of transmission can be categorized as:","","“Mind direct transmission of the buddhas,”","“Sign transmission of the vidyadharas,”","“Oral transmission,”","“Mind transmission,” “Terma transmission,”","“Most profound pure awareness transmission.”","","In the category of terma transmission, Jigme Linpa and Longchenpa have made the most contribution.","","And I, Living Buddha Lian-sheng Sheng-yen Lu, have the following lineages of transmission:","","1. Oral transmission (from Reverend Liaoming)","2. Mind transmission (from Padmasambhava)","3. Most profound pure awareness (from the buddhas)","","Additionally, terma transmission may also be included as Padmasambhava had hidden the teachings of the Nine Stages of Great Perfection Dharma in the mind-stream of King Trisong Detsen who had since undergone repeated incarnations. I only have to lay my hand on my own head to empower it, and the sadhanas and tantras of the Great Perfection Dharma will flow continuously and unceasingly to reveal themselves.","","Here I would like to mention that among all the Tibetan Tantrayana schools, the Nyingma School is the most ancient. The three well known masters from the Zur clan had systematically sorted out the Nyingma scriptures.","","Compared to the other three schools, Nyingma is less organized. This is because they do not have an actual leader, a centralized monastery, or a core organization. The other three schools of Gelug, Sakya, and Kagyu all have leaders at their core.","","Yet, the teachings of the Nine Stages of Great Perfection Dharma rank at the top of all teachings and are the most precious.","","All other dharma teachings are its side branches.","","●","","In Great Perfection Dharma, even the body can achieve the ultimate dissolving into rainbow light and attainment of Buddhahood.","","Sheng-yen Lu","","","","A","","","","","","","","","",""
"036 The Functions of Great Perfection Dharma","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c036","reat Perfection Dharma is good and virtuous. Great Perfection Dharma is happiness and joy.","Great Perfection Dharma is supreme.","Great Perfection Dharma is the highest realm, the apex, of Buddhadharma.","Great Perfection Dharma is perfect and flawless.","Long live the Great Perfection Dharma!","There are countless functions of Great Perfection Dharma. Listed below are some of the results when one practices Great Perfection Dharma:","","1. Good health","2. Pleasant mood","3. Balance of body and mind","4. Transformation of body and mind","5. Liberation of body and mind","6. Buddhahood in the present body","7. Buddhahood in the present life","8. Attaining the rainbow body","9. Dissolving of the body into Light Body","10. Attaining the Rainbow Body of Great Transference","","A healthy body comes from the “strengthening” and “tempering” practices of Nine Cycles Breathing (Jiujiefofeng), Treasure Vase Qi (Baopingqi), Vajra Recitation (Jingangsong), inner fire, drops, non-leakage, and Vajra Fists Exercise.","","By practicing “opening the central channel,” “opening the seven chakras,” “opening all channels and meridians,” and by “understanding the nature of mind” and “recognizing the Buddha-essence,” one becomes quiet in mind and peaceful in disposition. One thus enjoys a pleasant mood.","","A healthy body and a peaceful mind constitute “balance of body and mind.”","","Practicing this way will lead to “transformation of body and mind” and “liberation of body and mind.”","","In Great Perfection Dharma, there are the “light viewing method” and the “retreat practice” that can help one achieve accomplishment in one lifetime.","","In Great Perfection Dharma, even the body can achieve the ultimate dissolving into rainbow light and attainment of Buddhahood.","","One thus attains liberation and spontaneous accomplishment!","","I know that:","","Lama Bai Puren was among the earliest disseminators of Nyingma practice in China.","","When Lama Norlha Rinpoche of Kham came to the mainland to teach, Reverend Liaoming forged an affinity with him. Reverend Liaoming is my Nyingma Root Guru.","","Norlha Rinpoche also invited Gangkar Rinpoche to the mainland to disseminate the dharma. Gangkar Rinpoche taught at the cities of Chengdu, Kunming, Chongqing, and Nanjing. For a period of time Tantrayana teachings flourished there.","","Thubten Nyima also taught in mainland China and transmitted the lineage to Thubten Dali. Thubten Dali transmitted the lineage to Thubten Dargye, and Thubten Dargye transmitted the lineage to Thubten Qimo.","","(Living Buddha Lian-sheng Sheng-yen Lu is Thubten Qimo.)","","Zhangjia Rinpoche has taught in China. Ganzhu Rinpoche has also taught in China.","","I personally feel that Norlha Rinpoche was more systematic in his transmission of the Great Perfection Dharma.","","Regarding Gangkar Rinpoche, although he is a lineage holder of Kagyu Mahamudra, he also knows the Great Perfection Dharma. Gangkar Rinpoche has lineage transmissions from both Nyingma and Kagyu.","","I have read Longchenpa’s writings on Great Perfection Dharma. He used Guru Yoga as a starting point as well as an end point. This is something very special.","","","1. One cannot practice Tantrayana from books alone.","2. The essence and pith-instructions require transmission from one’s guru.","G","These are my personal statements:","4. The Great Perfection Dharma is most excellent.","●","After chanting a sutra to deliver her boyfriend, I turned his soul to the Wheel-Turning Sage King.","","3. One needs to receive empowerments.","","Sheng-yen Lu","",""
