"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62"
"025 宝瓶气","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c025","华生大士说：","「一切功德来自于宝瓶气。」","卢师尊说：","「一切功德如莲师所说，来自于宝瓶中的住气。」","冲顶的气，只能在第一座射出，其他座不可，免生过患、早夭。","●","","什么是宝瓶气？","上行气下压，下行气上提，如同函盖相扣，气藏其中，如宝瓶状。因此称宝瓶气。","气无法再持，观蓝色的气，冲顶。（开顶）","●","","修宝瓶气功德？","一、气入中脉。","二、中脉畅通无阻。","三、住气时，鼻息停止，妄念不生。","四、拙火生。","五、大乐生。","六、光明生。","七、空性现。","注意：","●","","修宝瓶气口诀：","一、吸。","二、满。","三、消。","四、射。","","●","","修宝瓶气注意事项：","一般女子修心间（际）宝瓶气。","一般男子修脐下宝瓶气。","因为女子修脐下宝瓶气，因住气故，会引起经血错乱或血崩。","修宝瓶气，我主张柔和气，也就是吸、满、消、射，均柔和也。","勿修刚猛气（律动呼吸）。利少弊多。","（昔日，有莲暄上师，教人修刚猛气「律动呼吸」，结果自己早夭）","","●","","吸的口诀：","虚空之中，光明如虹，以细、慢、长，全部吸尽，下至脐下四指处。","再由肛门提起，收提下行气向上，俱合于脐下四指处。","上气下压。","下气上提。","相扣成宝瓶。","","●","","莲","满的口诀：","气在宝瓶中持住。","住气三十六弹指，渐增至七十二弹指，再增至一○八弹指。","（此时间，以自己为准，勿勉强，善自审察调整为宜）","住气时，左右脉的气，会直趋入中脉。顺其自然，观想用意，入中脉。","","●","消的口诀：","气入中脉，到心际而消，这是智慧气。","咽一口津液，也是压。","","气入中脉，到五轮，到全身各脉，毛孔。"
"026 宝瓶气觉受","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c026","里我要述说「宝瓶气」的真实觉受。","这是我在「本尊法」相应之后的事。","（我卢师尊亲自体验的觉受）","","●","","吸的觉受：","我发觉住于虚空的无量大菩萨以及大金刚神，还有很多的护法。","另外，大梵天王、帝释天王、夜叉王、干达婆王等等。","竟然随着这一口的吸气，像串珠一样的一一进入我的身中。","而我的周遭有：","身类的天神。","足类的天神。","地类的天神。","包括城隍、境主、山神、水神、湖神、树神、土地等，团团围绕。","","满的觉受：","我彷佛住在七宝的宫殿之中，我跏跌坐于宝座之上。","一切庄严在我身上。","相好庄严。","身饰庄严。","衣饰庄严。","此时，普皆清净，人天莫能思议。","我头顶现出圆光，光芒纯净。","背有背光。","周身有圆满光。","在我圆光之上，有大宝伞盖。","在我足下有七彩莲花。","天上有花雨。","天上有妙音。","天上降下供养云。","天上有彩虹。","天上有法昧。","我成就了无量功德。","","消的觉受：","这是内在的特殊觉受。","心意清净。","澄明。","离开一切过患。","一切障碍完全不复存在。","成就菩萨一切善根。","信心大增长。","悲心大增长。","入甚深波罗蜜多。","在我的诸毛细孔，放出一一的光，光中皆有一尊化佛","","射的觉受：","我已具足庄严、妙音、妙相、神变。","不停的说法。","这","不厌倦的发心。","说法的内容：","正法。","修行菩萨婆罗蜜多。","清净。","降伏四魔。","平等。","无心。","","善根。","不二。","●"
"027 拙火口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c027","下四指处（生法宫），因为修「宝瓶气」之故，升起了拙火。","我述说口诀如下：","一、坐姿——六灶印。","二、吸满消射是宝瓶气口诀，其实也是拙火口诀。","三、宝瓶气，气略大，就是拙火法。","四、原理上，脐下四指处，本有火种。","五、鼓风炉的方法，令其生光、明亮、暖热。","红色。","光亮。","热铁。","六、方法如下：","擦——摩擦脐下四指处。","扭——扭身。生法宫扭动。","逼——用手压生法宫。","束——用禅带束腰。","七、须用尽所有的方法使「拙火」升起。","八、先是细而尖（红铜针）。","九、拙火升起后如（松果）。","十、先烧遍脐轮。（十息）","再烧生殖轮。（十息）","三烧心轮。（十息）","四烧喉轮。（十息）","五烧眉心轮。（十息）","六烧遍身。","七两足各部。","八遍及全身各毛孔。","十一、拙火所到之处，一切不净的垢障全部烧尽，恢复清净的自性。","十二、拙火如电光遍满全身，自觉全身毛孔，有火光外放。","十三、拙火外放至：","顶天。","大地。","一切有情。","三恶道。","全部充满了光明炽盛。","十四、我卢师尊说：","虚空的气接自己气。","整个虚空是我之脉。","整个虚空是拙火。","整个虚空是明点。","（我问莲华生大士，米勒日巴尊者修行拙火成就，以何力量，飞行于虚空？莲华生大士答我，米勒日巴尊者以拙火烧尽一切垢障，身如虚空，再由上师、本尊、护法、眷属。……………一一进入米勒日巴之身，因上师力、本尊力、护法力、空行眷属力，故能飞空）","十五、佛典上记载：阿罗汉得成就时，上身出火，下身出水，或上身出水，下身出火，是何因？","我答：","火即拙火。","水即明点。","密教以气、脉、明点修持为方便，以此方便证明「真空妙有」。","十六、方便为因，佛慧为果。","一心不乱修拙火。","以大精进之信念。","依持上师口诀修。","修观得定光明藏。","脐","十七、修拙火有很多的口诀，初学的弟子或许尚不知道，宜亲近卢师尊，得口诀才能如法，有些尚须金刚拳辅助。","","","","","","","","","","",""
"028 明点法口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c028","、什么是明点？有很多说法，大致上是：","体液。","水。","荷尔蒙。","精华。","菩提心月液。","二、拙火燃烧至眉心轮，此处有菩提心月液，是白色的（罕字）。","三、明点有四相：","白如水晶透明。","明如灯。","点如乒乓球大小。","明点降下如水银。","四、当拙火燃烧到眉心轮时，也就燃烧了菩提心月液，于是字如水银往下滴，明点如油，火上加油。","五、拙火加明点滴下，可以打开轮脉之结，可打开：","眉心轮（初喜）","喉轮（胜喜）","心轮（超喜）","脐轮（俱生喜）","六、这喜就是乐受，我们称为大乐，气通脉亦会产生、拙火通脉亦会产生，明点下降更会产生，这就是四喜。","七、这种大乐是摩擦故。","略似淫乐。","麻酥酥。","八、以气及拙火提明点向上时，由脐轮、心轮、喉轮、眉心轮。","可称四喜。","但也可称四空。","空。","大空。","胜空。","最胜空。","（空乐不二之故）","九、我卢师尊如此说：","据我所知：","只要打开眉心轮、喉轮、心轮、脐轮、生殖轮，必然产生神通：","神足通。","天眼通。","天耳通。","他心通。","宿命通。","（漏尽通是最高的神通）","五眼六通俱足。","十、拙火、明点、气，三者合一到达了遍全身的脉，甚至毛细孔。","剎那、剎那。","产生了光明遍照。","十一、顶上圆光。","周身背光。","足下莲华光。","十二、我在此补充六灶印：","外六灶印——两腕相交、两足相交，手交叉按小腿。","内六灶印——生法宫，亦有六三角形。","气六灶印。","一","（易引火也）","十三、拙火明点的修法，口诀全在「气」、「观想」、「意念」、「金刚拳」，必须互相配合，始能修行成就。（金刚拳是补助。）","","","","","","","","","",""
"029 大神变不可思议","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c029","我所知：","当三脉七轮，周身脉胳全部通畅时，会产生「大神变」，很难想象。","三脉——左脉、右脉、中脉。","七轮——顶轮、眉心轮、喉轮、心轮、脐轮、生殖轮、海底轮。","周身脉胳——七万二千脉。","大神变如下：","能亲证恒河沙数的宇宙星辰，不只是娑婆世界能亲见，而是不可想象的天界，皆能够明朗清晰的知晓。","能至摩诃双莲池净土及华严净土、西方净土、琉璃净土、妙喜净土、圆通净土、翠微净土等等等等的恒河沙数净土，均能至，而且穿梭自如。","能听见本尊说法，甚至十方三世一切如来的说法。","能看见过去七佛，未来贤劫千佛，无量诸佛。释迦牟尼佛、燃灯佛、弥勒佛，坐于狮子座上，显现佛身。","能将物质世界的一切东西，视为无物，穿梭而过，不会损坏自己，也不会损坏东西。","能入山。","入海。","入虚空。","能将四大海水注入自己身中的一毛孔。","能将一座大山，化为一芥子。一芥子化为一座大山。","能手掌一伸出，把六道众生置于一手掌上，而不损坏众生的生活。","（众生也不知不觉）","能移动：","太阳。","月亮。","星星。","能以自己的光芒，遮盖了太阳、月亮、星星的光芒。","能把魔王波旬，变成佛陀。","把佛陀变成魔王波旬。","能知晓胜义谛。","能将三千大千世界纳入一粒米中。","也能将一粒米放入太空。","这种幻变被称为：","（万法幻变三摩地）","据我所知，我人不动，仍然住在「南山雅舍」，但，摩诃双莲池已至，一切景象、人物，一一栩栩如生。","天眼通。","天耳通。","宿命通。","他心通。","神足通。","这些全是小神通。","我从此知晓「胜义谛」：","一切法是法界自性。","无染无净。","无缚无解。","无生无死。","无来无去。","无一无二。","无得无失。","无所得。","无所谓。","无所住。","（无我相、无人相、无众生相、无寿者相）","","据","","","","","","","","","","","",""
"030 如幻三摩地","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c030","修如幻三摩地，是用「铸镜法」。","行者坐于一面墙前。","墙上有一面大镜子。","镜子的上方悬挂本尊之相。","此时：","镜子外有行者本人。","镜子内有行者相。","镜子的上方有本尊。","修练的方法是：","行者观想自己变化为本尊，观想很仔细，眼、耳、鼻、舌、身、意，一一观想自己变成本尊。","此时：","镜子上方有本尊。","镜子内有本尊。","镜子外有本尊。","依照三者合一，而进入三摩地，即静虑禅定也。","三者打成一片。","随念：","我非实有。","镜中的我非实有。","镜上的本尊也非实有。","","由此证明：","六根、六识、六尘，全非实有，而是因缘幻化而已","由此种修法，证明：","幻。","梦。","谷响。","露。","沤。","阳焰。","虹霓。","全部非实有。（皆无自性）","身如幻。","语如幻。","心如幻。","于是便离开了「世间八法」。","（昔日，米勒日巴尊者，入如幻三摩地，离开了世间八法，获得了漏尽的成就，他曾有世间八法离弃的道歌）","","这世间八法即是：","得。（财色名）","不得。（也是财色名）","誉。（赞誉）","毁。（毁谤）","称。（称扬）","讥。（讥讽）","苦。（痛苦）","乐。（快乐）","只要离开「世间八法」的行者，就已经「道心坚固」了，不只是道心坚固，也能我执、法执全部尽弃。","上座下座，都要如此观想。","我如幻人。","我","我如水中月。","如色、影。","如幻三摩地如果成就，就如同金刚，离开诸「坏灭」了。","清净的自性，无二无别，净除了「无明」及一切「迷执」，证报身。","","","","","","如梦、如云、如虹霓。如电。如光。如镜中人。等等。","",""
"031 修梦观口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c031","最喜欢王安石的梦诗：","知世如梦无所求。","无所求心普空寂。","还似梦中随梦境。","成就河沙梦功德。","","●","","我认为，这娑婆世界，是百年大梦。我们可以从生死想起：","出生。","读书。","事业。","结婚。","子女。","老化。","生病。","死亡。","乃至轮回湼盘，一切等法，皆无实义。我们详细观察，至于极微，求其目的，皆不可得。一切一切，均如梦幻，不可执着。","（修梦可证空性）","","●","","修梦行者，须先清净自己的业障，若不清净业障，会生障碍。","修梦行者，要忏悔犯戒或犯三昧耶戒，因为若不忏悔除之，会生障碍。","修梦行者，对根本上师及密法，要生起最大最恭敬的信心，因为若无敬信，不能修成。","修梦行者，一定要结界：","处所不净，要结界。","资具污秽，要结界。","衣食不洁，要结界。","伴侣不良，要结界。","漏失菩提，要结界。","环境不净，要结界。","人来人往，要结界。","","●","","修梦观者，须修拙火，以拙火烧尽自己的烦恼及妄念。","（这是口诀）","","●","","我的修法是：","时间：「睡前修」或「半夜醒时修」。","一、观根本上师，住于自己喉轮。","二、祈祷上师加持，能梦中修持，及梦中善业。","三、次观喉轮现四瓣莲花，莲花中心有红色的嗡字（）。","四、或观四瓣莲花有咒字：","中央——嗡。白色。","前瓣——阿。蓝色。","右瓣——鲁。黄色。","我","后瓣——打。红色。","左瓣——拉。绿色。","●","","五、修「入」、「住」、「出」的金刚诵，专念「嗡」字就可以。","六、专一修持。","七、气入中脉。","先知梦，白日是梦，夜间也是梦。","心澄明，明梦。","","八、口诀。","转恶梦成善梦。"
"032 极净光独耀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c032","一日。","莲生活佛卢胜彦，一人安静住在「南山雅舍」，坐在法座上。","真实的禅定三摩地，入定于无心三昧之中，此时我自身恍然不见。","于是：","极净光独耀，光冲斗牛。","这极净白光让十方无量的剎土，出现了六大震动。","又有极净白光现出柔妙无垢大光明，遍及十法界。","惊动了色究竟天的天人，此时，佛陀在色究竟天说法。","诸天的天子问佛陀：","「这柔妙悦意的光芒，是从何而来？」","佛陀沉默不答。","诸天子再三问佛陀。","佛陀才说：","「这个极净光，来自于娑婆世界。」","诸天子问：","「娑婆世界是五浊恶世，彼处众生烦恼浊重，根基暗钝，无惭无愧，也无敬信心，业力难拔，这极净光怎可能来自娑婆世界？」","佛陀说：","「在娑婆世界，有一位菩萨，名莲花童子，祂正在弘扬我法。」","诸天子问：","「他有何来历？」","佛陀说：","「此莲花童子由毘卢遮那佛、佛眼佛母所出生。原住于阿弥陀佛西方净土。」","诸天子问：","「许多如来出生，尚无此极净光，为何莲花童子独有？」","佛陀说：","「莲花童子五百年一现。我在娑婆世界说法时，莲花童子即是舍利弗尊者。」","诸天子大惊讶，发出赞叹声。","佛陀说：","「舍利弗尊者具大威神力、大智慧力、大精进力。他是我的首座。我授记佛号是华光佛。」","诸天子鼓掌。","佛陀说：","「他在娑婆世界说法，大梵天王、帝释天，常去听他说法，更有许多菩萨、声闻也去听他说法。」","又说：","「他精通小乘、大乘、密乘，精通佛理，而且获得无数的三摩地，具足了无碍的佛法，证得陀罗尼，具有不可思议的功德，为了成就一切有情，说法无数。」","又说：","「他放射极净光，是摄召一切有情众生，去跟莲花童子结缘，所以才放射极净光的。」","诸天子说：","「我等也去护持，可以吗？」","佛陀说：","「已有许多具德具缘的大菩萨、大声闻去协助他。更有累世因缘的善信去跟随他，更有数不清的具有善根者去听法，莲花童子并非常常出现。」","佛陀又说：","「去吧！」","于是，我（卢师尊），获得天人的拥戴！","","","","","","","","有","","","","","","","","","","","",""
"033 净光如何出生","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c033","师尊说：","修行拙火法，拙火是一种光、热的组合，自然是光明之一。","修行明点法，在开五轮当中，例如，心轮中有根本净光，自然独耀。","修行眠光法，是观五轮中的明点光而睡，睡在光明之中。","例如：","心轮——蓝明点。","喉轮——蓝明点。","眉心轮——红明点。","密轮——黑明点。","…………。","由于睡在光明中，不会半夜忽醒。","不会迷乱。","不会忘失。","不会失眠。","不会疲倦。","不会恶梦。","(眠光法最重要的口诀是，观想轮中的咒字，发出净光，等持净光而睡眠)","在眠光法中——","行者可变化自己为本尊。","行者变化自己在本尊的宫殿。","行者可以变化自己为本尊无数，也可收摄成一。","行者于梦中可至任何净土。","行者于梦中，可化一切有情，成为自己的眷属。","行者于梦中，可进入三摩地。","这些，全在光明中。","也就是，器世界化光，一切有情化光，本尊化光，一一化光，住光明中。","卢师尊说：","根本净光——就是真实的光明，这是法尔本然的光明。","（非常重要）","在眠光法出生。","在灰灭中出生。","根本道光——这是通达一切法时，所出生的光明，是法尔无分别，即空性光。","白天修法时生出。","晚上睡眠时出生。","死亡时出生。","（口诀：在四空的境界之中，现了出来）","根本果光——亲证双融时的光明。","我说口诀如下：","观想自己变化本尊。","本尊心中现四瓣莲花。","各有咒字放光。","花中蓝光吽字。","前瓣白光阿字。","右瓣黄光鲁字。","后瓣红光打字。","左瓣绿光拉字。","（通达四空）","由这五个咒字放光，分别是：","法界体性光（吽）","大圆镜智光（阿）","卢","平等性智光（鲁）","妙观察智光（打）","卢师尊如此说：","在净光法中，有很多的口诀，我把最重要的列出，至于细节，须口授之。","","","","","","成所作智光（拉）","",""
"034 中阴口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c034","师尊说：","中阴就是中有，即是俗称的「灵魂」。","我自己现在虽然未死，但常常演练「中阴迁识法」。","因为每个人都会死亡。","所以演练死亡非常的重要。","首先：","在死亡时，第一剎那之中，就能识持光明，这就是成就光明法身。","如果不能识持光明，依自己修生起次第之力，可以生起「如幻本尊身」，这就是光明报身。","不能证得光明法身，也不能证得光明报身。","只有在最后选择胎门，而修幻化身，这就是光明应身。","（法身、报身、应身，三身之别）","","●","","临死八相是：","地入水——身不能动，无法支持，山崩地裂沉重分裂。","水入火——汗水唾涎干枯。","火入风——身子渐凉，暖热失去。","风入识——气息出气多，入气少，呼吸全部停止。","又：","识入现——晴空无云，现月光皎洁。","现入增——晴空无云，现红黄光，日出之相。","增入得——晴空无云，黄昏黑暗。","境界消失——黎明时之晴空，无月、日、黄昏、黑暗，光明出现，此乃真正的光明，第一重要。","","●","","我说：","能证虹光者，不必经中阴。","能证无色界，也不必经中阴。","色界及欲界，则必须经中阴。","","●","","中阴身有六相。","一、身无碍，剎那之中，到处游走。","二、中阴身做任何事，一般人是看不见的。","三、一般人做任何事，中阴身可以看见。","四、无日、无月、无星。","五、看见鬼神，在计算中阴身的善恶。","六、见饮食，但食其气而已。","","●","","中阴身受胎的现象：","看见男女行淫事。","心中起了贪欲。","遂闷绝。","则受胎。","化生、湿生、胎生、卵生、三恶道生，皆如此如此。","卢","","●","生恶趣者有三：","中阴身，看见内洞草丛森林等，进入其中，是畜生道。","中阴身，看见黑色雨夜，有篷舍，避入其中，生饿鬼道。","中阴身，看见有铁屋，避入之，则生地狱道。","","","卢师尊说：在中阴的时候，现象非常多，须请问大善知识。","","●",""
"035 我的「中阴」经验","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c035","(卢师尊)，在练习死亡时，用了「玛吉拉尊」的「断法」。(施身法)","也使用了「大摊尸」法。","(请注意：我传过玛吉拉尊的本尊法及黑愤怒母法。)","玛吉拉尊，黑愤怒空行母法，是将自己行者的身体，供养四圣六凡十法界之法。","修法是：","黑愤怒空行母，由「呸」字出生。","行者以「呸」字，化为须弥山一般大。","黑色空行母，把行者身子头颅砍下，身子切成片段。","用骨支撑成三角架。","上置大天灵盖。（戈巴拉）","行者头颅、四肢、身，置天灵盖中。","三角架下用「阿」字起火。","行者被煮成融化沸腾，成为甘露。","（以白色「罕」字，成甘露。）","上供四圣。（佛、菩萨、阿罗汉、缘觉）","下施六凡。（天、人、阿修罗、地狱、饿鬼、畜生）","因为如此的广大「身供养」。","令","怨亲债主。","命债钱债。","因果业报。","病魔恶魔。","全部领受布施，不再作我损害的障难，从此解脱。","在胜义来说：","我已死亡，无我无烦恼无执着，一切违越戒律，由此忏悔清净，又祈请：","上师。","本尊。","大大的加持，使自己「幻化身」（中阴、中有、灵魂），自在得解脱。（大摊尸法与玛吉拉尊法，意义相同）","","●","","记住口诀。","法身光明。","报身光明。","应身光明。","（不管生前死后，必须永远记住光明法，这样子往生才有把握）","我认为：","能入三摩地非常重要，因为在空乐无分别的平等性中是契合光明的。","","●","","在中阴时，务必断除「贪念」。这些包括：","金银珠宝金钱。","房子汽车土地。","最爱的人。","最恨的人。","亲人朋友恩人及一切眷属。","修法上的乐受。","等等等等。","","我","●","","法身会合。","报身会合。","应身会合。","我个人的经验是，不管生前死后，醒着或死亡。","一定要时时在三摩地中，如此才能「放下」、「自在」、「解脱」。","","","中阴时，须要有「定力」，因为只有在三摩地中，才能会合光明之故。","",""
"036 举一个例子说明","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c036","一位女士，随着先生，搭乘飞机。","长途飞行。","女士于飞行途中，上厕所。而先生则一直在睡梦之中。","先生醒来时，发觉妻子不在。","而且妻子长时间不见回座位。","先生就在飞机上遍行到处找自己的妻子，结果一无所获。","先生认为，可能在厕所之中，于是遍巡每一个厕所。","唯有一个厕所门，永远关闭，无人出入。","先生告诉空服员：","「妻子在里面！」","空服员问：","「是真的吗？」","先生说：","「一定。因为全找遍了！」","空服员只有把厕所门想办法把它打开。","打开一看：","「天啊！果然妻子晕死在里面！」","此时：","机长呼叫，机上有医师者，赶紧过来救助。","又：","飞机迫降台湾。","尸身再运回自己的国家。","","●","","据我所知：","这位女士，进入厕所后，随即晕迷。","而中阴（灵魂）逸出。","灵魂一度想回躯壳之内，但始终无法再进入躯壳。","她很慌张！","女士的灵魂，可以穿墙透壁，在飞机上，看见先生在寻找她。","她跟在先生的身傍，先生却看不见她。","从此：","天人永隔。","妻子死了！","先生充满了遗憾！","","●","","这对夫妻均是我（卢师尊）的弟子。事后，有求我超度。","我在此，特别教授大家：","灵魂逸出时。","唯一的忆持是：","上师。","本尊。","护法。","此时当知，汝已是中阴（灵魂），密教行者只能忆持三根本。","平时的修持力，加上上师、本尊、护法之力，会显出光身，把她直接接引到佛国净土去了。","行者最忌想：","先生、子女、眷属。","有","想家中一切。","身家财产。","若还念念不忘世间，则堕入有情。","若能忆持，","上师、本尊、护法。更念其心咒，专心一致，必得接引而解脱。","卢师尊告诫大众：","不可执着世间一切幻相，一心一意的祈祷往生净土，是重要口诀。","","","自己最爱的饰物。（钻石、珠宝）","",""
"037 中阴教授","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c037","在死亡的时候，会出现中阴（灵魂），这个时候必须自己救度自己。","（中阴闻教得度）","中阴没有物质，所以无障碍。","一般会在剎那之中，像做梦一样的迷失了自己，随境而行。","所以密教行者要修梦：","在梦中清醍。","密教行者要修幻：","在幻中知道是幻。","所以在中阴出现时，有时候会听到很恐怖的声音：","凄惨的叫声。","怒吼的叫声。","阴冷的叫声。","狂骂的叫声。","（行者要知道，这些全是梦幻，不足畏也，不用恐惧。）","又有：","被火狂烧，无处可逃。","沉溺水中，无法呼吸。","堕入悬崖，全身破裂。","被人刺死，哀嚎痛苦。","被兽追咬，无处可逃。","羣鬼讨债，逼入死巷。","山石掉下，压成肉酱。","沙漠独行，狂风怒吼。","…………………。","又有：","被罗剎吃了！","被夜叉吃了！","被阎罗王审判！","等等等等。…………","如果遇到这些境相出现，密教行者要谨记，这些境相也是梦幻。","无自性。","全属虚妄。","不足畏也。","此时此刻，保持定力，忆持上师、本尊、护法，或念上师咒、本尊咒、护法咒，或念名号，生起净光。","以自己生出的净光，与根本净光，会合一处。","这即是成就解脱。","","●","","我们行者当知道：","中阴（灵魂）要逸出，也要寻找「灵魂的出口」。","密教行者只能由顶窍逸出「开顶法」（破瓦法）。","眉心逸出——生色界天。","眼睛逸出——生人道。","耳朵逸出——生非人道。（鬼）","鼻孔逸出——生药叉。","由口逸出——生饿鬼。","由脐逸出——生欲界天。","由密逸出——生旁生。（畜生）","由肛逸出——生地狱。","人","我卢师尊建议，轮回八门，应该由有功力的行者以咒字遮止及封住。","原本每一个窍孔，有不同的咒字封闭，不易观想。","每一窍，均用「」字亦可封之。或用光明封之亦可。但，功力一定要够。","","","","","","","所以，我说：","",""
"038 死之将至的辨别法","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c038","师尊说：","不可自杀，因为自杀等于「杀佛」。","为什么杀佛？","因为众生具有「佛性」，都是未来佛。","如果自杀，当因杀佛慧命之罪，堕地狱。","又：","死之时候未到，不能往生，成为厉鬼。","","●","精进修相应法，直至相应，必然可以健康而延寿。","若死兆能早辨识，可以设法补救之：","例如：","放生。","布施。","祈祷上师本尊加被。","修长寿法。","补救法甚多，再例如：","读诵甚深经典可延寿。","诵密咒可延寿。","观想上师力，观想本尊力。","礼拜佛塔，绕塔寺，绕圣地。","赞颂佛菩萨功德力。","真空信解。","饮空续命法。","戒定慧的力量。","三宝佛、法、僧的加持力。","入三摩地亦可延寿。","等等等等。","","●","","观察死兆：","晴空无云，两手分开平伸而立，俯视地下之自己身影，若缺少手或脚，是死兆。","（很神秘）","若梦中常见死去的人，是死兆。","梦死人导游花园。（花是全红）","梦平生未到之境。","梦独自一人，处空旷之地。","梦骑驴向南方走。","梦采红花。","梦与鬼打架。","梦阎罗王。","等。","","●","","手按住双耳，听不见任何声音。","开眼时，一片白茫茫。","性情突然大变。","爱变恨，恨变爱，突然的。","卢","重病突然好转，回光返照。","耳失听觉。","目失见物。","身失触觉。","精血丧失。","舌变黑枯。","鼻两边陷。","（这些都有可能是死兆）","","舌失味觉。","四大缩少。","●"
"039 开顶(破瓦)口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c039","师尊说：","我写得「喜金刚讲义」，大乐中的空性，有写到「无漏法」的口诀。","这从密轮提气到顶轮，亦是开顶（破瓦）的方法之一。","又：","我们修「宝瓶气」，最后的「射息」，一口气直接射顶，亦是开顶（破瓦）的方法之一。","","●","","开顶（破瓦）口诀：","先观自身三脉七轮。","再观想心际有蓝色的字放光。","修宝瓶气。","将下行气上提。","猛烈的念「些」字，或「吽」字，或「罕」字，共二十一次。","（冲顶时，随咒字及气，双手由下向上高举）","气上冲梵穴。","可观想吽字上升，直入上师心中。","又修宝瓶气。","念「噶」字二十一次。","将上行气向下压。","也就是吽字下降至心轮。","","●","","这即是：","字气上升。","字气下降。","一升一降，即开顶（破瓦）法。","上升的咒音，我的上师所说不一：","有说「吽」字。","有说「嘿」字。","有说「些」字。","有说「罕」字。","有说「阿」字。","（双手握拳，由下往上举）","下降的咒音：","「噶」字。","却是一致的。","这个「噶」字即「噶玛巴」的「噶」，也是「噶举派」的「噶」。","类似：","「卡」或「卡阿」。","","●","","中阴从顶窍出来，分三等：","一、应身往生。","以二鼻孔尽量吸气，念「些」字二十一次，至最后一次，猛厉念「些」一声。","中阴射顶出去。到了净土。","这是应身往生。","二、报身往生：","卢","先观想顶窍有上师金刚持，二鼻孔尽量吸气，念「些」字二十一遍，如前，最后猛厉念「些」字一声。","射顶出去。","这是报身往生。","三、法身往生：","法身往生，如前，二鼻孔吸气，念「些」字二十一遍，最后的「些」字最猛厉。","射顶而出。","中阴化为空性，与空性合一。","这三者不同，是缘于「净土」、「金刚持」、「空性」是也。","","中阴住于上师金刚持的心。","这是法身往生。",""
