"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 45","chapterbody 49","chapterbody 51","firstcharacter","chapterbody 53","chapterbody 54","chapterbody 55"
"021 The King of Great Bliss","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c021","ne day, I calmed my mind and entered samadhi. Vajrasattva told me, 'You are the king of great bliss!'","","I asked, 'Why?'","Vajrasattva replied, 'You are the king of great bliss because you offer great bliss to self-nature, buddhas, bodhisattvas, vajra deities, Dharma protectors, dakinis, and heavens.'","","I asked, 'According to what I know, isn't circumambulating a stupa three times or performing any other type of offerings making an offering?'","'A stupa symbolizes buddhas, so one must, of course, make offerings to it. When performing all other offering practices, such as circumambulating a mountain, a lake, or a temple, one must, of course, make an offering. However, these offerings are not formless.'","","'Then, how should we make offerings?'","'You and everyone should make offerings to those who abide by the precepts, meditate properly, have buddha wisdom, are liberated, and attain the true wisdom of liberation.'","'Indeed, we should.'","","'I have a question for you, Grandmaster Lu. What is the form of so-called precepts, meditation, wisdom, liberation, and the wisdom of liberation?'","'Formless.'","","'Since they are formless, how do you make offerings to them?'","'Offer what is formless to that which is formless.'","","'Does your great bliss have form?'","'No, it is formless.' (One cannot take hold of great bliss)","","'Because it is formless, it is the supreme offering. Do you understand?'","I somewhat understood.","","Vajrasattva told me:","'The Buddha said that all sentient beings are the objects of offering. One must make offerings to self-nature. The self-nature is buddha. This is equivalent to offering to buddha. Please take note that learning all that tathagatas have learned is the supreme offering. Making Dharma offerings is the foremost.","'Cultivating the self-nature to attain Buddhahood is an offering. Therefore, one should be without attachment, no self-grasping, no attachment to Dharma, and no attachment to form.'","","I said, 'Beginners might not understand this.'","'Indeed, beginners don't comprehend non-arising, non-doing, and non-duality.'","","'So, how to enlighten sentient beings?'","Vajrasattva commented, 'This is why I call you the king of great bliss. You make an offering of great bliss to self-nature and all the tathagatas. This is the true non-leakage offering.'","","","","","","","","","","","","","","O","","",""
"022 Details of Nine-Cycle Breathing","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c022","ine-Cycle Breathing can also be called Nine-Round Breathing. The sadhana is as follows:","","1. Begin by performing the seven preliminary steps.","2.Visualize that the entire body is as transparent and pure as glass.","There are three vertical channels parallel to each other within one's body. The three channels originate in the navel chakra, four fingers below the navel. The central channel is in the shape of a trumpet. The mouth of the trumpet is located at the crown of the head with the lower part of the trumpet tapering down from the top. The left, right, and central channels run parallel to each other. The left channel connects to the left nostril, and the right channel connects with the right nostril. (This concludes visualization of the three channels.)","3. Press the left nostril with the left ring finger. Inhale through the right nostril.","4. Visualize the light of buddhas and bodhisattvas illumina'ting the entire space and one is inhaling this light.","5. Inhale a complete breath through the right nostril. Press the right ring finger against the right nostril.","6. Visualize the light circulating downwards through the ri'ght channel to the navel chakra. The light then turns upward through the left channel to the left nostril.","7. Exhale through the left nostril.","(At this time, practitioner visualizes all karmic hindrances, sickness, ignorance, and afflictions transforming into black smoke which is exhaled through the left nostril.) (Repeat the first cycle, steps 3 - 7, three times.)","8. Next, press the right ring finger against the right nostril. Inhale the bright light through the left nostril. The light [descends the left channel] then enters the right channel. Exhale black smoke out the right nostril. The steps are the same as the first three cycles, except the left and right nostrils are exchanged. (Repeat the second cycle, step 8, three times.)","9. Last cycle: Inhale the bright light qi through both the left and right channels. The light qi merges into one at the navel chakra, enters the central channel, and ascends to the crown where there is no opening for the qi. The qi circulates downward through the central channel to the navel chakra, four fingers below the navel, where it enters the left and right channels and is exhaled as black smoke from the left and right nostrils. (Perform the last cycle, step 9, three times) These nine cycles are called Nine-Cycle Breathing or Nine-Round Breathing.","10. Mantra.","Om, bie-zha, sa-do, ah, hum-pei.","(Recite 108 or more times)","11. Enter Samadhi.","12. Emerge from Samadhi.","13. Dedication","May this merit quickly transform into the accomplishment of Buddhahood.","May my karmic hindrances and that of all sentient beings be purified.","May the three karmas transform into the three secrets.","May sentient beings of the six realms attain liberation.","14. Great Homage.","15. Exit the shrine.","","I (Grandmaster Lu) say:","This Nine-Cycle Breathing is peaceful and won't cause any harm. Visualize light being like space, because the tathagatas are omnipresent. Upon inhalation, the practitioner accomplishes the six great non-hindrances, merging of emptiness and existence, and unification of self and buddha. Karmic transgressions are purified, and the practitioner attains a state of concentration.","In this practice, the best method is to practice with concentration. To easily reach concentration, one must coordinate the fingers with one's breathing. Inhale white and exhale black. Over time, one will feel light and refreshed. After sufficient practice, one will be able to control one's breathing through the left and right nostrils without the use of one's fingers. This will make the practice easier.","","","","","","","","","","","","","","","","","","N","","",""
"023 Manjusri Bodhisattva and Sariputra","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c023","ccording to the Sutra of the Buddha's Discourse on Manjusri's Worthy Manifestations, Manjusri and Sariputra toured southern buddha lands. Together, after flying over millions of billions of realms, they came to the pure land of The Solemn Land of Debao Tathagata.","","Manjusri asked, 'Venerable Sariputra, how did you perceive the realms we flew over?'","Sariputra answered, 'Some were totally engulfed in fire, some were completely underwater, some were empty illusions, some were rich and prosperous, some were impoverished, some were just developing, some were already destroyed, some were evil, some were virtuous''","","Manjusri asked, 'Venerable Sariputra, what are your thoughts and impressions?'","Sariputra replied, 'Engulfed in flames is engulfed in flames, underwater is underwater... Should I have some other impression?'","","Manjusri said, 'All of the realms were the lands of void. Fire, water, prosperity, poverty, developing, disintegrating, evil, and virtue are all unreal. These are temporary manifestations caused by external conditions.","Sariputra! By analogy, the mind of every practitioner is temporarily contaminated by ignorance and afflictions, but self-nature (Buddha'nature) is like emptiness, eternal and free of contamination.","Sariputra! Regardless of how realms are changing, emptiness is unaffected. Likewise, Buddha-nature is never contaminated. For this reason, I (Manjusri) am never contaminated. I am able to abide within the absolute purity of self-nature.'","","Upon hearing this, Sariputra attained a great awakening.","","●","","Grandmaster Lu says:","These words of Manjusri Bodhisattva are the supreme key cultivation secret. Contamination is just an outer appearance. Buddha-nature is eternally free of contamination.","Take watching a movie as an example. While watching a movie, I see scenes of tortuous grievances (wealth, desire, fame, food, and sleep), greed, anger, and ignorance. However, when the movie is over, I am still me. Those grievances have nothing to do with me. Greed, anger, and ignorance also become irrelevant. I use 'non-interference' to explain everything.","","Today, learning Buddhism, studying Vajrayana, and cultivating Nine-Cycle Breathing have four objectives:","","As for my explanation of this key cultivation formula, this 'direct pointing', everyone should have some realization.","","","","","","","","","","","","","","","","","","","","","Concentration.","","","A","Unification.","Purification.","Self-nature. (emptiness, Buddha-nature)"
"024 Vajra Chanting","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c024","randmaster Lu says: Vajra Chanting can be subdivided into the following methods: Vajra Chanting by qi through the nose. Vajra Chanting by qi through the lower gate. Vajra Chanting by merging upper and lower qi. Vajra Chanting by qi through the nose and lower gate. Vajra Chanting by circulating qi throughout the body. Vajra Chanting by qi through a sense faculty.","","●","","The key cultivation formula is: qi entering, holding, and exiting.","","●","","Merits of Vajra Chanting are:","(For example, whereas an ordinary person would need 21 days to travel through the mountains, Venerable Milarepa, because of practicing Vajra Chanting, only needed three days.)","","●","","Mantra syllables are:","Om ","Ah ","Hum ","","●","","How to practice (example):","To perform Vajra Chanting, when inhaling through the nose, one first visualizes oneself as Vajrasattva with a consort, with three channels and five chakras. There is a sun disc within the eight-petaled lotus in the heart chakra. In the center of the sun disc is a moon disc. Above the moon disc is a white light drop above a red light drop and the light drops are about the size of a pea. Above the red and white light drops, there is a bright blue 'hum' syllable. One visualizes the above in three dimensions.","When the qi enters, it enters as an Om syllable. When the qi is held, it's held as an Ah syllable. When the qi exits, it exits as a Hum syllable.","","●","","Pay close attention to this key cultivation formula:","When the qi enters, it ascends to the crown chakra, then flows to the throat chakra, the heart chakra, the navel chakra, and then to the sacral chakra. The qi then returns to abide in the heart chakra. One should hold the qi in the heart chakra as long as possible.","Inhale a long breath. Exhale a short breath. The qi enters detailed, slow, and long. The qi exits detailed, slow, and short. While holding the qi, visualize the mantra syllable emitting white qi surrounded by five-colored light like an enshrouding mist.","(The 16th Karmapa said that maintaining light in the heart is most important. This is a bright light within the heart.)","","●","","By holding the qi in Vajra Chanting, qi enters the central channel and ignites the inner fire. This leads to the generation of great bliss, which then produces bright light. One visualizes emptiness to reach the unified cultivation of bliss and emptiness.","These are my essential key cultivation formulas derived from my own practice of Vajra Chanting. They are very, very important.","","","","","","","","","Opening up channels.","Body as light as a sparrow.","","G","Opening channel knots.","Opening channel knots in the heart chakra.","Extending lifespan."
"025 Treasure Vase Breathing","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c025","uru Padmasambhava said, 'All merits are derived from Treasure Vase Breathing.'","Grandmaster Lu says, 'Just as Guru Padmasambhava stated, all merits are derived from 'holding qi' in the Treasure Vase Breathing Practice.'","","●","","What is Treasure Vase Breathing?","It is interlocking one's qi by pressing down the Upper-body qi while lifting the Lower-body qi. This will cause the qi to be held within, like the shape of a treasure vase. Therefore, this is called Treasure Vase Breathing.","","●","","What is the merit of cultivating Treasure Vase Breathing?","","●","","Key cultivation formula of Treasure Vase Breathing:","When one can no longer hold the qi, visualize qi as blue in color, shooting up to the crown (opening the crown). Any remaining qi exits through the nostrils.","●","","Key points when cultivating Treasure Vase Breathing:","Most females cultivate Treasure Vase Breathing in the heart chakra.","Most males cultivate Treasure Vase Breathing beneath the navel.","This is because a female who holds qi beneath the navel when cultivating Treasure Vase Breathing may experience disruption of the menstrual cycle or Menometrorrhagia.","When cultivating Treasure Vase Breathing, I emphasize gentle breathing; that is, gently performing inhaling, filling, and expelling.","I do not cultivate 'fierce' qi (rhythmic breathing), because this does more harm than good.","(For example, Master Lianxuan taught fierce qi (rhythmic breathing), and as a result, suffered a premature death.)","Caution: Shooting qi to the crown can only be performed in the first cycle. To avoid adverse consequences or premature death, do not repeat this shooting in the following cycles.","●","","Key cultivation formula of inhalation:","In space, there is rainbow light. One completely inhales this light long, slow, and detailed down to four fingers below the navel. One tightens one's anus and lifts the Lower-body qi upwards. The upper and lower qi merge four fingers below the navel.","Press the upper qi downwards.","Lift the lower qi.","Interlock them to form a treasure vase.","","●","","Key cultivation formula of filling:","Hold qi in the treasure vase.","Swallow saliva, which is also pressing down.","Hold the qi for 36 'finger snaps.' Gradually increase to 72 counts, then 108 counts.","(When doing this, one should go at one's own pace without forcing it. Self-observe and adjust one's pace to what works best.)","When holding qi, qi in the left and right channels will directly enter the central channel. Let things happen naturally. While visualizing, apply the mind to direct the qi into the central channel.","Manifestation of emptiness.","Qi enters the central channel.","Great bliss produced.","Light generated.","G","Totally unobstructed flow of qi through the central channel.","While holding one's qi, breathing through the nose is halted, and thoughts do not arise.","Inner fire rises."
"026 Spiritual Sensations from Treasure Vase Breathing","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c026","n this chapter, I will describe the spiritual sensations of Treasure Vase Breathing. This concerns the experiences I had after attaining spiritual union with the principal deity. (Spiritual sensations personally experienced by Grandmaster Lu)","","●","","Spiritual sensations while inhaling:","I discovered infinite numbers of great bodhisattvas, great vajra deities, and many Dharma protectors in the void. I also came across Mahabrahma, Indra, the yaksa king, Citrasena, and many others. Surprisingly, they followed my inhalation and entered my body like a string of pearls.","In addition, surrounding me on all sides were celestial gods of body, foot, and earth. Included were city gods, district gods, mountain gods, water gods, lake gods, tree gods, earth gods, and many more.","","Spiritual sensations of filling:","I seemed to live in a palace made of the seven jewels, sitting in a full-lotus position upon a jeweled throne. My body was fully adorned with the marks and signs of a buddha as well as adornments of body and clothing.","At this time, there was an utter purity beyond anything imaginable on earth or in heaven. An orb of pure radiant light emerged from my crown. There was light behind me. My entire body was surrounded by perfect light. Above the orb of light was a jeweled canopy. Beneath my feet were lotuses of many colors. A rain of flowers fell from the sky. The heavens resounded with exquisite music. Clouds of offerings descended from the sky. Rainbows arched in the sky. The heavens had the taste of Dharma. I accomplished infinite merit.","","Spiritual sensations of expelling:","This was a unique inner spiritual sensation. My mind was pure, clear, and apart from all faults and afflictions. Obstacles no longer existed. All the meritorious roots of a bodhisattva were accomplished. My faith and compassion increased exponentially. I entered deep and profound Prajnaparamita. Every pore of my body emitted rays of light. In every ray of light was a buddha.","","Spiritual sensations of shooting:","I was replete with every majesty, wonderful sound, marvelous form, and spiritual transformation. I continuously discoursed Buddhadharma without ever losing my aspiration. The content of my discourses included virtuous roots, right Dharma, cultivation of the bodhisattva paramitas, purification, subjugation of the four maras, equality, oneness, and no mind.","","●","","Concerning these spiritual sensations of mine, Vajrasattva exclaimed, 'This has never happened before!'","","","","","","","","","","","","","","","","","","","","","","","","","","I","","",""
"027 The Key Cultivation Formula of Inner Fire","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c027","y cultivating Treasure Vase Breathing, the inner fire is ignited in the Dharma Producing Palace, four fingers below the navel. I describe the key cultivation formula as follows:","","1. Sit in the Six-firepit Mudra Sitting Position.","2. Inhaling, filling, expelling, and shooting, the key cultivation formula of Treasure Vase Breathing, is actually the key cultivation formula of inner fire as well.","3. Strengthening one's qi during Treasure Vase Breathing is the practice of inner fire.","4. In principle, tinder for the inner fire is originally located in the area four fingers below the navel.","5. Apply the 'blast furnace' method to ignite the tinder into light, brilliance, and heat that is red and brilliant, like hot steel.","6. The method is as follows:","Rubbing—","Twisting—Turn your body to twist the Dharma Producing Palace.","Pressing—Use your hands to press the Dharma Producing Palace.","Tightening—Corset the waist with a Zen belt.","7. One utilizes every available method to cause the inner fire to ignite.","8. At first, the fire is thin and sharp (like a copper needle).","9. After the inner fire is ignited, it resembles a pine cone.","10. First, keep it burning throughout the navel chakra for 10 breaths. Next, lower the fire to the sacral chakra and let it burn for 10 breaths. Third, burn the heart chakra. (10 breaths) Fourth, burn the throat chakra. (10 breaths) Fifth, burn the brow chakra. (10 breaths) Sixth, burn throughout one's entire body. Seventh, burn the area of one's feet. Eighth, the fire spreads to all the pores of one's body.","11. Everywhere the inner fire reaches, filth and contamination are entirely burned away and the pure self-nature is restored.","12. Inner fire is like an electric light spreading throughout one's entire body. One feels the sensation of firelight emitted from all the pores of one's entire body.","13. Inner fire is emitted to the apex of heaven, the great earth, all sentient beings, and the three evil realms, filling all with blazing brilliance.","14. I, Grandmaster Lu, say:","One's qi connects with the qi of the void. My channels are the entirety of space. The entirety of space is inner fire. The entire space is light drops. (Regarding Venerable Milarepa's attainment of inner fire, I asked Padmasambhava a question: By what power did Milarepa fly through space? Padmasambhava answered that, as Milarepa's inner fire burned away all impurities and obstacles, his body became like space and his guru, personal deity, Dharma protector, and their retinues, all entered his body. It was through the power of Milarepa's guru, personal deity, Dharma protector, dakinis, and their retinues that he was able to fly through space.)","15. It is written in the Buddhist sutras that when an arhat reaches attainment, his upper body emits fire and his lower body emits water. Or, his upper body emits water and his lower body emits fire. What causes this to happen? I replied that fire means inner fire. Water refers to light drops. In Vajrayana, practitioners validate 'true emptiness is marvelous existence' by utilizing the expedient means of qi, channels, and light drops.","16. Expedient means is the cause, buddha wisdom is the result. Cultivate inner fire through concentration. Practice diligently with great faith. Follow the key cultivation formulas transmitted by the guru. Visualize and attain the treasure of meditation and brilliant light.","17. In cultivating inner fire, there are many key cultivation formulas. As a beginner, a disciple won't know these formulas. One should be close with Grandmaster Lu to receive these key cultivation formulas personally. Some must be supplemented by Vajra Fist.","","","","","","","","","Rub the area four fingers below the navel.","","","","","","","","","","","","","","B","","",""
"028 The Key Cultivation Formula of Light Drops","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c028",". What are light drops? Light drops can be explained in many ways, most generally as body fluids, water, hormones, essence, and bodhicitta moon fluid.","2. When the inner fire burns to the brow chakra, the bodhicitta moon fluid in this location appears as a white 'han' syllable.","3. There are four forms of light drops:","White as crystal clear.","Bright as a lamp.","Drops about the size of a ping pong ball.","Drops cascading down like mercury.","4. When the inner fire burns to the brow chakra, it burns the bodhicitta moon fluid causing the 'han' syllable to drip down like mercury breaking into droplets. The light drops are similar to oil, like adding fuel to the fire.","5. Inner fire and light drops can open the chakras: Brow chakra (initial bliss). Throat chakra (supreme bliss). Heart chakra (most supreme bliss). Navel chakra (innate bliss).","6. This happiness is the sensation of bliss which we call great bliss. These blisses, produced by qi flowing through one's channels, inner fire flowing through one's channels, and descending light drops, are namely the Four Blisses.","7. This great bliss is caused by friction. It is similar to the tingling ecstasy of sexual pleasure.","8. Use qi and inner fire to lift the light drops upwards through the navel chakra, heart chakra, throat chakra, to the brow chakra.","This can be referred to as the Four Blisses. It can also be called the four levels of emptiness, emptiness, great emptiness, supreme emptiness, most supreme emptiness.","(resulting from non-dual emptiness and bliss)","9. I Grandmaster Lu, say:","According to what I know: Supernatural power will definitely arise upon opening the brow chakra, throat chakra, heart chakra, navel chakra, and sacral chakra. Supernatural power of divine feet. Supernatural power of divine eye. Supernatural power of divine hearing. Supernatural power of knowing the thoughts of others. Supernatural power of knowing one's and others' past lives. (The supreme supernatural power is total mastery of non-leakage). One is replete with the Five Eyes and Six Supernatural Powers.","10. Inner fire, light drops, and qi merge as one and spread throughout the channels of one's entire body, even to the pores. Instantaneously, universal brilliant light is produced.","11. A halo of light appears at the crown. One's entire body is surrounded by light from the back. There is lotus light beneath one's feet.","12. Here I will further describe the Six-firepit Mudra:","Outer Six-firepit Mudra—cross wrists, cross feet, and press calves with the crossed hands.","Inner Six-firepit Mudra—Dharma Producing Palace with its six triangles.","Qi Six-firepit Mudra. (easy to ignite inner fire)","13. As for inner fire and light drops, the key cultivation formula is that qi, visualization, thoughts, and Vajra Fist must all coordinate and work together. When they do, one will have attainment in cultivation. (Vajra Fist is supplementary)","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"029 A Truly Amazing Spiritual Transformation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c029","ccording to my knowledge, when the three channels and seven chakras, and all the channels in the body open completely, a great spiritual transformation that is difficult to believe will result. The three channels are the left channel, right channel, and central channel. The seven chakras are the crown chakra, brow chakra, throat chakra, heart chakra, navel chakra, sacral chakra, and root chakra. There are 72,000 channels in the body.","","The great spiritual transformation can be described as follows:","Ability to see stars in the universe as numerous as the sands of the Ganges. One can see and have knowledge of all the brightly illuminating stars in the mundane realms and in the amazing cosmic realms as well.","One is able to visit Maha Twin Lotus Ponds, the Huayan Pure Land, the Western Pure Land of Utmost Bliss, the Pure Land of Lapis Lazuli, the Abhirati Pure Land, the Pure Land of Perfect Penetration, the Cuiwei Pure Land and countless other pure lands without the slightest hindrance.","One can listen to Dharma discourses from one's personal deity as well as from all the tathagatas of the ten directions and three times.","One will be able to see the seven past buddhas, the 1,000 buddhas of the bhadra kalpa, and all the infinite buddhas. One will also see Shakyamuni Buddha, Dipamkara Buddha, and Maitreya Buddha manifesting on a lion Dharma throne.","One will be able to treat everything in the material world as nothing, and pass through it without damaging oneself or the objects.","One can enter into mountains, oceans, and space.","One can pour all the waters of the four great oceans into a single pore of one's body.","One can transform a huge mountain into a mustard seed, and a mustard seed into a huge mountain.","One can stretch out the palm, and place all the sentient beings of the six realms on the palm without harming the life of any sentient being. (Sentient beings are unaware.)","One will be able to move the sun, the moon, and the stars.","One's own light can overshadow the light of the sun, the moon, and the stars.","One can transform the Mara, Papiyan, into the Buddha.","One can transform the Buddha into the Mara.","One can know the absolute truth.","One can place the trichiliocosm in a grain of rice.","One can expand a grain of rice into the vastness of space.","These illusory transformations are called 'The samadhi of illusory transformation of myriad dharmas'.","To my knowledge, I never move. I am still at South Mountain Retreat, but also at Maha Twin Lotus Ponds where all forms, images, people, and everything else vividly appear.","","Divine eye, divine ear, knowing past lives, knowing others' thoughts, and divine feet are all minor supernatural powers.","What's important is that I have learned the absolute truth. All dharmas are the self-nature of the Dharma realm. No contamination no purity, no binding no liberation, no origination no extinction, no coming no going, no oneness no duality, no gain no loss, nothing to gain, nothing matters, and non-abiding.","(No self, no people, no sentient beings, no longevity)","","","","","","","","","","","","","","","","","","","","","","A","","",""
"030 Illusory Samadhi","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c030","cultivate illusory samadhi with Mirror Gazing Yoga. Practitioner sits in front of a large mirror on a wall. An image of the personal deity is hung above the mirror. At this time, the practitioner is outside the mirror. An image of the practitioner is inside the mirror. The personal deity is above the mirror.","","The cultivation method is as follows:","One visualizes oneself transforming into the personal deity. In great detail, one visualizes that, one by one, the eyes, ears, nose, tongue, body, mind, and self transform into the personal deity. During this time, the personal deity is above the mirror, within the mirror, and outside the mirror. The three merge into one and enter samadhi, meaning quiet contemplation and meditation. The three transform into one entity.","One then thinks that I am not real, the 'I' in the mirror is not real, and the personal deity above the mirror is not real. From this, one will validate that the six roots, the six consciousnesses, and the six dusts are not real. They are nothing but illusory phenomena of cause and effect.","By practicing this method, one validates that illusions, dreams, echoes in the valley, dew, water bubbles, mirages, and rainbows are all unreal. (none have self-nature) Body is illusory. Speech is illusory. Mind is illusory. As a result, one detaches from the 'eight worldly concerns'. (For example, Venerable Milarepa, entered illusory samadhi, detached from the eight worldly concerns, and accomplished non-leakage. He wrote songs about his detachment from the eight worldly concerns.)","","The eight worldly concerns are gain (wealth, form, and fame), loss (also wealth, form, and fame), fame, slander, praise, mockery, suffering and happiness. Practitioners who depart from the eight worldly concerns have established firm and unshakeable faith. Not just that, they also utterly sever attachment to self and Dharma.","","Whether a senior practitioner or not, one must visualize in the following way. I am like an illusory person. I am like the moon's reflection in water. I am like a form, a shadow, a dream, clouds, a rainbow, electricity, light, a reflection in a mirror, and so forth.","By accomplishing illusory samadhi, one becomes indestructible, just like a vajra.","By severing ignorance and deluded attachments, one attains pure self-nature and non-duality, and accomplishes the reward body.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I","","",""
"031 Key Cultivation Formula of Dream Yoga","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c031","y favorite poem is 'Dreams' by Wang Anshi:","","In this dreamlike world, there is nothing to desire","A heart without desires is boundless, empty, and serene","Roaming through this dreamscape","Accomplishing dreamlike merit as infinite as sands in the river","","●","","In my opinion, this mundane world is just a 100-year dream, a journey from birth to death through schooling, career, marriage, children, aging, and illness. All these phenomena, including samsara and nirvana, are without true meaning. If observing on an infinitesimal scale, we discover these goals cannot be attained. Everything is as illusory as a dream and one should not be attached.","(By cultivating dreams, one can attain emptiness)","","●","","To cultivate dream yoga, one must first purify one's karmic hindrances. If one does not purify one's karmic hindrances, obstacles will arise.","Practitioners of dream yoga must repent violations of the precepts or the samaya vow. If one does not purify transgressions through repentance, obstacles will arise.","Practitioners of dream yoga must generate enormous and supremely reverent faith toward the root guru and Vajrayana. Without reverent faith, one will accomplish nothing.","Practitioners of dream yoga must perform boundary protection if the residence is dirty, equipment is filthy, food or clothing is unclean, partner is toxic, bodhicitta is leaking, environment is impure, or people are coming and going.","","●","","Practitioners of dream yoga must cultivate inner fire and use inner fire to burn away their afflictions and thoughts.","(This is the key cultivation formula)","","●","","My method of cultivation is as follows:","Time: cultivate prior to sleeping or when one wakes up in the middle of the night.","1. Visualize the root guru at one's throat.","2. Pray for the blessings of the root guru so that one may cultivate and generate good karma in one's dreams.","3. Visualize a four-petaled lotus in the throat chakra. In the center of the lotus, there is a red 'om' syllable.","4. Or, one may additionally visualize a syllable on each petal of the four-petaled lotus:","Center—'om', in white color.","Front petal—'ah', in blue color.","Right petal—'lu', in yellow color.","Back petal—'da', in red color.","Left petal—'la', in green color.","5. Practice 'entering, holding, and exiting' of Vajra Chanting, and recite 'om' only.","6. Practice single-mindedly.","7. Qi enters central channel.","8. Key cultivation formula:","One must first comprehend that everything is just a dream, both day and night. One's mind is extremely clear and aware it is dreaming. One is able to transform an evil dream into a virtuous dream. Or, one is able to cultivate Buddhadharma in one's dream. Eventually, one is able to control dreams and practice Buddhadharma in dreams.","","","","","M","","",""
"032 Supremely Pure Light Shining Up to the Sky","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c032","ne day, Living Buddha Lian-sheng Sheng-Yen Lu was sitting peacefully on his Dharma seat at South Mountain Retreat. While in true samadhi, a meditative state free of thoughts, my body suddenly disappeared.","Then, a supremely pure light shone up to the sky. This supremely pure clear light caused six kinds of earthquakes in all the infinite purelands of the ten directions. This supremely pure clear light manifested an enormous, gentle, wonderful, and uncontaminated brilliant light which reached into all the ten dharma realms.","This light alarmed the celestial beings in Brahmas of End of Form, where at this time, the Buddha happened to be discoursing the Buddhadharma. A son of the heavens asked the Buddha, 'Where did this tender, wonderful, and pleasant light come from?' The Buddha replied with silence. The son repeated his question to the Buddha many times. The Buddha finally answered, 'This supremely pure light is from the saha world.'","","The son asked further, 'The saha world is an evil world consumed by the five defilements. Sentient beings in the saha world have heavy afflictions and an ignorant and obtuse foundation. They are remorseless, shameless, lacking faith, and without reverence. Their karmic hindrances are difficult to eradicate. How can this supremely pure light come from the saha world?'","'It is because, in the saha world, there is a bodhisattva named Padmakumara, who is presently spreading Buddhadharma.'","","'What is his background?'","'This Padmakumara emerged from Vairocana Buddha and Buddha Locana. His original abode is Amitabha Buddha's Western Pure Land of Ultimate Bliss.'","","'A great many tathagatas have emerged, but none have this light of supreme purity. Why does only Padmakumara have this light?'","'Padmakumara only appears once every 500 years. When I was discoursing the Buddhadharma in the saha world, Padmakumara was Venerable Sariputra.'","The sons were amazed and shouted words of praise.","","The Buddha continued, 'Sariputra had great majestic power, the power of great wisdom, and the power of extreme diligence. He occupied the foremost seat. I bestowed on him the epithet Padmaprabha Buddha.'","The celestial sons broke out in applause.","","The Buddha added, 'When Padmakumara expounds the Dharma in the saha world, Mahabrahma and Indra frequently attend his discourses, and so do many bodhisattvas and shravakas.","'He has omniscient knowledge of Hinayana, Mahayana, Vajrayana, and all the doctrines of Buddhism. He enters countless samadhis, is completely unhindered in Buddhadharma, attains dharanis, and is endowed with incredible merit. He gives countless discourses for the purpose of guiding sentient beings to Buddhahood.","'He radiates the light of supreme purity which attracts all sentient beings to form an affinity with him. This is why he radiates supremely pure light.'","","The celestial sons responded, 'We would all like to protect and support him. Can we do this?'","The Buddha replied, 'Padmakumara already has many bodhisattvas and shravakas with great merit and affinity to assist him. Moreover, there are many devotees with affinity from past lifetimes who are following him. Additionally, there are countless attendants with virtuous roots listening to him expound the Dharma. A Padmakumara does not often appear.'","","The Buddha continued, 'Go!'","Therefore, I (Grandmaster Lu) obtained the support of celestial beings!","","","","","","","","","","","","","","","","","","","","","O","","",""
