"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","firstcharacter","chapterbody 53","chapterbody 54"
"022 七爷白无常","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c022","一次，我去了夜市场。","夜市场的人总是多到不得了，男男女女挤来挤去。","摊贩非常的多，吃、衣的店最多，其他的店次之，生意特别的好。","我又想起了《生意出门经》。","出门出门经。","落阶就遇到观世音。","东也一群佛。","西也一群佛。","南也一群佛。","北也一群佛。","我的一切商品全卖清。","","念着、念着，想起夜市场的摊贩，念《生意出门经》最好不过了。","这时，有一位陌生人，对我特别的注意，我也看了他一眼。","这位陌生人，也是来逛夜市的，他长得很结实，中等身材，脸方方正正，黑黑的。","他的身后，我一看，大骇：","原来他的身后有乙尊“七爷白无常”，非常的高大，头上写着“一见大吉”。","这“白无常”是无形的，城隍爷的副将七爷。","我非常诧异！","这位陌生人对我说：","“你是卢胜彦师尊？”","我答：","“是的，我是。”","陌生人说：","“很早，我就看你的书，而且在电视上看过你在说法，很有印象。”","我说：","“谢谢你！”","陌生人说：","“我听人说，你的神算是第一准的，能请你帮我算算吗？”","我问：","“算什么？”","陌生人答：","“算职业！”","我在当街上，把手伸出来，看我手上的光，光中又出现了乙尊白无常（一见大吉）。","怪！怪！","怎么又是“七爷白无常”？我被弄胡涂了，职业跟七爷白无常有何干系？","陌生人笑了：","“我的职业，不容易算，是吗？”","","我很尴尬，因为除了看见白无常之外，什么也见不到。我想，是不是这个人，马上就会被七爷白无常勾走了，生命不保，这职业就不必算了？","陌生人说：","“你算不出，哈哈！”","我说：","“坦白说，真的算不出来，但在我的掌光中，我看到乙尊白色的七爷白无常，但，这白无常和职业有何关联呢？”","这下子，陌生人呆了。","他向我下跪，求皈依。","我问：","“怎么了？”","陌生人说：","“卢师尊，坦白跟你说吧！所有相士我全看过了，就是相不出我的职业。我的职业是，迎神赛会中，撑着白无常走动的人。”","","","有","",""
"023 谁能在梦中给我灌顶？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c023","一位年轻人，很相信密教的法，他读了很多我的书，但，他没有皈依。","他一直想找一位藏人的根本金刚上师，才去皈依受灌顶。","为什么不皈依卢师尊，其因有：","一、他是汉人、台湾人。","二、他的传承真假难分。","三、风评太多。","四、密法真假难辨。","五、真佛宗也有可能是假佛宗。","这位年轻人很想去找“甲札仁波切”皈依受灌顶，因为“甲札仁波切”是红教白教的大长老，他心向往。","“甲札仁波切”一百多岁了！","有一天。","他看到一则新闻，“甲札仁波切”的佛母“嘎玛拉”要到台湾雷藏寺来。","于是他到了台湾雷藏寺。","这一来，他吓了一大跳。","原来世界各地来雷藏寺的，有数万人，而“嘎玛拉”佛母，坐在第一排的贵宾席，她听卢师尊说法，频频点首。","","他挤了上前，想向“嘎玛拉”佛母谈几句心中的话。","但，有人保护着这位尊贵的佛母。","所以，他远远的问：","“卢师尊是活佛吗？”","佛母答：","“是。”","又问：","“甲札仁波切对卢师尊有何评语？”","佛母答：","“少年英雄。”","他想再问。","就被人给阻止了。","他那一天，无可不可的受了“勾财天女”的灌顶。他本来就是仰慕“嘎玛拉”佛母，才上台湾雷藏寺的。","这位年轻人又听说，晚上的摩顶更厉害，很多的奇迹会发生。","他就留下来，准备给卢师尊摩顶。","他想：","“我早就向往忿怒莲师的灌顶，但跑了很多藏密道场，很多喇嘛们都没有给灌顶。摩顶时，我就祈祷要灌这个顶，请卢师尊梦中灌顶。若没有梦中灌顶，这位卢师尊就是假的；若有，那到时再说了！”","他排在人群中，给摩了顶。","","当晚，他在梦中，果然卢师尊出现了，卢师尊说：","“你想灌忿怒莲师，我知道。”","年轻人问：","“那你为何不给我灌顶？”","我说：","“灌顶也要依次第，你连皈依都没有，我怎可为你灌顶？”","有了这一个梦，他才照我教的方法，正式皈依了莲生活佛卢胜彦。","皈依了之后。","莲生活佛卢胜彦才给这位年轻人，正式灌顶了“忿怒莲师”。","这位年轻人果然很精进。","有初步相应的现象。","他说：","“卢师尊的一切，拢系真ㄟ！”","","","","","有","",""
"024 老实念佛吧！","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c024","一位老居士，他始终觉得自己老了，密教里的“拙火法”，他修了几年，始终无所觉，下盘总是虚虚凉凉的。","他修“明点法”，明点没有下降；修提法，明点也没有上提。","修气入中脉，在纳气闭息中，不但一分钟不到，连半分钟也不到，只能闭息十秒钟，宝瓶气也修不成。","他是气馁了。","有一次，我摩他的顶。","他夜间得梦－－","卢师尊对他说：","“老实念佛吧！”","老居士跑来对我说：","“卢师尊，我梦见你，告诉我老实念佛吧！请你教我，如何老实念佛？”","我告诉他：","你的坛城就供奉中央阿弥陀如来，右方供观世音菩萨，左方供大势至菩萨。如此三尊即可。","供花、香、灯、茶、果。（五供）","供花、香、灯、茶、果、净水、沐浴水、如意螺。（八供）","（均可）","","每日朝暮念诵，洗手、漱口，佛前烧香、敬茶，合掌礼拜念佛。","一心顶礼，南无莲生活佛卢胜彦圣尊。三称三拜。","一心顶礼，南无本师释迦牟尼佛。三称三拜。","一心顶礼，南无西方阿弥陀佛。三称三拜。","一心顶礼，南无观世音菩萨。三称三拜。","一心顶礼，南无大势至菩萨。三称三拜。","一心顶礼，南无清净大海众菩萨。三称三拜。","然后回向：","愿同念佛者。","同生极乐国。","上报四重恩。","下济三涂苦。","见佛了生死。","如佛度一切。","（若要兼持咒，也可念：“嗡阿弥爹哇些”、“嗡嘛呢呗咪吽”、“嗡悉悉。索。梭哈”。）","朝暮二回。","","平时可以多念“南无阿弥陀佛”，随时随地。亦可持计数器。","老居士问我：","“可以念《阿弥陀经》吗？”","我说：","“当然可以。”","老居士问我：","“可以念《高王观世音经》吗？”","我说：","“当然可以。”","老居士问：","“可以念《真佛经》吗？”","我说：","“当然可以。”","老居士问：","“可以加念〈往生咒〉吗？”","我说：","“当然可以。”","老居士问：","“可以......？”","有","我笑了：","“什么都可以，只要你时间够，但最重要的是朝暮二课。”"
"025 观世音菩萨叫我来的","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c025","一次摩顶，人潮仍然非常汹涌，但在人潮中，我发现“非人”在其中。","人挤来挤去，都伸着头，要我摩顶。","但在这些人头之上，有一“无形之物”，祂是会飞的，在人头上，上下左右飞。","我虽知道。但，我也不说破。","只是向虚空中摸了一把。","祂笑了！很开心。","我也笑了！","由于这“非人”来的古怪，如蜻蜓一般，上下左右飞。","祂偶而伸头，就要我摩一下，如此连摩三十二下。","我问了：","“祢是谁？”","祂答：","“精灵。”","我问：","“祢来摩顶干什么？”","祂答：","“观世音菩萨叫我来的。”","","我问：","“观世音菩萨叫祢来接受摩顶三十二次，有什么特别意思？”","祂答：","“我可以因法力的加持，而消除一些障碍，清净我自己。观世音菩萨怜我是精灵，业障消除后，摩顶三十二次，我将来会有三十二个变化身。”","“祢变成观音三十二应化？”","“是的。”","“做什么用？”我问。","祂答：","“在南部有一家小庙，是乡人新盖的，主神是观世音菩萨。菩萨要我去那里住寺，做为安居立业之处，不要到处浪荡。”","我“喝”了一声：","“小小精灵，进庙受人间香火，又托附观世音菩萨之名，祢何德何能？”","祂答：","“我虽精灵，但从未害人，且默默帮助人。菩萨慈悲我，认为精灵可教。为了住寺帮助人，才叫我受三十二下摩顶，以显化观音三十二应化身，去救度众生。”","我听了，很感叹。","精灵虽是精灵。","但，一生犹知不害一众生。","又，尽力去救度众生。","前者是小乘。","后者是大乘。","精灵也可以修成菩萨啊！难得难得！","","我问：","“祢将来的庙，叫什么名？”","祂答：","“××寺。”","有一年，南下到高雄某乡下地方，有一菩萨现身语我：","“××寺快到了！”","我一望车窗外，看到山麓有一寺，果然是“××寺”。","红墙绿瓦，相当壮观。","我大骇：","“这是祢的寺？”","祂答：","“小庙已成大寺矣！”","","有","",""
"026 看见一团火燃烧","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c026","一对夫妇是银发族，他、她均已退休，目前他们常常出去旅行。","旅行回来，每星期六，均来参加我们的共修，或参加我们的法会。","他们喜欢乘坐大邮轮，在邮轮上七天七夜，日子长短不拘，自由自在。","他们游过“阿拉斯加”。","他们游过“加勒比海”。","他们游过“欧洲”。","他们游过“东南亚”、“东北亚”......。","都是乘大邮轮，游遍世界各地。","他们说游世界各地，乘大邮轮最好，整部游轮就如同水上乐园一般。","喜欢吃－－有各国餐厅美食。","喜欢喝－－有酒吧、咖啡。","喜欢玩－－有夜总会、电影院、卡拉ＯＫ、游泳池、三温暖、赌场，应有尽有。","喜欢乐－－有瑜伽、舞场、交际舞、运动间、麻将桌，等等等等。","","乘坐大邮轮，等于“离开人间大地，进入了海上的天堂”。","忘却一切烦恼。","大邮轮每到了一个城市，都会停下来，让船上的游客，到城市去走走，晚上又回到船上，继续下一站的旅行。","这对夫妇刚从“南太平洋岛国”回来，如今，又要到美国佛州“奥连多”乘大邮轮，到“巴哈马”去玩了。","我听了，非常羡慕。","临行时，夫妇请我用手摩顶加持，祈求“一路平安”。","我伸手按顶。","感应似乎不一样，一股心血来潮，全身发烫，好像身子着了火一般。","我这回的摩顶加持，时间上长了一些，再仔细看掌光，我看见：","“一团火在燃烧！”","这回，我不敢说：","“一路平安！”","我只是说：","“好像有一点不太妥当！”","夫妇也觉诧异，问：","“哪一点不妥当？”","我答：","“火！”","夫妇问：","“要不要紧？”","我答：","“我只看见一团火，其他什么也不见，大致上应该没有问题。”","（我实话实说）","","夫妇笑了，说：","“我们旅行，坐大邮轮，这位船长是我们的好朋友，没有问题的。这一回所乘的，是全世界最大的邮轮了！”","我祝福他们。","我真的没有想到，这艘全世界最大的邮轮，在旅行途中，在加勒比海，整个轮机起火燃烧，火光熊熊，把大餐厅及大客厅给烧了个精光。","所有的乘客聚集在甲板上，准备搭救生艇逃难，真是一场大混乱。三千人搭救生艇的场面，真是人人惊恐。","最后全部获救，不幸中的大幸！","","","","","","","","","有","",""
"027 天上的孙儿","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c027","一位老头子，很疼爱自己的孙子，他有一位男孙，名字叫“又又”。","“又又”出生时，父亲就过世了。","母亲因上班，便把“又又”托阿公照顾，祖孙二人，感情非常的深厚。","很小的时候，祖父照顾“又又”，无微不至，晚上帮他沐浴、盖被。","喂“又又”吃饭。","休假日，如果母亲没来，阿公就带“又又”出去玩，去“动物园”、去“小人国”、去“水族馆”、去“游乐园”等等。","阿公对待孙子，就如同自己的儿子一般。","后来－－","“又又”上学了，回到家，第一句话就问：","“阿公！你在哪里？”","“又又”很乖巧。","会泡茶给阿公喝。","会洗碗。","会倒垃圾。","会给阿公按摩。","会讲学校的笑话给阿公听，让阿公笑不拢嘴。阿公实在太爱这位孙子了。","二个人还会玩“躲猫猫”。","","“又又”九岁的时候，得了超流行性感冒，阿公细心照顾他。","但，很不幸的，就因为并发其他的症状，“又又”竟然过世了。","“又又”过世了，这位老头子，伤心欲绝，却也无可奈何。","阿公只有对天呐喊：","“老天！你太无情了！”","“老天！你太无义了！”","天哪！怎么办？","这位老祖父，后来经人介绍，报名真佛宗的超度法会。","连续主祈五次。","卢师尊给他的回覆是：","“你的孙子『又又』，已由阿弥陀佛接引，往生到清净的佛国。”","这位祖父去问乩童。","乩童说：","“『又又』被关在地狱的枉死城，在那里受饥受寒。”","这位祖父一气之下，不来雷藏寺了。他相信乩童的话，每回烧银纸一箱又一箱。","乩童说：","“『又又』要吃！”","祖父买了生前最爱吃的东西送去，却给乩童吃了。","乩童说：","“『又又』要钱！”","祖父就拿了很多钱给乩童。","乩童说：","“『又又』要转世，要通关费用！”","祖父又拿钱给乩童......。","","后来：","友人愈看愈不对，告诉老头，不要被骗。你不如上山，让卢师尊摩顶，说不一定，“又又”会回来报梦。","老头一想，也对。","因为“又又”去世三年，连一个梦也没有。","老头上雷藏寺，请我给予摩顶。","这一摩顶，当晚梦见－－","“又又”乘莲花。","四周全是莲花童子。","“又又”对老头说：","有","“阿公！你放心！我早就往生佛国净土了！”",""
"028 手伸得很长很长","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c028","一位女子住在乡下的民宿，那天晚上，月色清朗，空气非常清新，女子就走出民宿，在乡野的道上漫步。","她看见远远的地方，有几名少女的模糊影子，还不时传出嘻笑的声音，她看得很清晰，看见其中有一名少女，向她招招手。","于是她快步的走向前。","但，等她走近。","奇怪的事情就发生了：","她发觉几名少女不见了。","嘻笑声也没有了。","她四周一看，前面是野草丛生的小山丘，四周空荡荡。","在月光下，一个人的影子也没有。","那刚刚的几位少女呢？","嘻笑谈话声呢？","招手呢？","那绝对不是梦幻才对，她鼓起勇气，把人高的野草丛拨开。","身上透出凉意。","眼前是几座孤坟。","她打了一个寒颤，仿佛中邪一般，歪七扭八的走回民宿。","","当晚发寒发热，身体不适，家人接到通报，就把她接回家中，接着她就语无伦次，生活颠三倒四。","恶梦连连。","讲一些奇奇怪怪的话，一些事情全部脱线，不正常了。","又哭又笑又闹自杀。","她原本是一位阳光少女，住了一趟民宿，就变成精神病患了。","医师说：","“精神分裂！”","乩童说：","“犯阴！”","但，吃药打针，时好时坏。收煞驱邪，也时好时坏。","女子的姑妈听见了这件事，其姑妈是真佛宗弟子，便想把女子带上山，去向卢师尊问事，寻求化解。","但家人不肯。","因为家人是信仰另一位教团的宗师，他们请宗师治。","治了一段时间，仍然没好。","其姑妈只好把女子照片，拿到雷藏寺，请我的手摩照片。","她姑妈说：","“摩久一点！”","我就真的摩久一点。我发觉掌光射斗牛，我说：“这个人会好！”","","摩照片后－－","女子做了一个梦，梦见一个站在莲花中的莲花童子。","手伸得很长很长，从天上的云中，伸到她的脑袋中，抓出四、五只的小虫虫。","这个梦之后，她的病就一天又一天的好了起来。","姑妈问她：","“妳怎知是莲花童子救了妳？”","她答：","“莲花童子自称是卢师尊！”","这时，其家人及她，一起上台湾雷藏寺，来向我致谢。","我说：","“不是我救的，是佛菩萨救的。”","","","","","","有","",""
"029 众神怎么都来了","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c029","一天，在台湾雷藏寺吃了晚餐之后，照例要给信众摩顶，信众早就排满了整个雷藏寺的大广场。","我走出一看，大骇。","因为不只群众满山满谷。","虚空中“众神都来了”。","我心疑惑：","“这是怎么了？”","我一看：","玉皇大帝也来了！这是至上的神。","元始天尊来到，这是道家的至尊。","三界公驾到，天官（尧）、地官（舜）、水官（禹）。","玄天上帝，一手剑，一手竖食指。","吕祖驾临，八仙之一吕洞宾。","保生大帝，就是护生的大道公。","天上圣母，就是林默娘，妈祖婆。","关公，武圣。","九天玄女。","三奶夫人，陈靖姑是也。","太子爷，哪咤三太子。","城隍，地方境主。","福德正神，土地公。","......。","","天哪！怎么这么多的神明，全驾临在雷藏寺广场的虚空？","原来是这样的，有一家宫庙，庙主是卢师尊的弟子。","庙主得梦：","“宫庙诸尊，须到台湾雷藏寺走一趟，请卢师尊一一给摩顶清净。”","又：","“宫庙信众，每人抱乙尊神像上山，请卢师尊在金身上清净。”","于是，众人抱着神明，一一列队等摩顶。","我一想：","这怎么可以？","这些神明平时都是善信膜拜叩头的，我怎么反而给众神摩顶？","众神说：","“可以。”","瑶池金母说：","“可以。”","我说：","“不可以。”","我这个人，虽精进修行，开光点眼，上至诸佛，下至土地公，但，那是开光点眼，这和摩顶是不同的。","摩顶神明，这好像我托大了。","我一向对众神，合掌敬礼，以示尊敬，岂有我给摩顶之理？","","庙主说：","“得梦如此！请抬贵手。”","于是，我想出一个办法，在摩众生顶的时候，遇到捧着神像的人，我一样双手捧着神像，我用我的头额，去碰触神明的头额，以表示我对神明的敬重。","所以在很多的摩顶场合，你可以看见卢师尊伸手给诸弟子摩顶。","至于手抱着神明的，卢师尊低着头，用额头碰额头的方式。","“表示敬重。”","我是佛教徒。","我是金刚上师。（真佛宗创办人）","但，我对任何宗教、教派，诸佛、菩萨、金刚、护法、空行、诸天、空居天、地居天，甚至六道众生，全部尊重。","","有","",""
"030 有关于“宁玛派”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c030","个人修习密法，是先由“了鸣和尚”灌顶开始，后来“了鸣和尚”说，他是属于“诺那上师”的“宁玛派”。","这个传承，是：","诺那上师－－了鸣和尚－－莲生活佛。","至于我与莲华生大士之间的关系，在早期我的书中有交代：","一、被莲师带去古墓洞窟灌顶。","二、从莲师的口中被吞入，由密孔出来。","三、莲师放大光明，灌顶了寂静及忿怒百尊。","四、莲师将大圆满九次第法，以伏藏的方式，伏藏在我的脑海深处。","坦白说：","了鸣和尚给我的灌顶“大圆满九次第法”，我是不甚了了的。","但，了鸣和尚说：","“你将来自然明白，你将来自会成就。因为你跟所有的密教诸派，因缘深厚。”","进一步的奇迹：","有一天，我把自己的手，放置在自己的脑袋上面。","自己用手加持自己。","","陆陆续续的影像出现了：","在红教－－赤松德真王。","在白教－－宝意童子。","在花教－－毕瓦巴。","在黄教－－宗喀巴。","天哪！","我实在不敢相信，这四位是密教鼎鼎大名的祖师爷，而在我“伏藏”的脑海中，真的有他们的影子。","我的转世不是很单纯，而是愈来愈复杂，超乎自己的想像。","现在我对“大圆满九次第法”，愈来愈清晰了。","大威德法。","大手印法。","道果大圆胜慧法。","大圆满九次第法。","了了于我的心胸之中，尤其在我初讲“大圆满九次第法”。","一一浮现此法的精要。","现在由于：","用自己的手加持自己的脑海。","我明白：","宁玛派较散乱。","“三素尔”是继莲华生大士之后，建立宁玛派的人。","十四世纪有龙钦巴尊者。","晋美．林巴是伏藏派的大师。","","九乘是：","显三乘，声闻、缘觉、菩萨。","内三乘，事密、行密、瑜伽密。","密三乘，大瑜伽、阿努瑜伽、阿底瑜伽。","这包含了：","小乘、大乘、瑜伽部、无上部。","我个人认为，大圆满九次第法，最早期的几个重要人物是：","师利星哈。","莲华生大士。","无垢友。","寂护。","赤松德真王。","现在，大圆满九次第法，要起飞了，要传遍世界了。","我","",""
"031 就是这位法师","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c031","有一位弟子，因车祸，足部骨折，被送到医院，躺在病榻上。","这病房是二个人的病房，另外一位是手足痉挛，瘫痪的病人。","二个人的病房，中间只隔一个帘布。帘布有时也打开，二位病人互通姓名：","弟子姓钱。","瘫痪病人姓余。","这位瘫痪症的病患已十多年了。","因其兄姐都是富贵人家，先出巨资延请名医看诊，但均告无效。","最后乃送医院休养，以终余年。","手足不能动，但，头还清楚。","自己与兄姐都绝望了。","钱姓弟子，在病榻的上头，贴上“卢师尊”的法相。","每日诵《高王经》。","念“根本上师心咒”。","","说也奇怪的事情发生了－－","那位余姓的瘫痪病人，自从钱姓病患入住，每晚均可见，有一位法师施施然进入病房，门没有开启，他就进来了。","这位法师伸手摩钱姓病患的脚，骨折之处，摩完就飘逸而去。","有一回，法师摩完骨折病患，转头看了瘫痪病人，微微一笑。","余瘫痪病人也善意的微微一笑。","这位法师走了过来，用手摩了瘫痪病人的全身。","摩完，又飘逸的走了！","怪的是－－","钱姓弟子脚的骨折，很快就好了！","他就要出院了。","他将床头的“卢师尊”法相取下来，准备带着走。","那位余姓瘫痪者唤住他。","说：","“那法相，我看看。”","钱说：","“那是我的卢师尊。”","余看了法相，说：","“就是这位法师。每晚都到病榻，替你按摩骨折，也来按摩我的手足。我看得一清二楚，你看看我的手足痉挛，好像一天比一天松了，我请你把法相贴我床头，还有把念的经、念的咒教我。拜托！拜托！”","钱很好心。","把法相贴余床头。","把“心咒”教他。","把一本《高王经》送他。","钱就拜别了余。","","此事经过了半年。","钱想到这件事，路过医院时，便去拜访那位住院时，瘫痪的余。","想不到－－","余也出院了。","医师说：","“原本绝望的病患，手足痉挛竟然渐渐松了，不只如此，每日念咒，每日诵经，最后手足就能动了。也不知道为什么都能动，最后竟然下床走路。”","所以，出院了！","钱问：","“法相呢？”","医师答：","“他送给另一位病患！”","","","","我","",""
"032 我的肩背部疼痛","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c032","一天，吴姓弟子驾着自用小客车，在黄灯快变红灯之前，紧急煞车。由于煞车太快了些，身子向左一倾。","但是，由后面风驰雷掣般的来了一辆载水泥大卡车，煞车就来不及了，大卡车的车头，猛撞小客车的车尾。","一阵碰撞的巨响之后，吴姓弟子觉得天旋地转，果然是车子被撞到右方的水沟之旁；而身子左肩不知撞了把手否，一阵阵撕裂的痛苦。","十字路口，刚好有警察指挥交通，警察走过来处理交通事故。","水泥大卡车无大碍。","但，吴弟子的车，后面已扭曲变形，车窗全部破碎。","因为吴弟子信佛，不愿计较。警察调解后，事情就过去了。","","但是吴弟子的肩膀背部却是奇痛异常。","他照Ｘ光，没有骨折。","医生给止痛药。","又贴“撒隆帕斯”。","但，没有好，肩背部疼痛得很厉害，一直二个月也没有好。","他找中医推拿。","贴药膏，也不见好。","有人要他打一针大筒的“类固醇”，一定会好。","但，他想：","“类固醇”有副作用，他不敢。","吴弟子求卢师尊摩顶时，他说：","“肩膀背部痛。”","我用手拍了二拍，就走了！","吴弟子心想：","“中医师推拿我的肩背部，共花了一个半小时的时光，按得又红又紫；又用拔火罐，红红的血渗透皮肤。”","“今天卢师尊只轻拍二下，这样子的加持，会好吗？”","当夜，他睡得很甜，恍恍惚惚中，他也不知道去了哪里，总之，是一个风光明媚的清净山中。他看见一位很慈祥的老妇人，无限的端庄，她在煎一碗药。","","吴问：","“煎药做什么？”","老妇答：","“治你肩背疼痛。”","吴问：","“妳怎知我肩背痛？”","老妇答：","“都是你那位多事的卢师尊，来拜托我煎药的。”","吴说：","“师父真的很关心我耶！”","老妇答：","“你师父很清闲，忙的是我们这些地居神，为他操劳。”","吴说：","“我代师父谢谢妳！”","吴喝了药汤，说也奇怪，醒来之后，肩背部的异常疼痛便全好了。","吴跑来告诉我这件事。","吴问：","“那老婆婆是谁？”","我答：","“是梨山老母了！”","","","","","","","那","",""
"033 鬼物列队求摩顶","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c033","O一三年五月十五日，我（卢师尊）由台湾乘机，飞回美国西雅图“南山雅舍”的家。","“南山雅舍”当我在台湾时，这个家，有半年时光是没有人的。","只是－－","佛青（女儿），一个星期来信箱收一些信件。","佛奇（儿子），到了车库，偶而发车子，因为车子半年没开，电池会没电。佛奇帮我照顾我那部“宾利”（BENTLEY）车。","其他时候，房子无人。","家中没有清洁工人。","屋子外的花圃草园，每星期四，有园丁会进来整理花草树木。","“南山雅舍”设有电子保险密码，只要一动门窗，整座房子会响，密码通警局，五分钟警察就会赶至。","等到我们要回来前一星期。","佛青会请清洁工打扫每一个房间，把卧室的枕头、被单、凉被等等，全部清洗干净，等着我们回来。","","我们一回到家，一切都是干干净净的。","我一回家，巡视家中一遍，不但屋子干净，连一只“鬼物”也没有。","（我不在，鬼物也不在了。）","我一回来。","第一天，就设“施食台”，供养甘露给鬼物。","我念：","大鹏金翅鸟。","旷野鬼神众。","罗刹鬼子母。","甘露悉充满。","嗡。穆地利。梭哈。嗡。穆地利。梭哈。嗡。穆地利。梭哈。","用金刚指在水面上写“”字。","念“吽吽吽”三声。","将甘露洒出。","约一星期左右，“南山雅舍”附近的诸“鬼物”闻风而至。","我家的“鬼物”就增加了。","祂们也是会广传的，我在此施甘露水，附近的“鬼物”全知道了，纷纷到了寒舍作客。","这一来不得了了，祂们无形的鬼物，全部住到我家里来了。","原来清净的“南山雅舍”，连一只鬼都没有。自从我“施食”鬼物，“鬼物”把我家全塞满了。","","我入厕所，有鬼。","我入洗衣间，有鬼。","我入厨房，有鬼。","我入书房，有鬼。","我入卧室，有鬼。","我入客厅，有鬼。","鬼鬼鬼鬼鬼，天啊！到处都是鬼。","我走到哪里，鬼就退出，撞得墙壁，都在响。","碰、碰、碰。","我整天跟鬼玩捉迷藏。我这个人，天生不怕鬼，见鬼很平常。","有一天，我施食，群鬼很有次序的排成二排。","我问：","“干什么？”","鬼答：","“请卢师尊用手摩顶！”","我问：","“摩顶有什么好处？”","鬼答：","“加持清净！增加佛慧！增加福分！”","","二","",""
"034 自己用手加持自己意伏藏","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c034","近，我常常用自己的手，加持自己的脑袋瓜，结果非常惊人的是，我的脑中浮现了“大圆满九次第法”。","加持完后。","先是一股烟出现。","再出现点点的星光。","星光聚集出现光明。","光明中有字。","我见字，大骇，原来大圆满九次第法，一一的呈现出来。","我在一瞬间，忆起这就是前世所悉的佛法，这是意伏藏。","另外就是“甚深清净传承”。","我的传承有三：","人间传承：","诺那上师－－了鸣和尚－－莲生活佛卢胜彦。","莲华生大士－－赤松德真－－莲生活佛卢胜彦。","（属意伏藏）","","至于甚深清净传承：","就是在我禅定中，不仅开启了我自己的意伏藏。","诸佛启示我。","菩萨启示我。","祖师启示我。","让我不但了解大圆满九次第，甚至教导我如何实修。","（我在禅定中，在梦中，在幻象中，得到了诸尊的指点。）","这种甚深清净传承，世上少人有，但，我就是其中的一位。","非常难得。","非常尊贵。","我们晓得：","声闻乘以“苦、集、灭、道”，证阿罗汉果。","缘觉乘以“十二因缘”，证辟支佛果。","菩萨乘以“六度”，证菩萨果。","（外三乘）","事密以事修证七世成佛。","作密以作修证五世成佛。","瑜伽密以一味修证三世成佛。","（内三乘）","大瑜伽以“生起次第”修证应身佛。","阿努瑜伽以“圆满次第”证报身佛。","阿底瑜伽以心、界、口，明心见性证法身佛。","（密三乘）","","我用自己的手加持自己的脑袋瓜，可以说完全融会贯通了。","我如此说：","外三乘是释迦牟尼佛所说。","内三乘是金刚萨埵所说。","密三乘是普贤如来所说。","“阿底瑜伽”的最高境界，也就是我莲生活佛常说的：","“立断”。（彻切）","“顿超”。（妥噶）","我在本文中，主要是说我对大圆满九次第的了解。","再说明我的三大传承：","一、人间。","二、意伏藏。","三、甚深清净。","最","我的说法，将不依经典，而是依经历，这是我自己走过的路，我要说明这修行之路的一切风光，如此更引人入胜。",""
